col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheriff - Democrat,,,,All
,Helen Gym,Allan Domb,Justin Diberardinis,Katherine Gilmore Richardson,Derek S Green,Eryn Santamoor,Adrián Rivera-reyes,Isaiah Thomas,Erika Almirón,Joseph A Diorio,Deja Lynn Alvarez,Beth Finn,Sandra Dungee Glenn,Fernando Treviño,Ogbonna Paul Hagins,Willie Floyd Singletary,Ethelind Baylor,Billy Thompson,Asa Khalif,Hena Veit,Latrice Y Bryant,Edwin Santana,Mark Ross,Vinny Black,Fareed Abdullah,Bobbie Curry,Wayne Allen,Devon Cade,Wayne Edmund Dorsey,Sherrie Cohen,Rochelle Bilal,Jewell Williams,Malika Rahman,Larry King Sr,All
Helen Gym,28,351,411,251,230,237,246,250,257,65,164,147,69,64,70,61,87,42,47,39,39,14,12,15,23,19,7,8,6,0,402,176,211,55,All
Allan Domb,,126,390,197,254,196,65,183,48,157,31,87,50,44,13,22,11,51,20,18,12,21,18,20,10,13,15,16,14,0,194,238,111,103,All
Justin Diberardinis,,,38,143,183,173,140,187,164,140,67,105,48,30,13,14,62,37,27,9,9,23,16,19,16,12,8,9,6,0,267,150,128,78,All
Katherine Gilmore Richardson,,,,1,185,112,42,162,62,40,30,66,51,34,10,9,14,10,13,27,12,6,10,8,12,6,4,1,2,0,111,131,83,26,All
Derek S Green,,,,,2,107,51,170,38,33,27,29,17,16,9,10,10,11,7,6,4,9,4,6,4,9,7,4,4,0,95,148,59,27,All
Eryn Santamoor,,,,,,4,88,35,77,42,55,82,31,45,17,11,14,12,11,20,13,11,4,6,4,3,5,4,4,0,138,54,112,37,All
Adrián Rivera-reyes,,,,,,,11,60,89,24,130,74,17,29,55,57,18,9,23,15,16,11,5,3,6,3,1,7,5,0,208,36,88,17,All
Isaiah Thomas,,,,,,,,0,102,29,25,24,23,11,11,8,58,16,14,7,12,5,6,5,11,3,7,6,2,0,124,125,63,19,All
Erika Almirón,,,,,,,,,1,7,61,50,32,32,10,2,62,3,25,13,11,3,4,2,2,1,1,3,3,0,161,18,91,10,All
Joseph A Diorio,,,,,,,,,,13,15,44,27,22,10,15,6,38,8,11,5,11,24,23,3,14,8,8,9,0,69,66,32,68,All
Deja Lynn Alvarez,,,,,,,,,,,8,42,17,26,51,50,18,3,17,13,15,9,3,2,9,2,2,1,1,0,130,20,84,14,All
Beth Finn,,,,,,,,,,,,3,42,14,9,4,8,12,18,19,14,9,6,5,2,8,5,6,3,0,127,40,44,27,All
Sandra Dungee Glenn,,,,,,,,,,,,,1,3,7,7,7,4,17,17,12,4,8,5,7,4,2,3,4,0,53,34,41,9,All
Fernando Treviño,,,,,,,,,,,,,,2,16,6,4,7,3,7,2,9,6,2,4,6,4,2,3,0,42,18,46,12,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,,2,45,6,9,5,10,10,4,2,4,4,0,0,3,2,0,63,7,32,15,All
Willie Floyd Singletary,,,,,,,,,,,,,,,,4,3,13,6,6,7,2,4,2,1,4,1,0,4,0,59,10,24,10,All
Ethelind Baylor,,,,,,,,,,,,,,,,,0,1,4,3,6,2,2,2,2,1,3,1,3,0,64,10,19,7,All
Billy Thompson,,,,,,,,,,,,,,,,,,0,5,7,8,3,10,3,1,11,8,5,9,0,25,27,8,31,All
Asa Khalif,,,,,,,,,,,,,,,,,,,0,6,11,3,1,2,12,5,3,4,2,0,29,14,28,8,All
Hena Veit,,,,,,,,,,,,,,,,,,,,1,8,2,4,1,3,8,1,1,1,0,29,11,17,13,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,,0,2,4,1,7,1,4,4,1,0,28,9,18,7,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,0,3,4,6,1,1,2,2,0,14,15,12,6,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,0,4,1,10,4,4,4,0,11,14,7,16,All
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,1,0,4,4,2,3,0,12,19,3,9,All
Fareed Abdullah,,,,,,,,,,,,,,,,,,,,,,,,,0,2,6,2,1,0,18,8,13,2,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,2,0,17,12,5,7,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,0,7,8,5,11,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,9,8,3,8,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,8,5,3,9,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,All
Rochelle Bilal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,0,0,0,All
Jewell Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0,0,All
Malika Rahman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,All
Larry King Sr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,All
Total,998,918,803,410,407,402,394,387,309,287,272,256,143,135,122,114,108,100,83,75,64,52,52,51,46,43,33,30,28,0,677,389,355,199,All
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheriff - Democrat,,,,1
