col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,division
,City Commissioners - Democrat,,,,,,,,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Omar Sabir,Lisa Deeley,Kahlil Williams,Marwan Kreidie,Dennis Lee,Annette Thompson,Carla Cain,Lewis Harris Jr,Jen Devor,Robin Trent,Luigi Borda,Warren Bloom,Moira Bohannon,Helen Gym,Allan Domb,Isaiah Thomas,Derek S Green,Katherine Gilmore Richardson,Willie Floyd Singletary,Adrián Rivera-reyes,Deja Lynn Alvarez,Sandra Dungee Glenn,Fareed Abdullah,Ethelind Baylor,Erika Almirón,Billy Thompson,Ogbonna Paul Hagins,Eryn Santamoor,Asa Khalif,Justin Diberardinis,Latrice Y Bryant,Wayne Edmund Dorsey,Edwin Santana,Fernando Treviño,Joseph A Diorio,Beth Finn,Wayne Allen,Hena Veit,Mark Ross,Vinny Black,Devon Cade,Bobbie Curry,Sherrie Cohen,All
Omar Sabir,78,595,216,105,92,68,27,22,6,16,10,12,5,"1,051",672,687,620,544,280,257,232,173,175,110,112,128,135,85,126,49,80,64,58,40,43,27,41,30,28,31,21,18,0,All
Lisa Deeley,,19,46,53,25,32,4,4,1,6,4,2,2,677,436,453,410,378,120,133,119,67,47,74,50,44,63,30,30,22,35,32,16,18,22,19,19,20,17,18,15,8,0,All
Kahlil Williams,,,12,10,28,45,15,23,38,11,4,8,2,308,244,248,236,155,78,67,36,85,88,69,88,61,22,85,80,63,40,32,45,23,16,22,27,14,23,16,7,6,0,All
Marwan Kreidie,,,,17,10,7,4,1,2,1,6,3,2,163,41,43,28,25,116,146,124,10,7,18,16,12,87,15,9,4,11,9,5,15,15,6,9,12,4,9,7,3,0,All
Dennis Lee,,,,,2,8,37,7,3,10,7,4,1,137,89,84,84,78,28,33,18,94,23,22,29,63,10,27,20,37,16,18,38,48,54,8,7,15,15,9,7,10,0,All
Annette Thompson,,,,,,9,17,8,4,5,0,2,0,121,80,89,79,61,34,39,28,32,26,24,31,39,22,33,22,12,28,14,12,9,9,21,7,11,8,13,7,7,0,All
Carla Cain,,,,,,,0,7,1,5,4,0,2,57,46,40,38,34,11,15,11,50,14,25,20,16,4,14,9,31,12,11,30,33,32,12,3,2,5,6,5,1,0,All
Lewis Harris Jr,,,,,,,,1,0,3,2,5,1,33,37,39,36,13,21,14,13,10,19,10,10,11,1,14,11,4,8,7,7,8,8,5,8,3,8,9,10,6,0,All
