col_1,col_2,col_3,col_4,division
,Judge Of The Superior Court - Republican,,,All
,Megan Mccarthy King,Christylee Peck,Rebecca Warren,All
Megan Mccarthy King,32,112,89,All
Christylee Peck,,13,26,All
Rebecca Warren,,,33,All
Total,233,151,148,All
,Judge Of The Superior Court - Republican,,,1
,Megan Mccarthy King,Christylee Peck,Rebecca Warren,1
Megan Mccarthy King,3,10,6,1
Christylee Peck,,3,1,1
Rebecca Warren,,,2,1
Total,19,14,9,1
,Judge Of The Superior Court - Republican,,,2
,Megan Mccarthy King,Christylee Peck,Rebecca Warren,2
Megan Mccarthy King,3,13,4,2
Christylee Peck,,1,0,2
Rebecca Warren,,,2,2
Total,20,14,6,2
,Judge Of The Superior Court - Republican,,,3
,Megan Mccarthy King,Rebecca Warren,Christylee Peck,3
Megan Mccarthy King,1,6,4,3
Rebecca Warren,,2,0,3
Christylee Peck,,,0,3
Total,11,8,4,3
,Judge Of The Superior Court - Republican,,,4
,Christylee Peck,Megan Mccarthy King,Rebecca Warren,4
Christylee Peck,0,7,2,4
Megan Mccarthy King,,0,2,4
Rebecca Warren,,,0,4
Total,9,9,4,4
,Judge Of The Superior Court - Republican,,,5
,Megan Mccarthy King,Rebecca Warren,Christylee Peck,5
Megan Mccarthy King,2,26,28,5
Rebecca Warren,,6,5,5
Christylee Peck,,,3,5
Total,56,37,36,5
,Judge Of The Superior Court - Republican,,,6
,Megan Mccarthy King,Rebecca Warren,Christylee Peck,6
Megan Mccarthy King,1,5,3,6
Rebecca Warren,,4,0,6
Christylee Peck,,,0,6
Total,9,9,3,6
,Judge Of The Superior Court - Republican,,,7
,Megan Mccarthy King,Christylee Peck,Rebecca Warren,7
Megan Mccarthy King,2,9,9,7
Christylee Peck,,2,1,7
Rebecca Warren,,,2,7
Total,20,12,12,7
,Judge Of The Superior Court - Republican,,,8
,Megan Mccarthy King,Rebecca Warren,Christylee Peck,8
Megan Mccarthy King,0,2,4,8
Rebecca Warren,,3,0,8
Christylee Peck,,,0,8
Total,6,5,4,8
,Judge Of The Superior Court - Republican,,,9
,Megan Mccarthy King,Rebecca Warren,Christylee Peck,9
Megan Mccarthy King,2,5,0,9
Rebecca Warren,,1,1,9
Christylee Peck,,,0,9
Total,7,7,1,9
,Judge Of The Superior Court - Republican,,,10
,Megan Mccarthy King,Rebecca Warren,Christylee Peck,10
Megan Mccarthy King,3,1,1,10
Rebecca Warren,,1,1,10
Christylee Peck,,,0,10
Total,5,3,2,10
,Judge Of The Superior Court - Republican,,,11
,Megan Mccarthy King,Rebecca Warren,Christylee Peck,11
Megan Mccarthy King,0,4,3,11
Rebecca Warren,,0,2,11
Christylee Peck,,,0,11
Total,7,6,5,11
,Judge Of The Superior Court - Republican,,,12
,Megan Mccarthy King,Rebecca Warren,Christylee Peck,12
Megan Mccarthy King,2,3,2,12
Rebecca Warren,,1,3,12
Christylee Peck,,,0,12
Total,7,7,5,12
,Judge Of The Superior Court - Republican,,,13
,Megan Mccarthy King,Rebecca Warren,Christylee Peck,13
Megan Mccarthy King,1,1,0,13
Rebecca Warren,,0,0,13
Christylee Peck,,,0,13
