col_1,col_2,division
,District Council 2nd District - Republican,All
,Michael Bradley,All
Michael Bradley,128,All
Total,128,All
,District Council 2nd District - Republican,1
,Michael Bradley,1
Michael Bradley,12,1
Total,12,1
,District Council 2nd District - Republican,2
,Michael Bradley,2
Michael Bradley,5,2
Total,5,2
,District Council 2nd District - Republican,3
,Michael Bradley,3
Michael Bradley,7,3
Total,7,3
,District Council 2nd District - Republican,4
,Michael Bradley,4
Michael Bradley,1,4
Total,1,4
,District Council 2nd District - Republican,5
,Michael Bradley,5
Michael Bradley,4,5
Total,4,5
,District Council 2nd District - Republican,6
,Michael Bradley,6
Michael Bradley,8,6
Total,8,6
,District Council 2nd District - Republican,7
,Michael Bradley,7
Michael Bradley,10,7
Total,10,7
,District Council 2nd District - Republican,8
,Michael Bradley,8
Michael Bradley,10,8
Total,10,8
,District Council 2nd District - Republican,9
,Michael Bradley,9
Michael Bradley,12,9
Total,12,9
,District Council 2nd District - Republican,10
,Michael Bradley,10
Michael Bradley,9,10
Total,9,10
,District Council 2nd District - Republican,11
,Michael Bradley,11
Michael Bradley,4,11
Total,4,11
,District Council 2nd District - Republican,12
,Michael Bradley,12
Michael Bradley,8,12
Total,8,12
,District Council 2nd District - Republican,13
,Michael Bradley,13
Michael Bradley,7,13
Total,7,13
,District Council 2nd District - Republican,14
,Michael Bradley,14
Michael Bradley,6,14
Total,6,14
,District Council 2nd District - Republican,15
,Michael Bradley,15
Michael Bradley,5,15
Total,5,15
,District Council 2nd District - Republican,16
,Michael Bradley,16
Michael Bradley,7,16
Total,7,16
,District Council 2nd District - Republican,17
,Michael Bradley,17
Michael Bradley,13,17
Total,13,17
