col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheriff - Democrat,,,,All
,Isaiah Thomas,Derek S Green,Allan Domb,Helen Gym,Katherine Gilmore Richardson,Adrián Rivera-reyes,Willie Floyd Singletary,Deja Lynn Alvarez,Sandra Dungee Glenn,Fareed Abdullah,Ogbonna Paul Hagins,Billy Thompson,Asa Khalif,Eryn Santamoor,Latrice Y Bryant,Justin Diberardinis,Erika Almirón,Beth Finn,Fernando Treviño,Joseph A Diorio,Wayne Allen,Ethelind Baylor,Bobbie Curry,Vinny Black,Hena Veit,Mark Ross,Edwin Santana,Devon Cade,Wayne Edmund Dorsey,Sherrie Cohen,Jewell Williams,Rochelle Bilal,Malika Rahman,Larry King Sr,All
Isaiah Thomas,29,"1,175","1,028",556,760,91,118,84,167,181,42,116,144,68,77,72,65,52,27,41,47,59,27,36,18,34,29,32,26,1,933,320,191,39,All
Derek S Green,,36,"1,086",585,772,78,112,72,165,148,28,91,108,74,69,73,51,44,28,38,40,45,23,28,6,27,24,14,22,1,946,315,146,34,All
Allan Domb,,,50,522,719,105,109,76,129,117,37,83,82,99,39,53,27,41,36,43,35,21,24,25,10,24,13,24,22,1,932,273,123,43,All
Helen Gym,,,,55,322,259,227,218,167,110,173,91,102,91,63,78,81,55,51,32,21,59,18,17,38,17,22,19,16,0,443,478,238,50,All
Katherine Gilmore Richardson,,,,,5,47,52,41,95,71,21,45,50,51,49,39,39,34,23,19,17,18,16,15,15,21,12,15,12,0,646,159,109,18,All
Adrián Rivera-reyes,,,,,,14,212,198,27,27,147,23,27,36,31,5,22,34,37,22,12,10,8,11,20,4,7,7,8,0,100,294,105,19,All
Willie Floyd Singletary,,,,,,,24,184,17,37,141,50,22,31,36,8,6,20,24,20,18,4,15,15,13,18,9,2,11,0,132,223,126,25,All
Deja Lynn Alvarez,,,,,,,,5,24,20,159,26,26,33,24,9,27,23,26,14,8,12,14,8,16,8,7,7,5,0,80,222,130,18,All
Sandra Dungee Glenn,,,,,,,,,4,38,9,34,44,17,38,25,39,29,20,44,11,17,9,5,12,5,24,7,6,1,115,123,52,11,All
Fareed Abdullah,,,,,,,,,,4,22,25,79,16,26,9,23,9,9,13,19,12,5,17,7,10,10,7,8,0,111,120,68,7,All
Ogbonna Paul Hagins,,,,,,,,,,,1,19,15,15,6,4,7,6,10,7,4,2,3,3,7,1,1,3,5,0,43,132,81,10,All
Billy Thompson,,,,,,,,,,,,8,20,24,17,8,17,16,14,14,15,7,7,12,14,11,10,9,8,0,94,68,34,22,All
Asa Khalif,,,,,,,,,,,,,2,18,30,9,24,10,6,5,9,17,6,16,9,5,5,12,4,0,84,98,50,8,All
Eryn Santamoor,,,,,,,,,,,,,,0,13,15,15,11,20,13,7,1,14,5,21,8,6,9,5,0,70,63,43,20,All
Latrice Y Bryant,,,,,,,,,,,,,,,1,6,20,23,8,10,12,6,9,5,14,11,1,5,6,0,69,48,51,7,All
Justin Diberardinis,,,,,,,,,,,,,,,,4,8,4,20,24,6,13,9,5,4,5,18,2,3,0,56,41,16,15,All
Erika Almirón,,,,,,,,,,,,,,,,,1,12,13,4,1,18,5,3,5,2,3,5,1,0,21,53,49,3,All
Beth Finn,,,,,,,,,,,,,,,,,,1,13,5,11,3,10,6,15,11,6,5,6,0,48,49,18,14,All
Fernando Treviño,,,,,,,,,,,,,,,,,,,0,28,4,1,3,7,12,3,22,3,1,0,39,37,35,9,All
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,2,7,2,10,2,9,6,17,7,3,0,45,33,20,11,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,5,5,11,6,2,9,4,6,8,0,41,28,19,8,All
