col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,District Council 2nd District - Democrat,,All
,Tiffany Palmer,Anthony Kyriakakis,Jennifer Schultz,Kay Yu,Chris Hall,Wendi Barish,James C Crumlish,Henry Mcgregor Sias,James F Berardinelli,Nicola Serianni,Joshua Roberts,Carmella Jacquinto,Cateria R Mccabe,Beth Grossman,Craig Levin,Kendra Mccrae,Vicki Markovitz,Janine D Momasso,Leon Goodman,Terri M Booker,Laurie Dow,Jon Marshall,Sherman Toppin,Robert Trimble,Gregory Weyer,Kenyatta Johnson,Lauren Vidas,All
Tiffany Palmer,0,301,207,209,202,123,123,102,98,79,23,49,60,39,20,41,37,42,35,19,30,8,9,4,10,180,212,All
Anthony Kyriakakis,,1,171,189,202,92,132,105,109,45,42,53,45,33,19,22,33,11,29,12,21,7,29,8,6,174,191,All
Jennifer Schultz,,,4,155,111,98,31,51,98,87,35,32,59,53,34,33,32,44,17,22,27,25,10,8,8,162,158,All
Kay Yu,,,,2,119,58,33,71,96,41,15,22,41,20,12,28,16,20,13,18,21,6,5,7,13,126,132,All
Chris Hall,,,,,0,30,116,19,86,9,14,19,6,13,8,18,11,3,13,11,10,4,2,6,0,96,113,All
Wendi Barish,,,,,,0,52,53,13,69,32,42,30,52,37,36,39,39,20,20,24,10,6,3,4,84,113,All
James C Crumlish,,,,,,,0,23,13,15,29,31,8,22,30,17,11,4,11,9,10,9,5,4,0,57,96,All
Henry Mcgregor Sias,,,,,,,,1,16,29,30,36,41,9,10,11,18,13,19,8,7,4,21,5,6,76,77,All
James F Berardinelli,,,,,,,,,0,14,12,9,12,17,11,5,9,16,6,4,8,5,3,8,3,74,60,All
Nicola Serianni,,,,,,,,,,0,16,15,39,31,14,22,18,39,10,12,20,14,4,5,4,54,75,All
Joshua Roberts,,,,,,,,,,,0,48,23,14,47,7,6,2,11,10,3,29,29,5,3,75,40,All
Carmella Jacquinto,,,,,,,,,,,,2,32,19,26,18,13,11,20,12,11,3,24,3,0,65,40,All
Cateria R Mccabe,,,,,,,,,,,,,0,9,11,22,11,35,16,12,10,4,22,1,5,61,48,All
Beth Grossman,,,,,,,,,,,,,,0,19,22,26,14,8,12,21,12,1,5,1,43,54,All
Craig Levin,,,,,,,,,,,,,,,1,9,15,8,14,9,3,20,4,8,4,48,36,All
Kendra Mccrae,,,,,,,,,,,,,,,,0,12,14,11,23,10,6,6,5,3,42,40,All
Vicki Markovitz,,,,,,,,,,,,,,,,,1,14,21,7,6,6,2,2,2,30,48,All
Janine D Momasso,,,,,,,,,,,,,,,,,,0,16,10,13,4,5,2,4,37,38,All
Leon Goodman,,,,,,,,,,,,,,,,,,,1,16,4,10,7,10,1,43,21,All
Terri M Booker,,,,,,,,,,,,,,,,,,,,1,10,7,8,8,1,37,20,All
Laurie Dow,,,,,,,,,,,,,,,,,,,,,0,3,3,2,0,17,38,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,1,1,7,3,27,23,All
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,1,3,2,38,9,All
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,0,2,12,10,All
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,0,8,10,All
Kenyatta Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,46,0,All
Lauren Vidas,,,,,,,,,,,,,,,,,,,,,,,,,,,28,All
Total,420,395,349,278,227,212,166,163,145,138,129,123,118,103,100,84,83,80,74,63,60,55,52,27,18,406,382,All
,District Council 2nd District - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,9
,Lauren Vidas,Kenyatta Johnson,Tiffany Palmer,Anthony Kyriakakis,Jennifer Schultz,Kay Yu,Chris Hall,Wendi Barish,Joshua Roberts,James F Berardinelli,Henry Mcgregor Sias,James C Crumlish,Nicola Serianni,Carmella Jacquinto,Craig Levin,Cateria R Mccabe,Vicki Markovitz,Janine D Momasso,Beth Grossman,Jon Marshall,Laurie Dow,Leon Goodman,Kendra Mccrae,Terri M Booker,Sherman Toppin,Gregory Weyer,Robert Trimble,9
Lauren Vidas,7,0,49,38,29,34,21,29,16,14,16,20,17,10,13,14,17,11,12,9,9,1,8,6,2,5,0,9
Kenyatta Johnson,,13,35,32,33,29,18,7,15,19,14,8,9,12,10,9,4,7,6,5,6,8,5,6,9,5,4,9
Tiffany Palmer,,,0,63,35,48,39,23,4,23,20,22,15,10,3,10,12,11,6,1,6,7,4,2,2,6,0,9
Anthony Kyriakakis,,,,0,29,42,39,14,6,22,17,24,7,12,3,8,11,3,3,0,4,4,1,1,5,3,1,9
Jennifer Schultz,,,,,1,32,20,18,11,17,4,4,13,9,10,11,5,9,9,9,6,2,3,5,1,3,0,9
Kay Yu,,,,,,1,22,14,4,20,16,5,13,5,5,10,6,7,3,2,5,1,3,3,1,7,0,9
Chris Hall,,,,,,,0,2,2,19,1,22,2,4,3,1,4,1,4,1,4,5,3,3,0,0,1,9
Wendi Barish,,,,,,,,0,6,3,11,6,9,11,8,8,9,8,8,2,4,4,4,6,1,4,0,9
Joshua Roberts,,,,,,,,,0,4,6,5,4,10,17,6,1,0,4,11,3,4,1,3,7,3,3,9
James F Berardinelli,,,,,,,,,,0,2,5,5,3,4,2,1,5,6,1,2,2,0,1,1,0,1,9
Henry Mcgregor Sias,,,,,,,,,,,0,2,2,7,3,9,3,4,0,0,0,2,1,0,4,4,1,9
James C Crumlish,,,,,,,,,,,,0,3,7,7,1,5,2,5,2,2,3,2,0,1,0,0,9
Nicola Serianni,,,,,,,,,,,,,0,4,4,8,5,10,5,5,6,1,5,1,1,4,2,9
Carmella Jacquinto,,,,,,,,,,,,,,1,7,6,2,1,6,0,2,5,2,4,4,0,0,9
Craig Levin,,,,,,,,,,,,,,,0,2,2,1,4,10,1,3,2,2,2,3,2,9
Cateria R Mccabe,,,,,,,,,,,,,,,,0,4,7,2,2,1,1,6,4,4,1,1,9
Vicki Markovitz,,,,,,,,,,,,,,,,,0,3,4,2,2,2,3,1,0,1,0,9
Janine D Momasso,,,,,,,,,,,,,,,,,,0,2,1,5,2,1,2,1,2,1,9
Beth Grossman,,,,,,,,,,,,,,,,,,,0,2,5,1,1,2,1,0,0,9
Jon Marshall,,,,,,,,,,,,,,,,,,,,0,0,3,2,1,0,3,3,9
Laurie Dow,,,,,,,,,,,,,,,,,,,,,0,2,1,3,1,0,1,9
Leon Goodman,,,,,,,,,,,,,,,,,,,,,,0,2,3,0,0,2,9
Kendra Mccrae,,,,,,,,,,,,,,,,,,,,,,,0,5,1,2,1,9
Terri M Booker,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,9
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,9
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,9
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9
