col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,Judge Of The Municipal Court - Democrat,,City Commissioners - Democrat,,,,,,,,,,,,,All
,David H Conroy,Theresa Brunson,Kahlil Williams,Jen Devor,Lisa Deeley,Marwan Kreidie,Omar Sabir,Luigi Borda,Annette Thompson,Carla Cain,Moira Bohannon,Warren Bloom,Dennis Lee,Robin Trent,Lewis Harris Jr,All
David H Conroy,186,0,"2,577",959,664,421,203,281,103,120,106,101,111,66,29,All
Theresa Brunson,,118,537,313,517,194,213,118,248,171,115,101,60,85,22,All
Kahlil Williams,,,132,"1,056",557,207,110,140,74,57,66,60,50,38,15,All
Jen Devor,,,,41,76,63,14,59,18,36,22,11,11,15,6,All
Lisa Deeley,,,,,73,99,113,50,128,63,33,22,24,16,5,All
Marwan Kreidie,,,,,,47,75,50,12,19,25,25,15,13,3,All
Omar Sabir,,,,,,,28,20,20,14,8,11,10,7,6,All
Luigi Borda,,,,,,,,34,9,18,10,8,14,9,2,All
Annette Thompson,,,,,,,,,4,33,22,20,8,17,2,All
Carla Cain,,,,,,,,,,6,27,14,9,17,3,All
Moira Bohannon,,,,,,,,,,,1,4,1,13,1,All
Warren Bloom,,,,,,,,,,,,16,20,6,5,All
Dennis Lee,,,,,,,,,,,,,4,6,4,All
Robin Trent,,,,,,,,,,,,,,2,2,All
Lewis Harris Jr,,,,,,,,,,,,,,,2,All
Total,"3,634","1,592","3,540","1,505","1,401",722,483,465,379,320,240,240,187,162,57,All
,City Commissioners - Democrat,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,1
,Kahlil Williams,Jen Devor,Lisa Deeley,Annette Thompson,Carla Cain,Luigi Borda,Omar Sabir,Marwan Kreidie,Moira Bohannon,Robin Trent,Dennis Lee,Lewis Harris Jr,Warren Bloom,David H Conroy,Theresa Brunson,1
Kahlil Williams,12,58,10,2,0,2,2,4,0,1,1,1,0,109,10,1
Jen Devor,,1,1,0,2,5,1,1,1,1,1,1,1,52,17,1
Lisa Deeley,,,1,9,3,1,1,0,1,0,1,0,1,10,15,1
Annette Thompson,,,,0,1,0,1,1,2,2,1,0,0,2,16,1
Carla Cain,,,,,0,1,0,0,2,1,1,0,1,2,10,1
Luigi Borda,,,,,,0,0,0,0,0,0,0,0,6,3,1
Omar Sabir,,,,,,,1,0,0,3,1,0,0,3,6,1
Marwan Kreidie,,,,,,,,0,2,0,0,0,0,3,4,1
Moira Bohannon,,,,,,,,,0,0,0,0,0,0,7,1
Robin Trent,,,,,,,,,,0,0,0,0,2,6,1
Dennis Lee,,,,,,,,,,,0,1,0,5,2,1
Lewis Harris Jr,,,,,,,,,,,,0,0,2,1,1
Warren Bloom,,,,,,,,,,,,,0,2,0,1
David H Conroy,,,,,,,,,,,,,,4,0,1
Theresa Brunson,,,,,,,,,,,,,,,3,1
Total,139,76,31,19,12,10,10,8,8,8,7,3,3,127,53,1
,City Commissioners - Democrat,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,2
,Kahlil Williams,Jen Devor,Lisa Deeley,Luigi Borda,Marwan Kreidie,Carla Cain,Omar Sabir,Moira Bohannon,Dennis Lee,Robin Trent,Annette Thompson,Warren Bloom,Lewis Harris Jr,David H Conroy,Theresa Brunson,2
Kahlil Williams,7,68,15,5,4,1,2,0,0,0,0,0,0,95,9,2
Jen Devor,,1,0,2,0,1,0,2,0,1,0,0,1,57,9,2
Lisa Deeley,,,0,2,2,3,1,1,0,0,0,0,0,11,10,2
Luigi Borda,,,,2,1,1,1,0,1,0,0,1,0,10,4,2
Marwan Kreidie,,,,,1,0,3,0,1,0,0,0,0,6,5,2
Carla Cain,,,,,,1,0,2,0,1,1,0,0,2,7,2
Omar Sabir,,,,,,,0,1,0,0,0,0,0,3,6,2
Moira Bohannon,,,,,,,,0,0,1,0,0,0,1,5,2
Dennis Lee,,,,,,,,,0,0,0,1,0,2,0,2
Robin Trent,,,,,,,,,,0,0,0,0,0,2,2
Annette Thompson,,,,,,,,,,,0,0,0,1,1,2
Warren Bloom,,,,,,,,,,,,0,0,1,0,2
Lewis Harris Jr,,,,,,,,,,,,,0,0,1,2
David H Conroy,,,,,,,,,,,,,,9,0,2
Theresa Brunson,,,,,,,,,,,,,,,4,2
Total,124,79,26,16,13,11,9,7,3,3,2,2,1,114,38,2
,Judge Of The Municipal Court - Democrat,,City Commissioners - Democrat,,,,,,,,,,,,,3
,David H Conroy,Theresa Brunson,Kahlil Williams,Jen Devor,Lisa Deeley,Marwan Kreidie,Luigi Borda,Omar Sabir,Annette Thompson,Carla Cain,Robin Trent,Moira Bohannon,Dennis Lee,Warren Bloom,Lewis Harris Jr,3
David H Conroy,6,0,89,47,22,24,15,8,3,7,3,3,4,4,2,3
Theresa Brunson,,4,30,13,21,3,12,7,10,3,4,3,1,1,2,3
Kahlil Williams,,,2,43,24,10,7,3,2,3,1,1,2,0,1,3
Jen Devor,,,,3,2,2,4,1,0,2,2,0,0,2,1,3
Lisa Deeley,,,,,4,2,4,3,4,2,0,1,3,1,1,3
Marwan Kreidie,,,,,,2,3,4,1,1,1,1,0,1,0,3
Luigi Borda,,,,,,,1,0,2,1,2,1,1,0,0,3
Omar Sabir,,,,,,,,0,3,0,1,0,0,0,0,3
