col_1,col_2,col_3,col_4,division
,Mayor - Democrat,,,All
,Jim Kenney,Anthony Hardy Williams,Alan Butkovitz,All
Jim Kenney,"1,019",0,0,All
Anthony Hardy Williams,,524,0,All
Alan Butkovitz,,,82,All
Total,"1,019",524,82,All
,Mayor - Democrat,,,1
,Anthony Hardy Williams,Jim Kenney,Alan Butkovitz,1
Anthony Hardy Williams,18,0,0,1
Jim Kenney,,18,0,1
Alan Butkovitz,,,1,1
Total,18,18,1,1
,Mayor - Democrat,,,2
,Jim Kenney,Anthony Hardy Williams,Alan Butkovitz,2
Jim Kenney,58,0,0,2
Anthony Hardy Williams,,36,0,2
Alan Butkovitz,,,4,2
Total,58,36,4,2
,Mayor - Democrat,,,3
,Jim Kenney,Anthony Hardy Williams,Alan Butkovitz,3
Jim Kenney,75,0,0,3
Anthony Hardy Williams,,33,0,3
Alan Butkovitz,,,5,3
Total,75,33,5,3
,Mayor - Democrat,,,4
,Jim Kenney,Anthony Hardy Williams,Alan Butkovitz,4
Jim Kenney,64,0,0,4
Anthony Hardy Williams,,32,0,4
Alan Butkovitz,,,2,4
Total,64,32,2,4
,Mayor - Democrat,,,5
,Jim Kenney,Anthony Hardy Williams,Alan Butkovitz,5
Jim Kenney,64,0,0,5
Anthony Hardy Williams,,37,0,5
Alan Butkovitz,,,4,5
Total,64,37,4,5
,Mayor - Democrat,,,6
,Jim Kenney,Anthony Hardy Williams,Alan Butkovitz,6
Jim Kenney,53,0,0,6
Anthony Hardy Williams,,24,0,6
Alan Butkovitz,,,8,6
Total,53,24,8,6
,Mayor - Democrat,,,7
,Jim Kenney,Anthony Hardy Williams,Alan Butkovitz,7
Jim Kenney,39,0,0,7
Anthony Hardy Williams,,14,0,7
Alan Butkovitz,,,5,7
Total,39,14,5,7
,Mayor - Democrat,,,8
,Jim Kenney,Anthony Hardy Williams,Alan Butkovitz,8
Jim Kenney,105,0,0,8
Anthony Hardy Williams,,42,0,8
Alan Butkovitz,,,2,8
Total,105,42,2,8
,Mayor - Democrat,,,9
,Jim Kenney,Anthony Hardy Williams,Alan Butkovitz,9
Jim Kenney,65,0,0,9
Anthony Hardy Williams,,55,0,9
Alan Butkovitz,,,11,9
Total,65,55,11,9
,Mayor - Democrat,,,10
,Jim Kenney,Anthony Hardy Williams,Alan Butkovitz,10
Jim Kenney,43,0,0,10
Anthony Hardy Williams,,39,0,10
Alan Butkovitz,,,7,10
Total,43,39,7,10
,Mayor - Democrat,,,11
,Jim Kenney,Anthony Hardy Williams,Alan Butkovitz,11
Jim Kenney,42,0,0,11
Anthony Hardy Williams,,29,0,11
Alan Butkovitz,,,6,11
Total,42,29,6,11
,Mayor - Democrat,,,12
,Jim Kenney,Anthony Hardy Williams,Alan Butkovitz,12
Jim Kenney,68,0,0,12
Anthony Hardy Williams,,22,0,12
Alan Butkovitz,,,2,12
Total,68,22,2,12
,Mayor - Democrat,,,13
,Jim Kenney,Anthony Hardy Williams,Alan Butkovitz,13
Jim Kenney,54,0,0,13
Anthony Hardy Williams,,23,0,13
Alan Butkovitz,,,8,13
Total,54,23,8,13
,Mayor - Democrat,,,14
,Jim Kenney,Anthony Hardy Williams,Alan Butkovitz,14
Jim Kenney,52,0,0,14
Anthony Hardy Williams,,21,0,14
Alan Butkovitz,,,6,14
Total,52,21,6,14
,Mayor - Democrat,,,15
,Jim Kenney,Anthony Hardy Williams,Alan Butkovitz,15
Jim Kenney,41,0,0,15
Anthony Hardy Williams,,22,0,15
Alan Butkovitz,,,3,15
Total,41,22,3,15
,Mayor - Democrat,,,16
,Jim Kenney,Anthony Hardy Williams,Alan Butkovitz,16
Jim Kenney,55,0,0,16
Anthony Hardy Williams,,38,0,16
Alan Butkovitz,,,2,16
Total,55,38,2,16
,Mayor - Democrat,,,17
,Jim Kenney,Anthony Hardy Williams,Alan Butkovitz,17
Jim Kenney,65,0,0,17
Anthony Hardy Williams,,15,0,17
Alan Butkovitz,,,0,17
Total,65,15,0,17
,Mayor - Democrat,,,18
,Jim Kenney,Anthony Hardy Williams,Alan Butkovitz,18
Jim Kenney,58,0,0,18
Anthony Hardy Williams,,24,0,18
Alan Butkovitz,,,6,18
Total,58,24,6,18
