col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,division
,District Council 5th District - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Darrell L Clarke,Joshua Roberts,Jennifer Schultz,Sherman Toppin,Carmella Jacquinto,Cateria R Mccabe,Anthony Kyriakakis,Craig Levin,Jon Marshall,Henry Mcgregor Sias,Leon Goodman,Terri M Booker,Tiffany Palmer,Wendi Barish,Kendra Mccrae,James C Crumlish,Nicola Serianni,Beth Grossman,Laurie Dow,Janine D Momasso,Chris Hall,Vicki Markovitz,Kay Yu,Robert Trimble,James F Berardinelli,Gregory Weyer,All
Darrell L Clarke,157,391,302,221,235,170,182,157,166,143,117,129,112,94,93,79,80,75,54,49,51,32,36,27,21,19,All
Joshua Roberts,,19,104,196,160,155,148,98,99,146,67,54,25,50,30,65,39,24,13,9,19,13,8,11,10,6,All
Jennifer Schultz,,,16,36,36,17,14,96,88,9,40,34,40,55,36,38,50,44,27,20,14,17,11,14,4,6,All
Sherman Toppin,,,,3,160,160,153,24,17,150,43,48,33,20,32,37,18,12,17,12,11,9,10,16,6,5,All
Carmella Jacquinto,,,,,2,144,166,10,11,135,33,41,26,21,33,25,17,20,16,14,8,9,8,3,2,2,All
Cateria R Mccabe,,,,,,3,143,8,3,140,23,27,35,11,30,8,12,18,17,18,5,7,10,4,7,5,All
Anthony Kyriakakis,,,,,,,1,7,5,144,10,10,12,6,9,7,8,13,4,4,5,7,7,2,3,3,All
Craig Levin,,,,,,,,9,74,3,31,21,17,34,17,36,33,17,8,4,13,4,3,10,0,4,All
Jon Marshall,,,,,,,,,3,3,28,26,23,22,14,24,30,15,8,5,12,6,5,4,2,5,All
Henry Mcgregor Sias,,,,,,,,,,1,9,3,13,2,6,4,2,5,2,8,5,1,6,1,4,2,All
Leon Goodman,,,,,,,,,,,3,60,39,28,24,47,20,24,18,15,20,9,2,10,10,4,All
Terri M Booker,,,,,,,,,,,,2,55,27,44,27,22,21,28,18,21,5,12,6,7,8,All
Tiffany Palmer,,,,,,,,,,,,,0,25,49,10,27,32,22,18,24,18,21,5,14,8,All
Wendi Barish,,,,,,,,,,,,,,1,25,32,29,32,20,14,6,14,9,12,5,4,All
Kendra Mccrae,,,,,,,,,,,,,,,1,9,21,17,16,11,14,6,14,6,3,4,All
James C Crumlish,,,,,,,,,,,,,,,,0,30,13,5,2,13,3,5,11,4,2,All
Nicola Serianni,,,,,,,,,,,,,,,,,0,18,16,9,7,11,8,7,4,3,All
Beth Grossman,,,,,,,,,,,,,,,,,,2,19,14,8,15,5,9,3,3,All
Laurie Dow,,,,,,,,,,,,,,,,,,,2,13,12,1,7,6,2,3,All
Janine D Momasso,,,,,,,,,,,,,,,,,,,,1,3,3,3,3,5,1,All
Chris Hall,,,,,,,,,,,,,,,,,,,,,0,4,6,6,2,6,All
Vicki Markovitz,,,,,,,,,,,,,,,,,,,,,,0,5,3,5,5,All
Kay Yu,,,,,,,,,,,,,,,,,,,,,,,1,3,4,3,All
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,,0,1,All
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"1,013",478,347,281,272,223,220,185,183,172,145,145,129,109,106,103,96,92,68,58,53,40,38,36,22,21,All
,District Council 5th District - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,1
,Darrell L Clarke,Joshua Roberts,Jennifer Schultz,Craig Levin,Jon Marshall,Carmella Jacquinto,Laurie Dow,Nicola Serianni,Sherman Toppin,Terri M Booker,Wendi Barish,Beth Grossman,Cateria R Mccabe,Kendra Mccrae,Leon Goodman,Tiffany Palmer,Chris Hall,Gregory Weyer,Henry Mcgregor Sias,James C Crumlish,Janine D Momasso,Kay Yu,Robert Trimble,Anthony Kyriakakis,James F Berardinelli,Vicki Markovitz,1
Darrell L Clarke,7,12,9,6,6,4,3,3,1,2,3,2,1,2,2,1,1,1,1,1,0,1,1,0,0,0,1
Joshua Roberts,,0,5,5,3,2,1,2,2,1,2,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1
Jennifer Schultz,,,0,5,3,0,1,2,1,1,3,2,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1
Craig Levin,,,,1,3,0,0,1,1,0,2,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1
Jon Marshall,,,,,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Carmella Jacquinto,,,,,,0,2,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1
Laurie Dow,,,,,,,0,1,1,2,1,1,2,2,1,2,1,0,0,0,1,0,1,0,0,0,1
Nicola Serianni,,,,,,,,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Sherman Toppin,,,,,,,,,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
Terri M Booker,,,,,,,,,,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1
Wendi Barish,,,,,,,,,,,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1
Beth Grossman,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Cateria R Mccabe,,,,,,,,,,,,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
Kendra Mccrae,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,0,1,0,0,0,1
Leon Goodman,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,0,0,1
Tiffany Palmer,,,,,,,,,,,,,,,,0,1,0,0,0,1,0,0,0,0,0,1
Chris Hall,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1
Gregory Weyer,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,1
Henry Mcgregor Sias,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1
James C Crumlish,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1
Janine D Momasso,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1
Kay Yu,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
Anthony Kyriakakis,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
Vicki Markovitz,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,31,13,10,8,6,4,4,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,1
,District Council 5th District - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,2
