col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,division
,City Commissioners - Democrat,,,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Omar Sabir,Lisa Deeley,Kahlil Williams,Marwan Kreidie,Annette Thompson,Dennis Lee,Jen Devor,Warren Bloom,Carla Cain,Robin Trent,Luigi Borda,Lewis Harris Jr,Moira Bohannon,Joshua Roberts,Jennifer Schultz,Cateria R Mccabe,Carmella Jacquinto,Anthony Kyriakakis,Sherman Toppin,Craig Levin,Tiffany Palmer,Henry Mcgregor Sias,Jon Marshall,Wendi Barish,Kendra Mccrae,Leon Goodman,Terri M Booker,Laurie Dow,Kay Yu,James C Crumlish,Nicola Serianni,Beth Grossman,Janine D Momasso,Chris Hall,Vicki Markovitz,James F Berardinelli,Robert Trimble,Gregory Weyer,All
Omar Sabir,69,356,111,70,35,48,6,24,7,9,5,7,3,544,246,285,299,253,279,188,115,232,172,119,117,116,109,69,72,81,73,71,61,50,41,29,30,22,All
Lisa Deeley,,22,25,36,14,8,2,6,8,6,4,1,4,373,154,222,227,207,214,111,50,196,86,87,40,30,44,44,31,54,43,44,25,13,27,10,10,4,All
Kahlil Williams,,,27,19,30,13,47,12,8,8,8,7,7,73,114,78,51,68,48,54,151,51,50,90,88,73,83,68,95,44,65,48,42,45,30,46,20,10,All
Marwan Kreidie,,,,16,2,3,8,0,3,4,5,1,3,98,146,15,12,24,16,85,31,11,85,30,15,12,10,11,16,38,33,13,9,15,11,7,10,0,All
Annette Thompson,,,,,2,6,1,4,10,5,2,3,6,33,56,24,31,10,19,24,52,7,28,38,41,28,26,25,22,15,24,34,19,18,22,8,10,4,All
Dennis Lee,,,,,,5,2,5,20,2,2,6,1,42,24,44,48,29,26,37,23,15,16,19,24,41,25,40,11,31,12,18,37,16,10,21,12,7,All
Jen Devor,,,,,,,0,0,6,1,12,2,2,7,46,29,13,25,10,3,67,22,4,40,23,8,6,15,56,13,24,8,12,16,13,17,3,2,All
Warren Bloom,,,,,,,,8,1,2,3,3,0,29,18,13,19,11,14,13,16,8,14,8,14,17,16,19,10,10,6,13,9,8,4,4,11,5,All
