col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,division
,Register Of Wills - Democrat,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Tracey Gordon,Ronald R Donatucci,Jacque P Whaumbush,Jennifer Schultz,Joshua Roberts,Craig Levin,Beth Grossman,James C Crumlish,Carmella Jacquinto,Wendi Barish,Anthony Kyriakakis,Jon Marshall,Cateria R Mccabe,Tiffany Palmer,Leon Goodman,Nicola Serianni,Vicki Markovitz,Terri M Booker,Kay Yu,Kendra Mccrae,Laurie Dow,Chris Hall,Sherman Toppin,James F Berardinelli,Henry Mcgregor Sias,Janine D Momasso,Robert Trimble,Gregory Weyer,All
Tracey Gordon,19,0,0,195,108,105,88,46,42,75,31,80,46,84,64,67,55,60,50,49,43,32,24,20,20,22,12,9,All
Ronald R Donatucci,,20,0,82,92,59,74,98,73,52,96,38,66,36,44,31,45,28,34,25,21,22,30,31,27,11,20,7,All
Jacque P Whaumbush,,,13,48,31,32,25,19,25,18,16,18,19,13,20,16,19,14,19,23,13,9,10,8,7,15,7,6,All
Jennifer Schultz,,,,5,93,116,87,58,41,68,23,87,38,64,46,79,58,40,47,43,34,19,13,12,14,22,19,5,All
Joshua Roberts,,,,,10,97,48,54,44,41,47,80,32,26,45,42,25,19,22,15,12,19,31,13,28,6,10,2,All
Craig Levin,,,,,,7,64,44,17,43,17,76,18,18,52,44,56,17,16,17,22,16,16,15,10,5,7,5,All
Beth Grossman,,,,,,,6,33,27,63,34,19,28,41,47,40,81,28,39,32,44,10,6,31,11,19,4,16,All
James C Crumlish,,,,,,,,2,63,38,80,26,51,39,39,30,17,17,26,15,11,28,10,15,17,5,14,4,All
Carmella Jacquinto,,,,,,,,,18,32,62,7,69,30,23,20,22,25,26,36,18,12,26,7,20,18,8,4,All
Wendi Barish,,,,,,,,,,1,23,27,24,38,42,37,37,27,29,30,29,14,14,19,5,21,12,2,All
Anthony Kyriakakis,,,,,,,,,,,1,3,74,34,21,14,10,11,35,15,5,24,26,15,25,8,8,2,All
Jon Marshall,,,,,,,,,,,,3,12,15,30,28,12,18,10,11,12,12,12,3,5,3,10,2,All
Cateria R Mccabe,,,,,,,,,,,,,0,23,19,26,18,13,20,20,22,3,23,12,22,15,3,5,All
Tiffany Palmer,,,,,,,,,,,,,,1,26,32,27,39,28,42,25,28,8,11,14,10,11,5,All
Leon Goodman,,,,,,,,,,,,,,,0,24,30,32,16,26,12,18,14,16,10,7,16,6,All
Nicola Serianni,,,,,,,,,,,,,,,,1,27,22,27,19,18,4,10,12,11,16,3,2,All
Vicki Markovitz,,,,,,,,,,,,,,,,,0,19,18,13,17,6,7,21,4,10,7,9,All
Terri M Booker,,,,,,,,,,,,,,,,,,1,15,32,15,17,17,5,2,16,14,6,All
Kay Yu,,,,,,,,,,,,,,,,,,,4,17,21,16,9,10,6,10,6,4,All
Kendra Mccrae,,,,,,,,,,,,,,,,,,,,0,14,19,11,8,4,14,14,6,All
Laurie Dow,,,,,,,,,,,,,,,,,,,,,0,6,8,12,7,15,4,5,All
Chris Hall,,,,,,,,,,,,,,,,,,,,,,1,11,9,4,2,11,2,All
