col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,division
,Judge Of The Superior Court - Democrat,,,Sheriff - Democrat,,,,All
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,Rochelle Bilal,Malika Rahman,Jewell Williams,Larry King Sr,All
Daniel D Mccaffery,331,"1,224",784,"2,118","1,075",312,208,All
Amanda Green-hawkins,,38,789,"1,210",741,189,86,All
Beth Tarasi,,,31,909,495,131,103,All
Rochelle Bilal,,,,171,0,0,0,All
Malika Rahman,,,,,132,0,0,All
Jewell Williams,,,,,,33,0,All
Larry King Sr,,,,,,,12,All
Total,"4,187","2,395","1,763","3,008","1,623",423,258,All
,Judge Of The Superior Court - Democrat,,,Sheriff - Democrat,,,,1
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,Rochelle Bilal,Malika Rahman,Jewell Williams,Larry King Sr,1
Daniel D Mccaffery,20,48,35,105,74,13,10,1
Amanda Green-hawkins,,0,33,50,31,7,4,1
Beth Tarasi,,,1,39,23,4,5,1
Rochelle Bilal,,,,12,0,0,0,1
Malika Rahman,,,,,8,0,0,1
Jewell Williams,,,,,,1,0,1
Larry King Sr,,,,,,,1,1
Total,226,96,76,152,96,16,13,1
,Judge Of The Superior Court - Democrat,,,Sheriff - Democrat,,,,2
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,Rochelle Bilal,Malika Rahman,Jewell Williams,Larry King Sr,2
Daniel D Mccaffery,13,41,31,64,53,6,7,2
Amanda Green-hawkins,,4,22,36,24,6,3,2
Beth Tarasi,,,3,29,20,3,4,2
Rochelle Bilal,,,,6,0,0,0,2
Malika Rahman,,,,,6,0,0,2
Jewell Williams,,,,,,0,0,2
Larry King Sr,,,,,,,1,2
Total,147,76,62,90,71,9,9,2
,Judge Of The Superior Court - Democrat,,,Sheriff - Democrat,,,,3
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,Rochelle Bilal,Malika Rahman,Jewell Williams,Larry King Sr,3
Daniel D Mccaffery,16,41,27,107,53,8,7,3
Amanda Green-hawkins,,4,12,24,26,6,0,3
Beth Tarasi,,,0,25,12,2,3,3
Rochelle Bilal,,,,4,0,0,0,3
Malika Rahman,,,,,9,0,0,3
Jewell Williams,,,,,,0,0,3
Larry King Sr,,,,,,,0,3
Total,200,65,46,127,70,11,7,3
,Judge Of The Superior Court - Democrat,,,Sheriff - Democrat,,,,4
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,Rochelle Bilal,Malika Rahman,Jewell Williams,Larry King Sr,4
Daniel D Mccaffery,15,49,45,101,52,13,7,4
Amanda Green-hawkins,,4,42,53,42,9,3,4
Beth Tarasi,,,3,51,33,5,5,4
Rochelle Bilal,,,,10,0,0,0,4
Malika Rahman,,,,,5,0,0,4
Jewell Williams,,,,,,1,0,4
Larry King Sr,,,,,,,2,4
Total,194,119,105,152,88,16,11,4
,Judge Of The Superior Court - Democrat,,,Sheriff - Democrat,,,,5
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,Rochelle Bilal,Malika Rahman,Jewell Williams,Larry King Sr,5
Daniel D Mccaffery,10,37,30,90,36,10,9,5
Amanda Green-hawkins,,1,19,43,18,1,4,5
Beth Tarasi,,,5,26,21,4,4,5
Rochelle Bilal,,,,3,0,0,0,5
