col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheriff - Democrat,,,,All
,Helen Gym,Derek S Green,Allan Domb,Isaiah Thomas,Katherine Gilmore Richardson,Eryn Santamoor,Justin Diberardinis,Adrián Rivera-reyes,Erika Almirón,Deja Lynn Alvarez,Sandra Dungee Glenn,Beth Finn,Willie Floyd Singletary,Ogbonna Paul Hagins,Fernando Treviño,Fareed Abdullah,Latrice Y Bryant,Ethelind Baylor,Asa Khalif,Billy Thompson,Joseph A Diorio,Hena Veit,Vinny Black,Mark Ross,Wayne Allen,Edwin Santana,Devon Cade,Wayne Edmund Dorsey,Bobbie Curry,Sherrie Cohen,Jewell Williams,Rochelle Bilal,Malika Rahman,Larry King Sr,All
Helen Gym,45,765,730,674,691,398,389,274,343,196,137,141,92,95,98,65,66,98,60,48,24,44,22,17,19,19,15,14,12,0,580,440,397,49,All
Derek S Green,,10,718,706,591,303,259,79,123,54,131,49,26,15,25,64,38,38,41,36,10,8,16,13,16,13,12,14,7,0,568,213,174,48,All
Allan Domb,,,27,629,550,308,256,68,46,48,86,64,36,19,34,51,30,17,39,33,36,17,25,19,22,20,18,14,14,0,568,198,172,50,All
Isaiah Thomas,,,,10,556,179,187,75,119,45,125,42,35,21,21,48,40,65,45,39,21,11,11,12,16,18,14,8,3,0,549,197,119,29,All
Katherine Gilmore Richardson,,,,,8,215,102,63,129,54,152,79,20,15,68,37,42,20,21,19,17,18,13,11,10,10,12,6,5,0,485,160,183,23,All
Eryn Santamoor,,,,,,5,262,80,128,59,64,61,10,14,79,16,21,15,17,18,12,25,16,11,4,8,5,5,11,0,124,188,201,32,All
Justin Diberardinis,,,,,,,2,107,177,50,33,50,8,14,28,16,13,55,17,9,10,6,12,10,4,10,4,1,4,0,102,200,152,35,All
Adrián Rivera-reyes,,,,,,,,8,103,145,28,78,86,94,25,18,23,22,30,17,16,15,7,7,4,7,2,3,7,0,64,232,123,24,All
Erika Almirón,,,,,,,,,0,65,48,65,4,15,54,13,20,59,26,9,9,21,4,5,3,4,6,6,2,0,47,165,152,15,All
