col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Jennifer Schultz,Joshua Roberts,Wendi Barish,Tiffany Palmer,Carmella Jacquinto,James C Crumlish,Anthony Kyriakakis,Jon Marshall,Leon Goodman,Kendra Mccrae,Craig Levin,Terri M Booker,Henry Mcgregor Sias,Kay Yu,Nicola Serianni,Beth Grossman,Cateria R Mccabe,Janine D Momasso,Chris Hall,Laurie Dow,Sherman Toppin,Vicki Markovitz,Robert Trimble,James F Berardinelli,Gregory Weyer,All
Jennifer Schultz,87,84,57,67,35,42,32,72,44,46,87,28,24,35,62,42,29,26,23,26,15,23,9,8,3,All
Joshua Roberts,,68,76,17,87,92,62,68,32,21,68,37,61,12,22,23,10,10,12,11,24,16,7,8,3,All
Wendi Barish,,,2,50,75,80,75,10,43,40,12,43,62,26,40,39,28,33,20,37,7,18,6,1,6,All
Tiffany Palmer,,,,4,40,36,68,12,32,59,11,32,39,59,40,35,40,25,46,19,12,16,8,9,11,All
Carmella Jacquinto,,,,,7,74,66,11,25,41,10,33,63,21,20,24,18,15,13,15,18,12,2,3,2,All
James C Crumlish,,,,,,2,84,26,30,16,27,21,57,11,22,18,11,5,37,7,13,10,7,4,0,All
Anthony Kyriakakis,,,,,,,0,9,18,28,7,13,77,37,16,12,19,12,37,10,12,8,4,8,3,All
Jon Marshall,,,,,,,,25,22,14,66,16,2,8,19,20,5,3,14,9,9,3,7,2,0,All
Leon Goodman,,,,,,,,,3,32,26,46,9,23,17,17,28,38,19,30,17,8,10,5,2,All
Kendra Mccrae,,,,,,,,,,3,12,33,8,26,36,29,29,18,17,19,13,10,10,5,2,All
Craig Levin,,,,,,,,,,,15,12,5,11,21,12,6,4,9,6,10,4,10,2,2,All
Terri M Booker,,,,,,,,,,,,12,5,25,18,19,24,34,10,22,19,10,4,3,6,All
Henry Mcgregor Sias,,,,,,,,,,,,,3,34,16,7,18,4,5,6,11,8,2,5,6,All
Kay Yu,,,,,,,,,,,,,,10,19,9,26,14,15,7,4,4,1,4,6,All
Nicola Serianni,,,,,,,,,,,,,,,2,24,26,17,11,13,6,14,4,6,7,All
Beth Grossman,,,,,,,,,,,,,,,,3,10,8,17,19,5,24,3,5,3,All
Cateria R Mccabe,,,,,,,,,,,,,,,,,0,29,3,15,14,5,3,2,6,All
Janine D Momasso,,,,,,,,,,,,,,,,,,1,6,25,9,6,4,4,5,All
Chris Hall,,,,,,,,,,,,,,,,,,,1,9,5,7,5,7,2,All
Laurie Dow,,,,,,,,,,,,,,,,,,,,2,8,6,0,2,2,All
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,4,3,5,3,5,All
Vicki Markovitz,,,,,,,,,,,,,,,,,,,,,,0,2,5,3,All
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,1,0,2,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,3,1,All
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,1,All
Total,303,272,193,176,162,161,151,129,129,127,124,124,118,106,106,91,85,76,75,72,57,47,26,24,19,All
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,1
,Jennifer Schultz,Tiffany Palmer,Anthony Kyriakakis,Kay Yu,James C Crumlish,Chris Hall,Nicola Serianni,Beth Grossman,Joshua Roberts,Kendra Mccrae,Wendi Barish,Henry Mcgregor Sias,Leon Goodman,Cateria R Mccabe,Craig Levin,Carmella Jacquinto,Jon Marshall,Vicki Markovitz,Laurie Dow,Janine D Momasso,Sherman Toppin,Terri M Booker,Gregory Weyer,Robert Trimble,James F Berardinelli,1
Jennifer Schultz,7,17,10,9,10,7,16,11,12,7,8,6,9,3,10,3,7,6,5,4,3,2,1,0,1,1
Tiffany Palmer,,0,27,18,16,20,9,11,2,9,8,10,5,8,2,4,3,5,3,2,0,4,3,1,2,1
Anthony Kyriakakis,,,0,13,16,19,4,5,2,3,7,11,3,5,2,3,2,3,2,1,2,3,1,1,2,1
Kay Yu,,,,4,3,7,8,2,0,6,1,11,6,8,2,5,0,2,0,2,1,2,2,0,1,1
James C Crumlish,,,,,0,16,6,5,5,1,7,0,4,2,5,0,4,2,3,1,0,1,0,0,0,1
Chris Hall,,,,,,1,3,3,0,2,5,3,2,2,1,0,1,0,2,1,0,1,0,0,2,1
Nicola Serianni,,,,,,,0,2,5,6,5,3,5,4,7,2,5,1,2,4,2,2,1,0,1,1
Beth Grossman,,,,,,,,1,4,6,7,0,2,1,1,5,3,7,4,1,1,2,0,0,0,1
Joshua Roberts,,,,,,,,,1,3,1,2,4,2,7,4,7,4,2,1,4,1,1,1,0,1
Kendra Mccrae,,,,,,,,,,0,6,1,3,5,2,5,0,3,2,4,1,2,0,1,1,1
Wendi Barish,,,,,,,,,,,0,0,3,1,3,1,1,2,5,2,0,1,0,1,0,1
Henry Mcgregor Sias,,,,,,,,,,,,0,2,4,1,2,0,2,0,0,3,1,2,1,0,1
Leon Goodman,,,,,,,,,,,,,0,1,4,2,3,3,1,2,1,2,1,1,0,1
Cateria R Mccabe,,,,,,,,,,,,,,0,1,4,1,0,1,2,3,2,1,0,0,1
Craig Levin,,,,,,,,,,,,,,,0,1,6,0,0,1,3,0,2,2,0,1
Carmella Jacquinto,,,,,,,,,,,,,,,,0,1,3,1,2,2,0,0,0,0,1
Jon Marshall,,,,,,,,,,,,,,,,,1,2,0,1,0,1,0,0,0,1
Vicki Markovitz,,,,,,,,,,,,,,,,,,0,3,1,0,1,0,0,0,1
Laurie Dow,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,1
Janine D Momasso,,,,,,,,,,,,,,,,,,,,0,0,1,0,1,0,1
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0,1
Terri M Booker,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,1
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,0,2,0,1
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,42,41,32,27,23,22,21,18,18,16,15,14,14,13,13,11,11,10,8,7,7,7,4,3,2,1
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,2
,Jennifer Schultz,Anthony Kyriakakis,Joshua Roberts,Carmella Jacquinto,Tiffany Palmer,Wendi Barish,James C Crumlish,Kay Yu,Henry Mcgregor Sias,Jon Marshall,Kendra Mccrae,Nicola Serianni,Beth Grossman,Cateria R Mccabe,Leon Goodman,Terri M Booker,Laurie Dow,Craig Levin,Janine D Momasso,Chris Hall,Vicki Markovitz,Gregory Weyer,James F Berardinelli,Sherman Toppin,Robert Trimble,2
Jennifer Schultz,7,4,6,6,5,6,2,7,4,8,3,7,2,3,3,4,4,7,3,2,2,1,1,0,1,2
Anthony Kyriakakis,,0,10,11,8,11,13,7,10,4,4,4,2,4,4,3,2,1,3,4,1,0,2,1,0,2
Joshua Roberts,,,4,9,2,9,12,2,8,7,2,1,3,0,1,2,1,6,0,1,1,0,1,1,1,2
Carmella Jacquinto,,,,0,3,9,9,2,8,3,3,6,2,2,2,2,4,0,2,3,2,0,0,1,0,2
Tiffany Palmer,,,,,0,3,3,10,5,1,6,4,5,8,4,2,3,0,4,3,3,3,1,1,0,2
Wendi Barish,,,,,,0,9,5,9,2,2,5,3,0,3,3,1,0,1,3,0,1,1,0,0,2
James C Crumlish,,,,,,,0,2,7,6,3,1,3,1,2,2,0,2,1,2,1,0,1,1,1,2
Kay Yu,,,,,,,,1,5,3,4,4,1,5,3,2,0,2,1,3,0,2,1,0,0,2
Henry Mcgregor Sias,,,,,,,,,1,0,1,3,1,2,0,0,1,0,1,0,1,1,1,1,0,2
Jon Marshall,,,,,,,,,,2,3,1,2,1,3,4,2,6,0,1,0,0,0,1,1,2
Kendra Mccrae,,,,,,,,,,,1,3,2,4,2,3,2,1,1,0,0,1,2,0,0,2
Nicola Serianni,,,,,,,,,,,,0,3,3,1,2,3,0,2,1,3,1,2,0,0,2
