col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,division
,City Commissioners - Democrat,,,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Omar Sabir,Lisa Deeley,Kahlil Williams,Marwan Kreidie,Jen Devor,Annette Thompson,Luigi Borda,Carla Cain,Dennis Lee,Moira Bohannon,Robin Trent,Lewis Harris Jr,Warren Bloom,Anthony Kyriakakis,Joshua Roberts,Tiffany Palmer,Jennifer Schultz,Cateria R Mccabe,Carmella Jacquinto,Henry Mcgregor Sias,Sherman Toppin,Wendi Barish,James C Crumlish,Beth Grossman,Chris Hall,Kay Yu,Leon Goodman,Craig Levin,Vicki Markovitz,Nicola Serianni,Kendra Mccrae,Terri M Booker,Jon Marshall,Laurie Dow,James F Berardinelli,Janine D Momasso,Robert Trimble,Gregory Weyer,All
Omar Sabir,53,538,131,63,6,37,16,21,24,7,6,8,5,432,677,139,236,456,456,392,480,93,99,87,75,78,132,151,54,87,104,142,125,65,34,38,28,13,All
Lisa Deeley,,13,155,63,18,52,18,21,6,11,8,7,7,509,539,234,254,410,396,416,380,218,129,134,74,92,149,108,156,89,70,74,76,73,36,38,15,15,All
Kahlil Williams,,,21,36,178,28,17,18,23,8,9,13,3,365,98,418,182,102,89,156,80,210,204,132,221,196,182,66,146,70,117,97,45,73,66,40,16,15,All
Marwan Kreidie,,,,13,11,9,21,4,8,11,9,1,1,102,108,104,159,47,21,33,17,58,85,31,59,63,33,83,41,48,24,18,77,29,15,12,9,1,All
Jen Devor,,,,,2,8,19,7,4,7,2,1,0,178,19,210,111,44,35,43,4,69,116,65,139,118,27,12,29,44,40,17,5,38,31,17,2,7,All
Annette Thompson,,,,,,4,2,20,3,7,5,3,2,28,40,72,95,47,42,13,29,71,25,83,27,29,38,30,37,62,51,47,25,42,10,23,7,4,All
Luigi Borda,,,,,,,11,10,10,1,4,2,6,61,24,77,63,44,27,32,15,39,47,29,35,46,19,8,25,40,15,12,3,12,23,15,9,6,All
Carla Cain,,,,,,,,3,1,8,5,3,0,29,20,59,52,25,29,16,12,38,30,49,26,33,17,17,24,46,27,22,11,27,11,18,4,4,All
Dennis Lee,,,,,,,,,2,3,4,3,5,23,32,26,26,18,21,11,24,16,25,23,20,18,35,23,18,18,15,17,25,9,13,9,12,7,All
Moira Bohannon,,,,,,,,,,1,5,0,2,31,6,38,42,13,22,5,2,27,30,25,21,22,8,9,21,29,17,6,5,12,8,10,6,5,All
Robin Trent,,,,,,,,,,,1,3,1,14,12,30,23,10,16,3,8,14,16,22,18,19,9,7,15,24,9,11,7,16,7,9,4,2,All
Lewis Harris Jr,,,,,,,,,,,,0,3,5,15,17,14,10,6,1,8,7,7,15,12,6,19,16,5,15,14,17,8,6,7,5,5,7,All
Warren Bloom,,,,,,,,,,,,,2,10,16,11,17,3,4,1,5,8,12,12,10,7,10,12,5,7,5,3,6,6,12,1,9,3,All
Anthony Kyriakakis,,,,,,,,,,,,,,4,419,465,159,446,374,506,397,185,278,105,280,220,138,36,149,58,47,28,17,42,58,19,9,8,All
Joshua Roberts,,,,,,,,,,,,,,,17,76,149,440,394,375,442,75,98,75,48,38,86,144,28,65,54,77,141,33,29,14,25,7,All
Tiffany Palmer,,,,,,,,,,,,,,,,8,242,135,109,186,49,255,271,152,296,264,187,46,176,137,126,83,27,88,70,52,22,18,All
Jennifer Schultz,,,,,,,,,,,,,,,,,16,126,85,55,49,194,130,177,115,139,68,166,91,187,105,67,127,90,39,58,26,12,All
Cateria R Mccabe,,,,,,,,,,,,,,,,,,1,384,400,435,87,44,58,30,69,53,39,40,72,63,48,22,47,30,49,7,9,All
Carmella Jacquinto,,,,,,,,,,,,,,,,,,,5,333,371,69,71,73,41,79,72,20,53,49,72,85,16,43,20,30,13,7,All
Henry Mcgregor Sias,,,,,,,,,,,,,,,,,,,,2,371,105,45,31,33,85,99,21,95,29,17,14,10,20,24,14,5,13,All
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,1,28,29,25,24,29,63,27,25,33,49,65,26,30,22,21,11,11,All
Wendi Barish,,,,,,,,,,,,,,,,,,,,,,0,109,140,78,81,145,48,170,116,77,45,33,70,38,51,11,8,All
