col_1,col_2,col_3,division
,City Commissioners - Republican,Mayor - Republican,All
,Al Schmidt,Billy Ciancaglini,All
Al Schmidt,2,19,All
Billy Ciancaglini,,1,All
Total,21,20,All
,City Commissioners - Republican,Mayor - Republican,1
,Al Schmidt,Billy Ciancaglini,1
Al Schmidt,0,1,1
Billy Ciancaglini,,0,1
Total,1,1,1
,City Commissioners - Republican,Mayor - Republican,2
,Al Schmidt,Billy Ciancaglini,2
Al Schmidt,0,1,2
Billy Ciancaglini,,0,2
Total,1,1,2
,City Commissioners - Republican,Mayor - Republican,3
,Al Schmidt,Billy Ciancaglini,3
Al Schmidt,0,1,3
Billy Ciancaglini,,0,3
Total,1,1,3
,City Commissioners - Republican,Mayor - Republican,4
,Al Schmidt,Billy Ciancaglini,4
Al Schmidt,0,1,4
Billy Ciancaglini,,0,4
Total,1,1,4
,City Commissioners - Republican,Mayor - Republican,7
,Al Schmidt,Billy Ciancaglini,7
Al Schmidt,0,1,7
Billy Ciancaglini,,0,7
Total,1,1,7
,City Commissioners - Republican,Mayor - Republican,9
,Al Schmidt,Billy Ciancaglini,9
Al Schmidt,0,3,9
Billy Ciancaglini,,0,9
Total,3,3,9
,City Commissioners - Republican,Mayor - Republican,10
,Al Schmidt,Billy Ciancaglini,10
Al Schmidt,1,3,10
Billy Ciancaglini,,0,10
Total,4,3,10
,City Commissioners - Republican,Mayor - Republican,12
,Al Schmidt,Billy Ciancaglini,12
Al Schmidt,0,2,12
Billy Ciancaglini,,0,12
Total,2,2,12
,City Commissioners - Republican,Mayor - Republican,13
,Al Schmidt,Billy Ciancaglini,13
Al Schmidt,0,2,13
Billy Ciancaglini,,0,13
Total,2,2,13
,City Commissioners - Republican,Mayor - Republican,15
,Al Schmidt,Billy Ciancaglini,15
Al Schmidt,0,1,15
Billy Ciancaglini,,0,15
Total,1,1,15
,City Commissioners - Republican,Mayor - Republican,17
,Al Schmidt,Billy Ciancaglini,17
Al Schmidt,1,1,17
Billy Ciancaglini,,1,17
Total,2,2,17
,City Commissioners - Republican,Mayor - Republican,18
,Al Schmidt,Billy Ciancaglini,18
Al Schmidt,0,2,18
Billy Ciancaglini,,0,18
Total,2,2,18
