col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheriff - Democrat,,,,All
,Helen Gym,Isaiah Thomas,Allan Domb,Adrián Rivera-reyes,Derek S Green,Deja Lynn Alvarez,Erika Almirón,Justin Diberardinis,Katherine Gilmore Richardson,Willie Floyd Singletary,Eryn Santamoor,Ogbonna Paul Hagins,Ethelind Baylor,Sandra Dungee Glenn,Beth Finn,Fernando Treviño,Asa Khalif,Fareed Abdullah,Billy Thompson,Joseph A Diorio,Latrice Y Bryant,Hena Veit,Bobbie Curry,Wayne Allen,Edwin Santana,Vinny Black,Mark Ross,Devon Cade,Wayne Edmund Dorsey,Sherrie Cohen,Rochelle Bilal,Malika Rahman,Jewell Williams,Larry King Sr,All
Helen Gym,45,502,364,340,352,251,344,334,294,151,160,162,163,91,85,69,68,49,41,36,46,30,20,8,21,14,16,12,10,0,654,299,176,44,All
Isaiah Thomas,,13,287,78,316,49,202,188,257,35,54,16,126,75,34,17,45,51,28,12,31,9,9,15,11,8,9,12,4,1,293,118,156,29,All
Allan Domb,,,21,68,285,42,38,100,187,40,104,12,23,76,42,31,26,41,33,34,18,10,19,20,12,17,12,9,10,0,239,89,148,35,All
Adrián Rivera-reyes,,,,12,54,225,123,91,34,143,74,151,31,18,53,47,37,18,16,14,22,14,7,7,11,12,3,4,5,0,322,158,34,17,All
Derek S Green,,,,,5,44,55,111,236,25,65,10,38,47,25,13,23,36,24,14,15,4,8,13,6,6,9,2,4,0,197,73,141,18,All
Deja Lynn Alvarez,,,,,,8,92,55,30,141,50,123,28,16,34,34,26,17,20,22,27,15,7,7,10,5,4,3,2,1,222,144,37,13,All
Erika Almirón,,,,,,,1,176,50,7,49,18,124,24,37,29,46,18,12,5,26,11,6,5,12,4,5,3,4,0,215,112,29,16,All
Justin Diberardinis,,,,,,,,5,68,2,78,12,111,26,32,20,17,11,12,20,10,4,6,2,5,6,7,3,4,0,206,77,64,19,All
Katherine Gilmore Richardson,,,,,,,,,5,17,58,6,16,47,24,16,17,13,16,9,18,12,8,5,6,4,7,4,2,1,146,74,98,17,All
Willie Floyd Singletary,,,,,,,,,,15,19,108,4,12,4,16,12,17,19,13,13,11,5,6,1,8,6,5,5,0,155,112,34,13,All
Eryn Santamoor,,,,,,,,,,,4,9,15,26,37,47,16,12,26,32,19,22,6,8,8,8,2,3,2,0,123,62,42,30,All
Ogbonna Paul Hagins,,,,,,,,,,,,3,8,6,8,10,5,5,4,7,7,7,5,1,3,5,1,5,1,0,119,61,11,10,All
Ethelind Baylor,,,,,,,,,,,,,0,10,16,8,10,11,2,2,15,2,0,1,2,1,3,3,0,0,113,38,27,2,All
Sandra Dungee Glenn,,,,,,,,,,,,,,4,18,7,17,11,11,12,15,10,5,5,7,5,3,2,3,0,69,36,48,5,All
Beth Finn,,,,,,,,,,,,,,,1,7,14,7,9,13,15,16,4,5,4,3,6,5,0,0,62,42,18,20,All
Fernando Treviño,,,,,,,,,,,,,,,,1,9,8,30,32,12,22,3,7,6,4,2,7,2,1,43,43,15,30,All
Asa Khalif,,,,,,,,,,,,,,,,,0,36,9,2,19,9,5,6,2,5,3,2,3,0,50,49,23,9,All
Fareed Abdullah,,,,,,,,,,,,,,,,,,0,10,8,17,4,4,6,4,6,2,6,1,0,44,48,21,10,All
Billy Thompson,,,,,,,,,,,,,,,,,,,2,27,11,18,9,6,3,6,5,6,7,1,27,20,32,29,All
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,1,8,15,13,4,4,4,9,5,6,0,31,23,20,35,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,,2,5,8,5,4,5,3,6,2,0,41,38,18,9,All
Hena Veit,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,4,3,1,0,0,30,17,9,13,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,0,2,2,3,5,6,0,0,12,11,14,10,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,2,6,3,4,0,3,0,14,7,13,7,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,2,0,16,14,7,2,All
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,2,2,0,15,13,6,9,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,0,10,10,11,6,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,11,6,5,5,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,11,7,4,4,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,All
Rochelle Bilal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,0,0,0,All
Malika Rahman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,0,0,All
Jewell Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0,All
Larry King Sr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,All
Total,"1,358",729,622,575,524,447,422,417,405,346,277,217,209,177,159,139,138,130,120,115,111,70,49,47,43,43,39,31,26,2,"1,027",568,368,124,All
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheriff - Democrat,,,,1
,Helen Gym,Isaiah Thomas,Allan Domb,Adrián Rivera-reyes,Erika Almirón,Derek S Green,Deja Lynn Alvarez,Katherine Gilmore Richardson,Justin Diberardinis,Asa Khalif,Eryn Santamoor,Willie Floyd Singletary,Fareed Abdullah,Sandra Dungee Glenn,Beth Finn,Fernando Treviño,Joseph A Diorio,Ogbonna Paul Hagins,Ethelind Baylor,Latrice Y Bryant,Wayne Edmund Dorsey,Edwin Santana,Mark Ross,Billy Thompson,Hena Veit,Wayne Allen,Devon Cade,Vinny Black,Bobbie Curry,Sherrie Cohen,Rochelle Bilal,Malika Rahman,Jewell Williams,Larry King Sr,1
