col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,division
,District Council 4th District - Democrat,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Curtis Jones Jr,Ron Adams,Helen Gym,Allan Domb,Derek S Green,Isaiah Thomas,Katherine Gilmore Richardson,Eryn Santamoor,Adrián Rivera-reyes,Justin Diberardinis,Sandra Dungee Glenn,Deja Lynn Alvarez,Erika Almirón,Willie Floyd Singletary,Fareed Abdullah,Beth Finn,Ogbonna Paul Hagins,Asa Khalif,Fernando Treviño,Latrice Y Bryant,Billy Thompson,Edwin Santana,Ethelind Baylor,Joseph A Diorio,Hena Veit,Vinny Black,Wayne Allen,Mark Ross,Bobbie Curry,Devon Cade,Wayne Edmund Dorsey,Sherrie Cohen,All
Curtis Jones Jr,995,0,"8,438","5,803","6,007","5,857","5,156","2,968","2,216","2,087","2,417","1,739","1,840","1,557","1,150",819,881,962,856,851,811,789,660,513,386,321,309,250,252,223,241,2,All
Ron Adams,,308,"2,859","1,553","1,255","1,201","1,141",980,"1,410","1,008",689,987,720,644,453,678,504,329,346,321,310,238,312,320,202,172,140,184,143,113,88,2,All
Helen Gym,,,149,"4,915","5,078","4,458","4,339","2,328","2,054","2,436","1,640","1,484","2,137",986,669,898,892,576,732,543,551,427,689,291,361,191,160,155,162,137,128,1,All
Allan Domb,,,,174,"4,584","4,180","3,545","2,093",641,"1,213","1,266",411,403,424,544,430,178,368,293,230,356,361,206,334,150,186,177,176,120,139,136,0,All
Derek S Green,,,,,60,"4,775","4,105","1,910",580,"1,349","1,297",393,741,338,586,306,149,461,223,302,332,337,375,146,73,121,148,93,80,71,92,3,All
Isaiah Thomas,,,,,,47,"3,810","1,460",639,"1,009","1,491",423,758,448,685,267,196,571,187,396,375,389,472,185,120,128,170,126,63,144,78,2,All
Katherine Gilmore Richardson,,,,,,,64,"1,897",466,815,"1,324",351,943,223,354,478,135,263,425,336,325,251,204,137,150,109,79,97,88,70,72,2,All
Eryn Santamoor,,,,,,,,13,569,"1,093",566,381,748,156,205,373,118,144,486,213,142,111,125,127,151,93,43,69,82,48,44,2,All
Adrián Rivera-reyes,,,,,,,,,29,523,277,"1,222",543,818,209,435,782,202,326,212,162,145,162,130,145,72,66,58,74,35,39,1,All
Justin Diberardinis,,,,,,,,,,31,427,255,948,56,124,294,60,119,335,88,88,190,344,270,48,71,44,67,41,31,23,3,All
Sandra Dungee Glenn,,,,,,,,,,,38,204,467,151,275,322,89,287,217,279,263,311,176,205,120,59,57,43,77,43,43,0,All
Deja Lynn Alvarez,,,,,,,,,,,,30,404,760,170,260,703,192,198,260,140,101,141,108,130,55,56,49,54,54,41,1,All
Erika Almirón,,,,,,,,,,,,,3,72,141,357,88,214,372,200,159,72,311,53,128,45,35,30,37,37,34,1,All
Willie Floyd Singletary,,,,,,,,,,,,,,20,167,68,587,143,97,154,183,82,41,92,46,60,65,42,52,34,52,1,All
Fareed Abdullah,,,,,,,,,,,,,,,10,108,82,397,81,206,136,149,97,74,50,91,68,41,49,61,48,0,All
Beth Finn,,,,,,,,,,,,,,,,18,77,93,97,154,106,72,99,127,137,51,54,77,59,32,30,0,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,,,,21,76,67,65,85,51,31,53,69,35,23,25,26,24,15,1,All
Asa Khalif,,,,,,,,,,,,,,,,,,5,70,195,89,124,78,43,66,68,68,30,40,45,47,0,All
Fernando Treviño,,,,,,,,,,,,,,,,,,,3,62,69,208,36,226,70,34,30,25,32,14,14,1,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,8,113,86,85,55,89,58,52,57,64,50,46,0,All
Billy Thompson,,,,,,,,,,,,,,,,,,,,,12,52,44,129,52,67,61,63,64,28,57,0,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,12,47,167,32,32,40,36,30,26,24,0,All
Ethelind Baylor,,,,,,,,,,,,,,,,,,,,,,,16,32,24,19,34,9,12,22,17,0,All
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,,,,,4,56,69,42,73,57,49,46,1,All
Hena Veit,,,,,,,,,,,,,,,,,,,,,,,,,3,40,16,24,25,29,24,0,All
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,43,33,39,24,0,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,10,32,29,21,32,1,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,56,24,32,1,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,19,1,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,23,0,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"15,890","5,547","12,501","8,509","8,296","8,006","7,064","4,351","3,814","3,533","3,524","2,866","2,801","2,290","1,702","1,621","1,487","1,379","1,331","1,256","1,209","1,126","1,088",934,644,530,487,464,416,371,357,7,All
