col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Helen Gym,Allan Domb,Isaiah Thomas,Derek S Green,Katherine Gilmore Richardson,Adrián Rivera-reyes,Deja Lynn Alvarez,Willie Floyd Singletary,Ogbonna Paul Hagins,Sandra Dungee Glenn,Fareed Abdullah,Erika Almirón,Asa Khalif,Latrice Y Bryant,Eryn Santamoor,Billy Thompson,Justin Diberardinis,Beth Finn,Mark Ross,Fernando Treviño,Ethelind Baylor,Bobbie Curry,Wayne Allen,Hena Veit,Joseph A Diorio,Edwin Santana,Wayne Edmund Dorsey,Vinny Black,Devon Cade,Sherrie Cohen,Joshua Roberts,Jennifer Schultz,Carmella Jacquinto,Craig Levin,Anthony Kyriakakis,Jon Marshall,James C Crumlish,Sherman Toppin,Cateria R Mccabe,Henry Mcgregor Sias,Wendi Barish,Tiffany Palmer,Leon Goodman,Kendra Mccrae,Terri M Booker,Nicola Serianni,Beth Grossman,Kay Yu,Laurie Dow,Chris Hall,Janine D Momasso,Vicki Markovitz,Robert Trimble,James F Berardinelli,Gregory Weyer,All
Helen Gym,37,336,342,338,246,216,180,159,154,83,61,99,57,50,62,51,77,44,25,36,54,20,21,24,21,12,16,9,11,0,445,335,230,228,205,194,159,188,191,170,140,163,118,107,124,106,100,101,64,61,45,50,32,27,19,All
Allan Domb,,30,372,389,278,45,30,43,17,76,68,23,37,26,44,32,26,22,33,16,9,21,23,7,18,12,14,10,14,0,325,104,259,77,228,51,160,176,174,206,135,88,78,75,91,46,70,56,54,45,45,37,21,29,19,All
Isaiah Thomas,,,12,387,305,50,29,43,14,82,73,67,61,41,36,36,48,18,25,15,51,14,19,12,10,14,16,5,10,0,317,114,286,80,229,50,162,193,196,227,153,124,109,86,106,59,63,74,52,39,49,35,13,24,18,All
Derek S Green,,,,9,303,35,30,39,15,103,70,32,35,31,28,31,43,13,23,8,32,13,22,8,7,8,12,6,6,0,320,86,291,58,249,40,158,185,168,227,144,102,100,74,110,39,52,58,46,42,55,15,14,24,16,All
Katherine Gilmore Richardson,,,,,7,29,27,20,14,82,34,32,26,33,36,21,22,31,5,12,8,14,13,14,2,8,10,12,10,0,263,76,238,43,204,32,137,158,153,190,123,69,63,63,68,34,55,42,31,22,38,29,19,10,9,All
Adrián Rivera-reyes,,,,,,5,172,159,131,15,22,44,30,21,21,19,25,31,7,28,13,7,4,14,8,10,3,7,5,0,195,282,44,175,35,166,65,24,37,34,54,67,37,52,38,67,35,36,31,29,17,21,16,8,12,All
Deja Lynn Alvarez,,,,,,,10,156,128,18,20,35,23,29,18,14,13,22,16,26,6,12,3,14,15,8,10,5,6,0,184,201,46,148,31,141,63,27,32,30,58,48,42,42,31,63,38,30,23,29,22,22,16,7,11,All
Willie Floyd Singletary,,,,,,,,13,118,15,23,11,16,18,11,18,5,9,15,14,2,8,7,4,16,5,6,9,4,0,165,183,21,166,11,140,47,31,22,12,30,38,45,41,29,52,25,30,22,26,12,14,22,12,5,All
