col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Helen Gym,Allan Domb,Katherine Gilmore Richardson,Derek S Green,Isaiah Thomas,Justin Diberardinis,Eryn Santamoor,Adrián Rivera-reyes,Deja Lynn Alvarez,Beth Finn,Willie Floyd Singletary,Erika Almirón,Sandra Dungee Glenn,Joseph A Diorio,Ogbonna Paul Hagins,Fernando Treviño,Billy Thompson,Bobbie Curry,Vinny Black,Hena Veit,Asa Khalif,Ethelind Baylor,Mark Ross,Latrice Y Bryant,Fareed Abdullah,Edwin Santana,Wayne Allen,Wayne Edmund Dorsey,Devon Cade,Sherrie Cohen,Joshua Roberts,Wendi Barish,James C Crumlish,Jennifer Schultz,Leon Goodman,Anthony Kyriakakis,Beth Grossman,Craig Levin,Carmella Jacquinto,Tiffany Palmer,Nicola Serianni,Vicki Markovitz,Jon Marshall,James F Berardinelli,Cateria R Mccabe,Kendra Mccrae,Laurie Dow,Chris Hall,Kay Yu,Terri M Booker,Janine D Momasso,Sherman Toppin,Henry Mcgregor Sias,Robert Trimble,Gregory Weyer,All
Helen Gym,30,511,316,285,290,181,173,132,117,119,82,98,81,41,68,43,38,37,21,29,22,34,27,22,14,13,7,9,8,0,462,399,389,276,308,295,224,217,230,137,122,103,105,82,85,73,74,76,80,68,68,31,30,30,18,All
Allan Domb,,38,288,317,278,212,166,56,45,77,24,54,64,70,15,36,46,35,32,23,15,16,31,9,13,15,17,9,11,1,392,364,374,148,297,295,235,174,235,99,92,107,64,107,59,60,60,59,56,46,38,24,33,28,30,All
Katherine Gilmore Richardson,,,4,239,229,65,76,27,27,60,10,44,50,23,7,22,18,17,11,16,6,10,9,15,8,5,5,9,4,0,240,266,244,88,208,213,101,71,186,69,47,64,26,34,51,44,40,42,33,30,28,17,11,11,10,All
Derek S Green,,,,1,246,79,57,26,17,21,10,19,18,16,6,12,14,15,16,8,9,17,11,10,11,8,9,5,4,0,256,238,244,59,216,228,84,64,182,53,26,38,26,34,34,45,30,30,24,33,22,23,20,7,15,All
Isaiah Thomas,,,,,2,59,29,32,27,20,13,26,21,19,8,11,16,8,7,7,23,18,6,18,19,8,6,9,3,0,268,243,243,60,228,218,60,59,193,51,34,27,22,23,35,41,15,28,20,39,18,24,15,13,10,All
Justin Diberardinis,,,,,,6,88,25,14,49,4,35,24,36,1,11,9,15,14,13,13,19,17,7,6,10,5,5,3,0,85,111,128,89,71,92,131,63,46,58,49,57,22,70,31,30,34,34,35,20,31,12,21,17,18,All
Eryn Santamoor,,,,,,,1,35,37,46,14,47,36,26,11,29,17,18,12,22,11,10,7,13,3,16,2,3,5,0,87,116,106,97,57,75,105,65,47,71,59,46,29,33,37,31,32,40,43,19,30,17,22,12,10,All
Adrián Rivera-reyes,,,,,,,,7,99,27,75,22,13,15,64,37,10,9,7,12,4,11,4,14,7,17,3,3,3,1,105,56,58,131,43,35,48,98,43,44,56,31,64,17,20,31,16,24,28,18,20,14,14,9,7,All
Deja Lynn Alvarez,,,,,,,,,6,24,78,25,15,9,63,28,12,7,9,12,15,10,4,9,4,12,6,3,2,1,97,64,49,119,47,30,47,88,36,42,43,25,64,11,25,35,20,18,29,28,20,16,14,9,7,All
Beth Finn,,,,,,,,,,0,9,36,49,33,11,12,24,25,12,19,10,10,13,10,2,9,9,8,4,0,47,85,63,92,38,42,112,49,41,59,39,57,16,35,34,22,35,21,34,24,30,8,6,10,11,All
Willie Floyd Singletary,,,,,,,,,,,5,6,4,12,58,7,7,7,7,8,5,2,4,8,7,5,5,4,3,0,78,21,31,84,35,7,15,84,11,12,29,7,61,12,20,12,5,10,7,15,8,8,4,7,7,All
Erika Almirón,,,,,,,,,,,,1,25,12,3,13,4,6,3,10,15,13,2,10,2,6,1,0,3,1,20,59,41,64,24,38,50,19,27,57,34,28,10,13,36,36,21,31,29,16,27,3,13,5,3,All
Sandra Dungee Glenn,,,,,,,,,,,,,0,16,5,4,10,12,8,13,8,11,8,17,3,2,7,3,3,0,38,63,22,61,31,25,67,25,33,41,35,39,14,17,30,31,30,14,18,32,28,10,7,8,5,All
Joseph A Diorio,,,,,,,,,,,,,,3,10,12,24,17,16,9,5,4,11,4,0,5,3,4,2,0,45,40,48,39,31,30,45,46,16,15,33,28,24,44,19,8,5,11,6,8,13,11,6,10,7,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,,3,9,5,2,5,6,6,2,1,2,4,1,1,0,1,0,51,18,23,59,19,5,10,59,7,7,23,10,49,9,9,12,5,4,6,8,4,6,2,4,1,All
Fernando Treviño,,,,,,,,,,,,,,,,0,9,5,3,4,4,3,7,4,4,11,3,2,1,0,26,27,35,37,27,22,24,28,16,28,27,13,16,14,13,12,6,16,11,8,7,8,10,2,3,All
Billy Thompson,,,,,,,,,,,,,,,,,0,16,7,8,4,1,6,4,1,3,7,2,4,0,34,36,29,31,29,18,31,37,14,11,18,17,25,19,13,16,10,11,5,8,10,9,2,12,3,All
Bobbie Curry,,,,,,,,,,,,,,,,,,0,6,5,1,1,7,4,1,10,6,2,3,0,24,28,32,30,17,16,28,28,14,8,22,15,12,28,13,15,11,18,7,9,15,5,6,17,5,All
Vinny Black,,,,,,,,,,,,,,,,,,,2,9,3,4,5,3,1,2,1,1,8,0,18,14,20,21,21,18,28,16,10,12,16,14,7,21,11,5,11,7,4,10,11,10,8,6,4,All
Hena Veit,,,,,,,,,,,,,,,,,,,,0,6,1,4,7,4,1,1,0,4,0,16,32,15,38,19,8,29,18,11,8,21,20,6,12,10,11,11,5,12,10,12,7,7,7,3,All
Asa Khalif,,,,,,,,,,,,,,,,,,,,,0,7,4,7,16,4,6,0,2,0,9,23,7,24,10,10,26,17,14,26,12,15,3,8,11,18,11,4,16,16,12,9,7,2,5,All
Ethelind Baylor,,,,,,,,,,,,,,,,,,,,,,1,1,3,3,2,5,1,0,0,17,22,20,18,15,10,12,3,15,18,10,7,1,8,12,11,9,6,10,17,10,6,4,0,2,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,1,3,5,1,8,7,1,0,11,18,15,18,18,11,29,31,5,8,10,18,11,14,7,10,5,4,9,9,7,6,7,9,7,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,,,,,0,7,2,2,1,2,0,18,19,13,20,18,8,14,14,18,19,16,10,9,3,17,20,11,10,7,18,6,10,4,5,1,All
Fareed Abdullah,,,,,,,,,,,,,,,,,,,,,,,,,3,1,7,1,1,0,12,9,5,14,10,5,6,12,15,16,9,8,5,3,9,18,5,4,8,13,4,9,4,2,5,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,2,0,14,14,10,18,10,9,15,15,14,13,10,9,4,10,9,4,6,7,6,8,7,2,4,1,3,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,2,0,11,8,6,11,13,6,8,13,8,10,2,5,11,11,7,5,4,3,6,4,7,5,4,2,2,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,4,6,7,9,8,4,12,13,2,10,4,5,5,6,6,2,3,5,1,5,4,5,1,6,4,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,9,8,5,7,9,6,3,5,2,6,4,3,4,5,4,3,2,3,4,4,6,3,3,2,3,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,All
Joshua Roberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,335,337,128,293,252,106,173,221,25,53,49,103,33,30,32,29,25,18,34,16,25,11,14,11,All
Wendi Barish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,342,136,292,253,160,104,217,81,85,82,44,44,55,52,47,31,45,42,41,20,20,13,9,All
James C Crumlish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,75,284,301,99,96,208,80,50,37,53,63,23,26,20,75,41,29,19,12,15,18,9,All
Jennifer Schultz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,66,36,150,152,51,71,108,75,104,43,56,56,56,30,49,37,42,27,24,20,11,All
Leon Goodman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,209,82,104,183,34,35,45,48,47,30,33,12,19,15,38,17,23,12,18,18,All
Anthony Kyriakakis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,72,46,207,76,28,26,18,48,30,18,15,71,43,12,18,22,26,12,10,All
Beth Grossman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,106,56,69,79,117,27,74,47,57,78,29,34,45,44,15,16,12,13,All
Craig Levin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,25,29,64,73,106,44,28,25,28,20,23,19,18,21,8,19,14,All
Carmella Jacquinto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,53,40,28,10,14,31,38,23,18,30,33,29,15,14,8,8,All
Tiffany Palmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,42,40,10,35,47,49,38,69,56,40,31,18,19,6,12,All
Nicola Serianni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,48,41,27,43,30,30,17,23,18,26,17,14,14,4,All
Vicki Markovitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,37,26,31,36,18,24,23,27,12,10,8,13,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,17,11,6,7,2,11,13,11,13,4,12,3,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22,20,17,29,10,12,27,10,16,22,17,All
Cateria R Mccabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,43,23,12,18,26,31,18,17,5,8,All
Kendra Mccrae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,36,16,20,34,25,13,9,13,7,All
Laurie Dow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,16,21,21,7,6,5,3,All
Chris Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,31,17,6,4,12,13,7,All
Kay Yu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,13,6,14,4,8,All
Terri M Booker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,15,12,7,9,All
Janine D Momasso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,10,8,7,All
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,3,4,All
Henry Mcgregor Sias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,7,All
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,All
