col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,Register Of Wills - Democrat,,,All
,Tiffany Palmer,Jennifer Schultz,Anthony Kyriakakis,Kay Yu,Nicola Serianni,Cateria R Mccabe,James C Crumlish,Henry Mcgregor Sias,Wendi Barish,Carmella Jacquinto,Beth Grossman,Joshua Roberts,Chris Hall,Craig Levin,Kendra Mccrae,Janine D Momasso,Vicki Markovitz,James F Berardinelli,Leon Goodman,Laurie Dow,Terri M Booker,Robert Trimble,Jon Marshall,Sherman Toppin,Gregory Weyer,Tracey Gordon,Ronald R Donatucci,Jacque P Whaumbush,All
Tiffany Palmer,6,"1,264","1,317","1,286","1,103","1,076",319,433,338,127,151,38,323,49,145,108,89,75,55,70,44,29,8,18,28,890,312,201,All
Jennifer Schultz,,16,"1,012","1,092","1,123","1,066",141,241,313,131,197,109,107,126,129,126,119,64,50,79,54,51,68,24,21,811,324,210,All
Anthony Kyriakakis,,,5,"1,112",956,921,359,335,197,134,83,92,315,52,63,24,42,90,49,38,23,39,14,40,17,632,384,176,All
Kay Yu,,,,9,982,978,146,355,182,100,82,18,156,38,100,57,65,59,43,46,32,30,6,15,18,682,237,185,All
Nicola Serianni,,,,,7,965,129,206,249,112,122,88,65,60,100,131,68,66,38,59,35,39,37,21,18,641,285,178,All
Cateria R Mccabe,,,,,,2,57,239,157,89,57,49,39,31,63,111,44,27,33,32,18,21,11,51,11,559,235,153,All
James C Crumlish,,,,,,,15,108,123,130,89,171,262,73,28,10,25,68,98,37,54,21,27,8,8,216,293,44,All
Henry Mcgregor Sias,,,,,,,,7,123,84,44,63,85,32,56,21,43,27,28,32,16,17,8,45,25,309,148,52,All
Wendi Barish,,,,,,,,,2,97,149,55,67,73,102,110,89,49,45,76,50,32,22,17,9,324,127,83,All
Carmella Jacquinto,,,,,,,,,,3,94,134,30,40,66,50,54,45,71,45,72,22,9,41,8,128,205,51,All
Beth Grossman,,,,,,,,,,,5,49,38,63,86,48,96,61,37,68,46,23,20,10,9,190,126,62,All
Joshua Roberts,,,,,,,,,,,,8,12,98,10,12,15,37,85,8,64,19,56,42,9,77,264,22,All
Chris Hall,,,,,,,,,,,,,0,28,26,8,23,48,25,22,13,21,4,4,9,199,96,34,All
Craig Levin,,,,,,,,,,,,,,11,16,27,24,45,28,15,18,35,61,13,6,86,136,36,All
Kendra Mccrae,,,,,,,,,,,,,,,3,42,43,18,31,46,32,14,8,13,8,178,28,46,All
Janine D Momasso,,,,,,,,,,,,,,,,1,38,37,18,29,20,14,4,15,11,122,46,40,All
Vicki Markovitz,,,,,,,,,,,,,,,,,2,28,26,47,24,18,8,5,5,117,60,36,All
James F Berardinelli,,,,,,,,,,,,,,,,,,0,28,12,11,25,9,6,9,60,124,16,All
Leon Goodman,,,,,,,,,,,,,,,,,,,1,18,70,14,13,13,3,68,110,29,All
Laurie Dow,,,,,,,,,,,,,,,,,,,,0,13,11,6,11,4,101,36,28,All
Terri M Booker,,,,,,,,,,,,,,,,,,,,,1,17,6,13,9,62,78,21,All
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,1,12,7,6,38,61,20,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,1,5,5,51,50,11,All
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,0,7,24,50,11,All
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,0,26,10,7,All
Tracey Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,41,0,0,All
Ronald R Donatucci,,,,,,,,,,,,,,,,,,,,,,,,,,,108,0,All
Jacque P Whaumbush,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,All
Total,"1,822","1,731","1,572","1,491","1,436","1,283",623,592,585,406,397,384,380,290,266,229,226,220,218,173,171,130,116,93,57,"1,288",993,356,All
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,Register Of Wills - Democrat,,,1
,Tiffany Palmer,Jennifer Schultz,Kay Yu,Nicola Serianni,Anthony Kyriakakis,Cateria R Mccabe,Wendi Barish,Henry Mcgregor Sias,James C Crumlish,Carmella Jacquinto,Craig Levin,Joshua Roberts,Beth Grossman,Chris Hall,James F Berardinelli,Vicki Markovitz,Janine D Momasso,Kendra Mccrae,Leon Goodman,Gregory Weyer,Robert Trimble,Jon Marshall,Terri M Booker,Laurie Dow,Sherman Toppin,Tracey Gordon,Ronald R Donatucci,Jacque P Whaumbush,1
Tiffany Palmer,1,81,81,76,78,73,18,20,10,7,5,2,6,14,8,6,6,4,5,3,0,0,1,2,0,50,20,13,1
Jennifer Schultz,,2,72,74,64,72,12,10,5,8,6,5,8,7,3,5,5,6,1,3,3,2,2,0,0,46,18,12,1
Kay Yu,,,0,66,65,65,10,16,6,6,1,1,3,9,4,3,2,3,1,1,1,0,2,2,0,42,15,13,1
Nicola Serianni,,,,0,63,73,13,8,2,7,2,3,6,0,1,5,5,3,2,2,1,0,0,0,0,39,13,13,1
Anthony Kyriakakis,,,,,0,57,11,12,11,5,3,2,2,11,7,3,0,0,3,1,1,0,0,0,0,35,19,12,1
