col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Register Of Wills - Democrat,,,All
,Helen Gym,Isaiah Thomas,Derek S Green,Allan Domb,Adrián Rivera-reyes,Katherine Gilmore Richardson,Deja Lynn Alvarez,Willie Floyd Singletary,Erika Almirón,Ogbonna Paul Hagins,Billy Thompson,Justin Diberardinis,Eryn Santamoor,Sandra Dungee Glenn,Beth Finn,Fareed Abdullah,Asa Khalif,Fernando Treviño,Latrice Y Bryant,Ethelind Baylor,Hena Veit,Joseph A Diorio,Edwin Santana,Bobbie Curry,Wayne Allen,Devon Cade,Mark Ross,Wayne Edmund Dorsey,Vinny Black,Sherrie Cohen,Tracey Gordon,Ronald R Donatucci,Jacque P Whaumbush,All
Helen Gym,13,136,143,132,106,91,78,67,76,56,42,52,43,32,27,25,19,20,13,25,16,10,9,8,8,8,4,5,1,0,181,101,81,All
Isaiah Thomas,,3,184,159,32,117,15,19,53,9,34,34,15,31,15,16,20,6,15,19,7,6,5,5,10,6,5,7,3,0,104,125,38,All
Derek S Green,,,4,174,30,127,15,21,35,10,30,30,21,25,13,23,14,12,14,16,3,8,5,6,8,2,4,4,3,0,92,141,36,All
Allan Domb,,,,16,31,104,15,13,19,8,24,21,28,20,14,16,10,9,9,5,6,5,4,5,7,8,1,4,3,0,66,134,39,All
Adrián Rivera-reyes,,,,,9,16,70,56,33,52,19,22,23,8,10,12,7,21,10,9,12,9,11,3,2,4,3,3,4,0,125,39,40,All
Katherine Gilmore Richardson,,,,,,4,9,7,31,5,16,12,14,21,15,11,11,7,9,4,11,8,2,4,3,1,2,3,1,0,56,88,23,All
Deja Lynn Alvarez,,,,,,,3,53,21,48,6,7,12,7,8,4,9,17,7,3,5,3,9,3,2,4,2,0,1,0,73,30,25,All
Willie Floyd Singletary,,,,,,,,2,3,50,10,6,7,7,3,12,12,3,8,1,6,6,2,4,4,1,4,2,3,0,70,26,26,All
Erika Almirón,,,,,,,,,0,2,13,24,14,10,12,5,9,13,6,14,3,3,3,1,1,2,1,4,3,0,57,18,22,All
Ogbonna Paul Hagins,,,,,,,,,,2,2,2,6,3,2,3,2,2,3,3,8,0,0,1,1,2,0,0,0,0,49,14,17,All
Billy Thompson,,,,,,,,,,,0,1,5,13,4,7,3,2,7,1,1,4,3,3,4,2,0,2,1,0,38,15,17,All
Justin Diberardinis,,,,,,,,,,,,0,12,5,6,1,5,7,1,16,3,3,0,3,0,1,2,4,0,0,42,12,13,All
Eryn Santamoor,,,,,,,,,,,,,0,3,8,3,2,8,4,1,10,3,2,2,0,1,0,0,1,0,34,15,14,All
Sandra Dungee Glenn,,,,,,,,,,,,,,2,5,5,9,2,8,1,4,2,3,1,2,1,0,0,0,0,27,16,12,All
Beth Finn,,,,,,,,,,,,,,,3,3,7,4,8,3,6,4,1,2,0,1,1,4,2,0,38,4,9,All
Fareed Abdullah,,,,,,,,,,,,,,,,0,15,1,9,5,1,1,2,3,4,2,2,0,3,0,30,9,15,All
Asa Khalif,,,,,,,,,,,,,,,,,2,1,9,3,3,2,4,1,4,3,3,1,1,0,23,3,18,All
Fernando Treviño,,,,,,,,,,,,,,,,,,0,5,2,5,4,7,2,1,1,1,1,1,0,19,7,17,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,0,3,8,5,2,4,2,3,2,2,1,0,26,5,12,All
Ethelind Baylor,,,,,,,,,,,,,,,,,,,,0,2,1,0,0,0,1,2,0,0,0,23,3,11,All
Hena Veit,,,,,,,,,,,,,,,,,,,,,0,2,1,2,0,1,1,2,0,0,21,5,8,All
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,,,0,0,3,1,2,3,3,2,0,12,5,8,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,8,4,5,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,2,2,1,0,15,3,2,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0,0,11,4,3,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,3,0,7,6,3,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,0,11,0,4,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,5,5,3,All
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6,4,1,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,All
Tracey Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0,0,All
Ronald R Donatucci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0,All
Jacque P Whaumbush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,All
Total,415,306,301,292,225,192,146,132,121,88,74,73,67,65,59,59,55,48,45,40,36,29,22,20,19,18,16,15,12,0,384,238,154,All
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Register Of Wills - Democrat,,,1
,Helen Gym,Adrián Rivera-reyes,Allan Domb,Derek S Green,Deja Lynn Alvarez,Isaiah Thomas,Erika Almirón,Katherine Gilmore Richardson,Justin Diberardinis,Fernando Treviño,Eryn Santamoor,Willie Floyd Singletary,Beth Finn,Billy Thompson,Asa Khalif,Edwin Santana,Ethelind Baylor,Fareed Abdullah,Ogbonna Paul Hagins,Sandra Dungee Glenn,Joseph A Diorio,Vinny Black,Bobbie Curry,Devon Cade,Hena Veit,Latrice Y Bryant,Mark Ross,Sherrie Cohen,Wayne Allen,Wayne Edmund Dorsey,Ronald R Donatucci,Tracey Gordon,Jacque P Whaumbush,1
Helen Gym,0,15,11,10,11,6,9,5,7,1,3,5,2,4,1,1,2,0,2,1,1,0,1,0,0,0,0,0,0,0,10,11,5,1
Adrián Rivera-reyes,,2,10,4,9,4,3,2,6,6,5,5,3,4,2,4,1,1,3,2,2,1,1,1,1,0,0,0,0,0,9,8,9,1
Allan Domb,,,1,14,3,10,1,6,2,1,3,1,2,1,0,2,0,0,0,1,1,1,1,1,0,0,0,0,0,0,11,6,5,1
Derek S Green,,,,0,3,9,1,8,4,1,0,2,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,12,4,1,1
Deja Lynn Alvarez,,,,,0,2,5,3,2,2,3,2,2,1,2,3,0,1,2,2,0,0,0,0,0,0,0,0,0,0,6,4,3,1
