col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,division
,City Commissioners - Democrat,,,,,,,,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Omar Sabir,Lisa Deeley,Marwan Kreidie,Kahlil Williams,Annette Thompson,Dennis Lee,Carla Cain,Luigi Borda,Robin Trent,Lewis Harris Jr,Warren Bloom,Jen Devor,Moira Bohannon,Helen Gym,Isaiah Thomas,Allan Domb,Derek S Green,Adrián Rivera-reyes,Katherine Gilmore Richardson,Deja Lynn Alvarez,Willie Floyd Singletary,Ogbonna Paul Hagins,Erika Almirón,Sandra Dungee Glenn,Fernando Treviño,Eryn Santamoor,Fareed Abdullah,Beth Finn,Billy Thompson,Latrice Y Bryant,Asa Khalif,Justin Diberardinis,Edwin Santana,Hena Veit,Joseph A Diorio,Wayne Allen,Ethelind Baylor,Vinny Black,Mark Ross,Bobbie Curry,Devon Cade,Wayne Edmund Dorsey,Sherrie Cohen,All
Omar Sabir,51,323,89,89,32,31,13,8,7,5,6,3,2,323,430,361,380,204,271,183,159,118,50,75,46,51,67,28,38,46,53,40,20,27,26,24,22,18,21,16,19,9,0,All
Lisa Deeley,,17,54,28,25,12,6,10,6,7,2,5,1,240,289,271,275,159,237,121,75,73,53,52,39,27,25,37,18,23,19,30,19,30,18,13,27,8,7,11,11,9,0,All
Marwan Kreidie,,,5,9,7,13,2,10,2,2,4,0,3,156,35,33,25,181,11,106,99,89,22,19,18,21,6,18,10,9,6,9,12,9,15,9,6,7,8,7,3,4,0,All
Kahlil Williams,,,,6,12,9,8,2,9,6,0,9,5,96,94,98,84,43,50,31,20,12,34,24,29,27,37,19,18,19,33,28,14,9,14,14,9,12,8,6,5,8,0,All
Annette Thompson,,,,,5,5,11,6,4,6,5,1,1,54,53,32,28,41,29,15,28,16,22,25,21,21,13,26,21,21,17,5,12,14,10,11,5,9,6,5,6,4,1,All
Dennis Lee,,,,,,3,9,5,2,5,4,1,0,34,34,31,29,21,23,26,15,10,9,15,23,17,7,9,15,10,4,11,14,10,16,8,8,8,4,8,4,6,0,All
Carla Cain,,,,,,,1,5,6,1,0,1,3,27,32,19,17,23,12,18,7,2,14,16,17,4,10,11,6,12,12,13,12,10,12,3,5,4,1,3,5,3,1,All
Luigi Borda,,,,,,,,0,0,0,0,0,1,19,11,15,9,22,7,15,3,8,9,7,15,11,0,10,7,5,1,5,10,10,6,4,5,1,3,5,5,3,0,All
Robin Trent,,,,,,,,,0,2,2,1,0,19,14,19,11,12,10,12,3,0,6,7,6,8,6,5,4,5,6,5,7,2,5,7,1,4,3,2,3,2,0,All
Lewis Harris Jr,,,,,,,,,,0,1,0,0,10,14,7,10,12,4,4,3,0,6,3,5,2,2,4,6,5,4,3,5,3,5,7,3,6,3,6,3,1,0,All
Warren Bloom,,,,,,,,,,,0,0,1,6,8,14,7,10,2,8,4,4,2,5,2,4,3,1,8,1,3,2,1,0,6,2,0,3,6,2,3,1,0,All
Jen Devor,,,,,,,,,,,,0,1,18,6,7,4,9,9,2,6,3,8,7,5,6,2,1,2,3,3,3,2,1,2,0,2,2,0,0,1,0,0,All
Moira Bohannon,,,,,,,,,,,,,0,10,10,4,3,7,6,4,1,2,9,1,4,3,1,6,1,3,0,0,2,5,1,1,1,0,1,1,4,0,0,All
Helen Gym,,,,,,,,,,,,,,24,190,183,182,199,118,144,122,131,71,61,33,47,30,34,30,30,34,46,11,32,13,13,29,8,12,12,16,7,0,All
Isaiah Thomas,,,,,,,,,,,,,,,27,353,375,68,270,54,39,16,56,63,25,24,58,20,34,37,45,41,16,21,26,25,25,12,12,5,25,7,0,All
Allan Domb,,,,,,,,,,,,,,,,20,356,61,247,42,31,21,21,46,22,37,45,21,18,20,34,31,20,12,28,17,10,12,13,7,21,13,0,All
Derek S Green,,,,,,,,,,,,,,,,,5,43,256,32,27,12,42,52,19,21,41,15,24,20,35,47,15,10,11,15,16,5,5,7,4,8,0,All
Adrián Rivera-reyes,,,,,,,,,,,,,,,,,,21,37,171,131,115,52,30,74,34,16,26,16,12,13,8,36,17,12,10,9,6,7,9,5,5,0,All
Katherine Gilmore Richardson,,,,,,,,,,,,,,,,,,,3,23,23,8,24,34,10,31,20,23,16,18,13,23,6,19,10,8,8,6,6,8,7,11,0,All
Deja Lynn Alvarez,,,,,,,,,,,,,,,,,,,,10,123,108,22,13,48,22,9,17,11,18,5,8,25,16,14,9,4,6,8,6,5,2,0,All
Willie Floyd Singletary,,,,,,,,,,,,,,,,,,,,,1,100,5,6,14,14,13,8,20,10,5,0,5,6,10,9,4,6,7,4,2,6,0,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,,,,,,,,,5,7,8,16,12,2,7,11,4,5,2,4,4,5,1,3,4,2,2,2,2,0,All
Erika Almirón,,,,,,,,,,,,,,,,,,,,,,,2,28,30,11,7,14,6,9,14,15,16,9,2,3,15,5,4,2,2,0,0,All
Sandra Dungee Glenn,,,,,,,,,,,,,,,,,,,,,,,,2,16,11,7,12,11,18,16,9,14,13,18,7,6,4,5,3,3,4,0,All
Fernando Treviño,,,,,,,,,,,,,,,,,,,,,,,,,0,15,4,12,14,6,6,7,36,10,15,4,6,2,3,3,1,1,0,All
Eryn Santamoor,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,19,9,12,5,14,6,13,7,6,3,7,11,11,5,4,0,All
Fareed Abdullah,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,9,12,26,3,5,2,6,5,6,4,3,5,6,2,0,All
Beth Finn,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,10,7,2,8,16,4,10,6,3,1,10,4,3,1,All
Billy Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13,9,3,2,4,8,6,4,5,6,4,8,3,0,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,5,3,7,7,11,4,10,10,9,7,1,0,All
Asa Khalif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,4,6,2,2,2,7,1,4,2,2,0,All
Justin Diberardinis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,1,7,1,8,3,5,5,2,0,0,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,10,5,4,0,2,3,2,0,0,All
Hena Veit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,7,2,7,1,3,0,3,0,All
