col_1,col_2,division
,Mayor - Republican,All
,Billy Ciancaglini,All
Billy Ciancaglini,21,All
Total,21,All
,Mayor - Republican,5
,Billy Ciancaglini,5
Billy Ciancaglini,3,5
Total,3,5
,Mayor - Republican,9
,Billy Ciancaglini,9
Billy Ciancaglini,1,9
Total,1,9
,Mayor - Republican,10
,Billy Ciancaglini,10
Billy Ciancaglini,3,10
Total,3,10
,Mayor - Republican,12
,Billy Ciancaglini,12
Billy Ciancaglini,2,12
Total,2,12
,Mayor - Republican,14
,Billy Ciancaglini,14
Billy Ciancaglini,2,14
Total,2,14
,Mayor - Republican,16
,Billy Ciancaglini,16
Billy Ciancaglini,1,16
Total,1,16
,Mayor - Republican,17
,Billy Ciancaglini,17
Billy Ciancaglini,2,17
Total,2,17
,Mayor - Republican,20
,Billy Ciancaglini,20
Billy Ciancaglini,3,20
Total,3,20
,Mayor - Republican,22
,Billy Ciancaglini,22
Billy Ciancaglini,2,22
Total,2,22
,Mayor - Republican,23
,Billy Ciancaglini,23
Billy Ciancaglini,2,23
Total,2,23
