col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,division
,Mayor - Democrat,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Jim Kenney,Anthony Hardy Williams,Alan Butkovitz,Joshua Roberts,Cateria R Mccabe,Carmella Jacquinto,James C Crumlish,Anthony Kyriakakis,Jennifer Schultz,Kendra Mccrae,Henry Mcgregor Sias,Tiffany Palmer,Leon Goodman,Craig Levin,Terri M Booker,Laurie Dow,Jon Marshall,Beth Grossman,Wendi Barish,Janine D Momasso,Kay Yu,Sherman Toppin,Nicola Serianni,Chris Hall,Vicki Markovitz,James F Berardinelli,Robert Trimble,Gregory Weyer,All
Jim Kenney,503,0,0,"1,183",861,879,857,725,624,458,586,417,373,412,355,308,302,286,284,194,256,196,209,207,172,120,80,59,All
Anthony Hardy Williams,,284,0,462,479,403,312,266,324,404,188,305,340,270,337,263,184,152,163,223,150,165,128,119,89,91,69,37,All
Alan Butkovitz,,,30,67,34,34,47,33,55,25,17,34,28,44,18,27,30,36,28,15,20,8,23,14,17,10,5,2,All
Joshua Roberts,,,,12,768,741,823,685,271,187,645,133,184,275,184,124,261,110,123,48,68,86,103,76,51,32,42,19,All
Cateria R Mccabe,,,,,4,862,743,771,156,345,660,240,278,123,217,166,69,106,122,214,147,129,86,68,83,54,24,18,All
Carmella Jacquinto,,,,,,2,754,748,129,289,646,186,207,157,180,163,47,85,108,194,103,110,67,59,80,52,31,17,All
James C Crumlish,,,,,,,3,738,140,191,616,178,131,175,122,137,101,78,100,86,95,64,69,138,33,86,48,16,All
Anthony Kyriakakis,,,,,,,,1,68,160,665,158,131,58,58,51,25,47,57,91,89,65,35,111,29,34,19,17,All
Jennifer Schultz,,,,,,,,,8,201,39,181,143,258,137,139,212,194,190,89,108,59,185,64,92,32,48,22,All
Kendra Mccrae,,,,,,,,,,5,61,301,298,88,274,195,90,149,157,171,133,132,124,124,57,41,54,21,All
Henry Mcgregor Sias,,,,,,,,,,,1,72,61,25,33,40,12,26,20,35,49,53,25,14,21,45,8,13,All
Tiffany Palmer,,,,,,,,,,,,1,225,92,277,169,79,145,166,74,175,103,105,176,76,69,54,34,All
Leon Goodman,,,,,,,,,,,,,4,178,212,138,110,123,112,167,91,142,70,88,104,85,56,28,All
Craig Levin,,,,,,,,,,,,,,5,102,119,198,101,92,101,57,53,93,55,96,65,42,12,All
Terri M Booker,,,,,,,,,,,,,,,3,168,90,110,136,88,121,137,74,125,53,24,50,40,All
Laurie Dow,,,,,,,,,,,,,,,,4,66,133,137,117,92,98,76,68,52,66,25,16,All
Jon Marshall,,,,,,,,,,,,,,,,,3,53,51,21,49,40,80,42,24,19,30,18,All
Beth Grossman,,,,,,,,,,,,,,,,,,2,163,65,83,35,90,47,107,44,15,22,All
Wendi Barish,,,,,,,,,,,,,,,,,,,0,66,81,48,113,61,79,26,26,11,All
Janine D Momasso,,,,,,,,,,,,,,,,,,,,4,54,74,54,15,71,78,15,15,All
Kay Yu,,,,,,,,,,,,,,,,,,,,,0,53,55,67,52,31,16,25,All
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,2,46,44,21,33,29,19,All
Nicola Serianni,,,,,,,,,,,,,,,,,,,,,,,1,41,64,22,20,12,All
Chris Hall,,,,,,,,,,,,,,,,,,,,,,,,0,23,32,48,17,All
Vicki Markovitz,,,,,,,,,,,,,,,,,,,,,,,,,0,30,16,6,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,17,All
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,All
