col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City Commissioners - Democrat,,,,,,,,,,,,,All
,Helen Gym,Erika Almirón,Isaiah Thomas,Justin Diberardinis,Derek S Green,Adrián Rivera-reyes,Ethelind Baylor,Allan Domb,Eryn Santamoor,Katherine Gilmore Richardson,Deja Lynn Alvarez,Sandra Dungee Glenn,Beth Finn,Willie Floyd Singletary,Fernando Treviño,Asa Khalif,Ogbonna Paul Hagins,Fareed Abdullah,Billy Thompson,Latrice Y Bryant,Edwin Santana,Hena Veit,Wayne Edmund Dorsey,Joseph A Diorio,Vinny Black,Wayne Allen,Devon Cade,Mark Ross,Bobbie Curry,Sherrie Cohen,Kahlil Williams,Omar Sabir,Jen Devor,Lisa Deeley,Marwan Kreidie,Luigi Borda,Annette Thompson,Dennis Lee,Moira Bohannon,Carla Cain,Robin Trent,Lewis Harris Jr,Warren Bloom,All
Helen Gym,57,"2,189","1,745","1,858",988,809,879,654,554,582,517,244,264,131,201,171,163,107,97,87,63,74,43,46,42,27,34,24,22,1,"1,605",824,"1,049",762,559,460,206,184,195,156,89,51,21,All
Erika Almirón,,12,"1,228","1,561",454,538,814,139,342,195,308,142,167,14,129,104,40,39,23,60,22,31,19,9,9,18,17,8,4,0,"1,288",236,939,266,345,405,98,54,161,107,63,11,6,All
Isaiah Thomas,,,8,"1,108",663,268,702,441,174,364,122,175,74,67,41,103,43,91,60,41,68,24,26,24,25,25,39,17,11,0,908,600,494,426,235,293,119,155,86,59,51,38,13,All
Justin Diberardinis,,,,7,490,379,685,245,385,126,195,88,114,13,81,41,28,14,7,15,19,8,16,16,10,5,7,7,5,0,"1,132",162,811,245,275,337,73,49,132,77,46,9,7,All
Derek S Green,,,,,10,118,84,455,208,357,119,88,35,27,42,69,22,50,41,19,25,6,21,11,14,16,7,11,6,1,581,396,213,350,122,68,65,90,40,45,31,26,9,All
Adrián Rivera-reyes,,,,,,10,134,93,174,94,335,67,103,107,72,85,127,39,33,46,28,31,18,23,17,15,11,9,5,0,401,255,283,209,292,125,74,37,73,64,36,17,6,All
Ethelind Baylor,,,,,,,2,51,39,41,73,26,40,4,11,11,7,10,6,19,12,6,5,4,4,5,2,2,1,0,382,112,336,91,135,224,39,29,72,59,31,8,6,All
Allan Domb,,,,,,,,34,204,271,55,82,46,48,51,44,16,62,48,23,37,19,29,26,28,18,23,12,10,1,347,376,98,318,90,48,60,80,30,32,21,30,18,All
Eryn Santamoor,,,,,,,,,5,141,96,87,61,27,88,14,20,27,19,22,20,21,7,12,9,6,9,4,8,0,413,104,266,141,106,56,52,32,51,51,12,6,7,All
Katherine Gilmore Richardson,,,,,,,,,,3,58,98,66,25,66,38,19,36,34,38,14,27,12,10,11,10,10,7,5,0,231,313,113,279,71,29,72,70,28,44,27,22,11,All
Deja Lynn Alvarez,,,,,,,,,,,6,39,79,106,49,78,114,27,24,43,18,29,8,12,11,9,3,4,8,0,226,202,140,164,205,62,45,30,52,49,27,11,6,All
Sandra Dungee Glenn,,,,,,,,,,,,4,39,11,16,36,14,23,16,21,52,21,17,15,14,7,6,6,0,0,147,152,71,82,34,18,58,70,22,32,14,6,9,All
