col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Jennifer Schultz,Tiffany Palmer,Joshua Roberts,Anthony Kyriakakis,Cateria R Mccabe,Carmella Jacquinto,Wendi Barish,James C Crumlish,Nicola Serianni,Henry Mcgregor Sias,Leon Goodman,Kay Yu,Craig Levin,Kendra Mccrae,Terri M Booker,Sherman Toppin,Chris Hall,Beth Grossman,Jon Marshall,Janine D Momasso,Laurie Dow,Vicki Markovitz,James F Berardinelli,Robert Trimble,Gregory Weyer,All
Jennifer Schultz,291,634,340,261,431,209,528,224,597,231,149,324,343,251,109,72,148,302,278,264,175,192,66,60,25,All
Tiffany Palmer,,41,115,651,471,186,523,440,467,390,210,549,97,298,168,55,438,213,56,243,145,135,104,34,46,All
Joshua Roberts,,,290,384,355,469,142,294,153,329,283,52,319,95,213,367,64,114,293,23,56,51,34,45,22,All
Anthony Kyriakakis,,,,32,456,387,257,443,179,540,152,370,102,140,61,338,408,126,43,51,79,77,97,28,18,All
Cateria R Mccabe,,,,,17,375,296,87,332,453,162,234,90,160,97,371,56,75,48,262,83,79,49,17,23,All
Carmella Jacquinto,,,,,,27,161,207,126,318,235,135,99,184,226,337,71,132,25,109,96,107,23,32,14,All
Wendi Barish,,,,,,,15,216,419,138,139,204,114,184,114,47,120,203,64,225,150,140,50,28,14,All
James C Crumlish,,,,,,,,37,144,117,258,169,141,97,177,47,389,97,97,27,79,58,64,54,15,All
Nicola Serianni,,,,,,,,,8,172,104,226,134,162,69,59,72,181,96,227,102,122,47,24,24,All
Henry Mcgregor Sias,,,,,,,,,,18,75,288,45,69,29,317,88,53,14,48,31,54,54,17,24,All
Leon Goodman,,,,,,,,,,,46,103,143,156,287,99,96,142,120,100,129,100,67,39,33,All
Kay Yu,,,,,,,,,,,,19,53,143,95,47,165,118,32,65,76,84,34,20,38,All
Craig Levin,,,,,,,,,,,,,138,61,75,69,43,97,246,61,57,76,43,50,9,All
Kendra Mccrae,,,,,,,,,,,,,,13,171,82,112,173,52,96,124,84,44,38,25,All
Terri M Booker,,,,,,,,,,,,,,,22,96,82,104,82,75,111,64,13,29,31,All
Sherman Toppin,,,,,,,,,,,,,,,,8,25,31,60,48,67,46,17,26,19,All
Chris Hall,,,,,,,,,,,,,,,,,5,94,36,23,67,43,54,41,19,All
Beth Grossman,,,,,,,,,,,,,,,,,,13,51,71,134,142,50,23,21,All
Jon Marshall,,,,,,,,,,,,,,,,,,,88,14,63,34,15,33,10,All
Janine D Momasso,,,,,,,,,,,,,,,,,,,,10,46,83,52,9,14,All
Laurie Dow,,,,,,,,,,,,,,,,,,,,,6,77,30,22,16,All
Vicki Markovitz,,,,,,,,,,,,,,,,,,,,,,5,32,15,10,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,4,29,14,All
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,1,19,All
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,12,All
Total,"1,705","1,498","1,398","1,291","1,100",968,966,930,908,853,845,813,778,659,619,617,601,598,576,479,450,410,244,156,128,All
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,1
,Tiffany Palmer,Anthony Kyriakakis,Jennifer Schultz,Joshua Roberts,Kay Yu,James C Crumlish,Wendi Barish,Cateria R Mccabe,Henry Mcgregor Sias,Chris Hall,Nicola Serianni,Leon Goodman,Carmella Jacquinto,Craig Levin,Terri M Booker,Jon Marshall,Beth Grossman,Janine D Momasso,Sherman Toppin,Vicki Markovitz,Laurie Dow,Kendra Mccrae,Robert Trimble,Gregory Weyer,James F Berardinelli,1
Tiffany Palmer,3,30,17,3,20,22,15,13,17,21,12,7,3,4,8,3,4,4,1,5,7,2,2,2,2,1
Anthony Kyriakakis,,0,8,10,17,24,11,13,21,21,6,6,12,4,3,3,2,2,7,1,3,0,0,0,2,1
Jennifer Schultz,,,5,8,10,3,13,10,9,5,13,6,4,11,8,13,9,7,0,7,6,5,3,2,3,1
Joshua Roberts,,,,6,3,6,4,7,8,1,3,6,11,8,5,8,0,2,11,2,1,1,2,1,0,1
