col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,division
,City Commissioners - Democrat,,,,,,,,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Lisa Deeley,Omar Sabir,Kahlil Williams,Marwan Kreidie,Annette Thompson,Luigi Borda,Jen Devor,Dennis Lee,Carla Cain,Warren Bloom,Robin Trent,Lewis Harris Jr,Moira Bohannon,Helen Gym,Allan Domb,Isaiah Thomas,Katherine Gilmore Richardson,Eryn Santamoor,Derek S Green,Justin Diberardinis,Adrián Rivera-reyes,Deja Lynn Alvarez,Beth Finn,Erika Almirón,Joseph A Diorio,Willie Floyd Singletary,Fernando Treviño,Sandra Dungee Glenn,Ogbonna Paul Hagins,Billy Thompson,Vinny Black,Mark Ross,Fareed Abdullah,Asa Khalif,Hena Veit,Edwin Santana,Latrice Y Bryant,Ethelind Baylor,Bobbie Curry,Devon Cade,Wayne Allen,Wayne Edmund Dorsey,Sherrie Cohen,All
Lisa Deeley,98,407,68,76,99,51,37,38,38,17,27,10,11,571,553,363,290,223,260,277,197,152,147,100,135,96,59,98,72,60,63,45,30,34,46,41,26,30,40,25,14,12,1,All
Omar Sabir,,17,62,57,22,7,6,16,8,9,3,5,4,293,285,353,182,77,208,134,138,123,35,42,42,85,36,46,58,25,19,14,49,42,25,20,25,23,8,14,10,5,0,All
Kahlil Williams,,,3,17,28,17,47,14,8,7,4,8,5,181,166,94,95,116,87,74,52,38,38,68,29,29,48,28,14,27,11,12,34,45,8,14,25,18,15,12,12,6,0,All
Marwan Kreidie,,,,10,6,13,6,9,7,7,11,1,4,143,71,30,34,45,34,28,140,111,27,29,22,59,29,9,56,15,6,10,13,12,9,16,16,9,10,15,7,2,0,All
Annette Thompson,,,,,4,6,4,9,13,6,8,3,2,125,76,45,80,56,42,38,44,33,66,51,18,15,22,51,11,28,12,8,22,17,21,17,24,12,13,10,10,6,0,All
Luigi Borda,,,,,,3,8,6,7,5,4,1,3,90,65,35,30,34,31,47,32,21,20,12,32,7,25,6,8,5,8,7,5,4,11,8,4,10,8,2,7,2,1,All
Jen Devor,,,,,,,0,3,7,6,2,3,8,92,60,26,50,77,18,53,21,17,21,49,9,4,23,15,6,5,7,12,2,5,8,3,6,9,6,6,6,2,0,All
Dennis Lee,,,,,,,,1,4,11,3,3,3,68,61,31,29,31,31,24,22,18,12,12,32,17,17,13,10,24,11,18,11,9,12,11,5,5,9,13,8,4,0,All
Carla Cain,,,,,,,,,0,6,4,2,5,58,45,19,27,29,22,14,27,27,34,31,15,4,10,23,3,9,13,12,8,1,11,11,15,13,4,7,8,4,0,All
Warren Bloom,,,,,,,,,,1,5,8,0,40,66,16,14,22,23,26,11,8,30,6,25,9,15,6,5,19,9,26,2,6,9,5,3,3,5,5,10,8,0,All
Robin Trent,,,,,,,,,,,0,5,1,45,32,14,22,26,17,16,14,16,19,16,18,5,8,13,3,6,10,8,1,2,11,5,2,5,13,11,2,1,0,All
Lewis Harris Jr,,,,,,,,,,,,0,0,21,29,16,14,12,15,10,8,1,3,4,10,7,4,10,3,13,8,9,3,5,3,5,1,2,3,7,8,6,0,All
Moira Bohannon,,,,,,,,,,,,,0,33,26,11,21,18,7,13,5,8,17,7,8,2,4,5,3,1,1,3,1,2,4,2,4,2,3,3,4,1,0,All
Helen Gym,,,,,,,,,,,,,,32,450,255,273,278,238,243,191,156,142,156,104,93,90,92,91,49,39,41,40,38,50,27,36,53,37,25,20,10,0,All
Allan Domb,,,,,,,,,,,,,,,47,280,283,240,297,288,72,62,100,62,126,40,61,70,21,59,48,59,34,35,25,36,24,25,32,32,21,13,1,All
Isaiah Thomas,,,,,,,,,,,,,,,,6,211,63,236,178,71,45,26,63,45,26,32,49,12,23,14,17,36,33,13,22,16,30,4,18,12,2,0,All
Katherine Gilmore Richardson,,,,,,,,,,,,,,,,,3,141,202,150,47,31,80,72,33,14,47,69,14,19,13,19,20,17,20,13,21,11,16,12,9,3,0,All
Eryn Santamoor,,,,,,,,,,,,,,,,,,8,95,131,62,47,56,79,43,22,56,38,18,27,16,20,11,12,32,17,12,12,21,9,6,6,1,All
Derek S Green,,,,,,,,,,,,,,,,,,,6,172,39,26,31,34,20,18,23,28,9,23,16,18,23,15,14,10,9,22,14,9,13,6,0,All
Justin Diberardinis,,,,,,,,,,,,,,,,,,,,7,31,18,40,54,61,9,15,21,3,13,19,27,7,10,8,12,7,26,11,5,11,7,1,All
Adrián Rivera-reyes,,,,,,,,,,,,,,,,,,,,,7,151,42,50,27,86,65,24,81,22,11,9,19,19,22,37,17,14,7,4,10,5,0,All
Deja Lynn Alvarez,,,,,,,,,,,,,,,,,,,,,,7,36,40,19,88,45,25,76,16,9,12,21,17,14,21,20,13,6,8,5,2,0,All
Beth Finn,,,,,,,,,,,,,,,,,,,,,,,1,61,38,11,25,50,8,18,21,26,6,12,27,14,14,7,13,6,12,5,0,All
Erika Almirón,,,,,,,,,,,,,,,,,,,,,,,,2,11,5,41,46,5,7,5,4,8,18,10,12,15,26,5,11,5,2,0,All
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,,,,,,0,22,20,14,14,29,19,25,3,10,18,10,14,4,21,14,4,2,1,All
Willie Floyd Singletary,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,5,52,21,7,2,7,8,10,5,8,5,6,4,3,4,0,All
Fernando Treviño,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,14,17,7,13,8,10,8,26,4,2,2,6,10,3,0,All
Sandra Dungee Glenn,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,9,10,5,10,15,13,5,15,8,10,3,5,2,0,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,3,5,10,6,13,2,6,3,2,5,2,2,0,All
Billy Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,19,15,12,6,8,13,6,2,12,15,10,9,0,All
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10,5,6,12,6,3,1,6,14,6,3,0,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,3,3,2,5,3,8,9,10,6,0,All
Fareed Abdullah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,29,4,2,15,5,2,11,7,1,0,All
Asa Khalif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,10,4,2,4,9,2,0,All
Hena Veit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,7,0,5,7,0,0,0,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,7,5,9,2,0,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,3,8,3,1,0,All
Ethelind Baylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,3,4,0,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,6,4,0,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,3,0,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"1,349",761,333,307,232,156,147,132,116,103,83,53,51,"1,127","1,001",601,500,477,474,466,437,343,260,245,233,198,182,174,150,138,116,104,103,101,96,92,87,83,75,71,59,31,1,All
,City Commissioners - Democrat,,,,,,,,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Lisa Deeley,Omar Sabir,Marwan Kreidie,Kahlil Williams,Annette Thompson,Dennis Lee,Luigi Borda,Carla Cain,Jen Devor,Moira Bohannon,Robin Trent,Warren Bloom,Lewis Harris Jr,Allan Domb,Helen Gym,Isaiah Thomas,Derek S Green,Justin Diberardinis,Adrián Rivera-reyes,Katherine Gilmore Richardson,Deja Lynn Alvarez,Eryn Santamoor,Erika Almirón,Fernando Treviño,Beth Finn,Willie Floyd Singletary,Billy Thompson,Bobbie Curry,Ethelind Baylor,Joseph A Diorio,Mark Ross,Devon Cade,Fareed Abdullah,Latrice Y Bryant,Vinny Black,Asa Khalif,Edwin Santana,Ogbonna Paul Hagins,Sandra Dungee Glenn,Wayne Allen,Wayne Edmund Dorsey,Hena Veit,Sherrie Cohen,1
Lisa Deeley,7,30,3,0,2,1,1,0,0,0,0,1,0,23,12,22,15,18,6,12,4,7,4,0,2,1,3,2,1,2,2,1,0,0,1,0,0,0,0,0,1,0,0,1
Omar Sabir,,1,2,1,1,1,0,0,0,0,0,0,0,19,9,19,16,14,3,11,3,3,4,0,1,2,1,1,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
Marwan Kreidie,,,0,0,0,0,1,0,0,1,2,0,0,1,4,2,3,1,7,0,6,1,2,4,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1
Kahlil Williams,,,,0,1,1,1,0,1,0,0,0,0,4,4,2,2,1,0,1,2,3,1,3,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1
Annette Thompson,,,,,0,0,0,1,0,0,0,0,0,2,5,3,1,2,2,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Dennis Lee,,,,,,0,0,0,0,1,0,0,0,3,1,1,2,1,0,0,1,0,1,0,0,1,1,2,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,1
Luigi Borda,,,,,,,0,0,0,1,0,0,0,2,3,2,4,1,1,0,2,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Carla Cain,,,,,,,,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Jen Devor,,,,,,,,,0,0,0,0,0,0,3,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Moira Bohannon,,,,,,,,,,0,0,0,0,1,1,1,2,0,2,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
Robin Trent,,,,,,,,,,,0,0,0,0,2,0,2,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Warren Bloom,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Lewis Harris Jr,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Allan Domb,,,,,,,,,,,,,,2,11,15,17,14,0,11,3,5,2,2,2,3,2,2,1,2,2,1,1,0,1,0,0,0,1,0,0,0,0,1
Helen Gym,,,,,,,,,,,,,,,0,10,11,9,5,3,5,8,7,4,1,1,2,2,4,1,2,1,1,1,0,0,0,0,0,0,0,0,0,1
Isaiah Thomas,,,,,,,,,,,,,,,,0,14,14,1,12,2,1,3,0,0,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
Derek S Green,,,,,,,,,,,,,,,,,0,13,4,10,6,4,3,4,0,1,1,2,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
Justin Diberardinis,,,,,,,,,,,,,,,,,,0,2,10,3,3,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Adrián Rivera-reyes,,,,,,,,,,,,,,,,,,,0,0,6,3,3,3,2,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1
Katherine Gilmore Richardson,,,,,,,,,,,,,,,,,,,,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Deja Lynn Alvarez,,,,,,,,,,,,,,,,,,,,,0,3,2,3,1,2,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1
Eryn Santamoor,,,,,,,,,,,,,,,,,,,,,,0,3,2,2,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1
Erika Almirón,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
