col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,District Council 3rd District - Democrat,,All
,Helen Gym,Isaiah Thomas,Derek S Green,Allan Domb,Erika Almirón,Justin Diberardinis,Katherine Gilmore Richardson,Adrián Rivera-reyes,Deja Lynn Alvarez,Willie Floyd Singletary,Eryn Santamoor,Ethelind Baylor,Sandra Dungee Glenn,Ogbonna Paul Hagins,Fareed Abdullah,Asa Khalif,Billy Thompson,Beth Finn,Fernando Treviño,Latrice Y Bryant,Edwin Santana,Joseph A Diorio,Hena Veit,Wayne Edmund Dorsey,Wayne Allen,Vinny Black,Devon Cade,Mark Ross,Bobbie Curry,Sherrie Cohen,Jamie Gauthier,Jannie L Blackwell,All
Helen Gym,123,"6,054","4,501","3,970","4,718","3,918","3,300","2,773","1,876","1,073","1,663","1,910","1,128","1,041",586,693,504,706,564,408,239,222,321,192,167,173,153,118,116,3,"8,291","5,017",All
Isaiah Thomas,,31,"3,995","3,281","2,737","2,402","2,742",837,480,451,573,"1,543",984,200,695,584,366,223,172,304,239,146,111,134,165,112,149,135,73,2,"4,542","3,300",All
Derek S Green,,,30,"3,284","1,205","1,271","2,690",482,376,293,702,386,762,102,437,364,283,133,134,202,156,56,46,117,109,92,67,82,64,1,"3,191","2,634",All
Allan Domb,,,,85,415,647,"2,481",500,309,391,789,269,716,139,490,337,300,197,176,160,185,182,100,167,139,148,124,91,86,1,"2,856","2,785",All
Erika Almirón,,,,,11,"3,038",660,"1,234",808,89,871,"1,584",566,141,178,352,146,402,305,209,67,38,137,45,62,48,41,40,32,3,"4,306","1,006",All
Justin Diberardinis,,,,,,6,426,835,410,53,935,"1,330",366,73,84,144,47,195,227,68,130,127,35,39,37,41,38,35,27,1,"3,642",719,All
Katherine Gilmore Richardson,,,,,,,17,390,276,205,587,208,686,112,292,218,282,250,198,232,121,67,116,80,61,69,59,65,56,1,"2,114","2,139",All
Adrián Rivera-reyes,,,,,,,,24,"1,505",962,560,310,241,898,188,275,166,326,329,181,99,136,155,69,74,76,50,47,55,2,"2,602","1,752",All
Deja Lynn Alvarez,,,,,,,,,28,912,318,212,183,801,144,230,132,236,228,210,63,99,140,47,47,47,32,46,41,2,"1,917","1,287",All
Willie Floyd Singletary,,,,,,,,,,14,162,52,118,674,174,116,204,68,107,132,51,115,57,65,67,75,42,46,49,0,"1,150","1,461",All
Eryn Santamoor,,,,,,,,,,,6,124,350,123,124,109,122,208,260,121,82,78,134,34,43,56,47,42,63,0,"1,912",518,All
Ethelind Baylor,,,,,,,,,,,,18,174,47,123,70,67,92,29,81,58,20,37,20,49,33,26,24,14,0,"1,574",629,All
Sandra Dungee Glenn,,,,,,,,,,,,,11,78,231,244,217,156,145,173,194,141,103,80,48,66,46,32,51,1,"1,323",907,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,16,81,69,76,53,92,57,39,42,67,17,26,30,13,15,23,3,814,717,All
Fareed Abdullah,,,,,,,,,,,,,,,16,371,128,71,66,168,81,51,46,66,77,73,55,37,41,0,826,651,All
Asa Khalif,,,,,,,,,,,,,,,,2,102,92,84,163,69,43,62,46,59,69,34,36,35,0,850,483,All
Billy Thompson,,,,,,,,,,,,,,,,,8,68,94,102,46,82,61,64,58,74,30,55,50,1,552,512,All
Beth Finn,,,,,,,,,,,,,,,,,,9,108,116,48,52,121,27,47,38,20,24,30,3,782,288,All
Fernando Treviño,,,,,,,,,,,,,,,,,,,1,65,138,166,76,17,46,24,20,17,32,0,664,319,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,0,56,54,82,47,50,53,37,56,48,3,581,373,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,4,95,18,35,38,23,20,11,23,1,377,278,All
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,,,1,58,21,11,34,53,39,36,1,294,274,All
Hena Veit,,,,,,,,,,,,,,,,,,,,,,,2,18,12,35,14,16,26,1,371,195,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,8,25,25,22,22,18,0,247,225,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,5,44,29,18,24,1,233,194,All
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,,,0,36,43,32,1,233,201,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,28,1,201,157,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35,0,156,165,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,168,143,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,4,All
Jamie Gauthier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,031",0,All
Jannie L Blackwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,465",All
Total,"14,101","8,471","6,292","6,172","5,639","4,631","4,619","4,483","3,310","2,668","2,524","2,417","2,392","1,608","1,545","1,373","1,124","1,117","1,051",989,703,625,594,499,459,449,374,341,333,9,"13,193","10,432",All
