col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Helen Gym,Derek S Green,Isaiah Thomas,Allan Domb,Katherine Gilmore Richardson,Erika Almirón,Justin Diberardinis,Adrián Rivera-reyes,Deja Lynn Alvarez,Eryn Santamoor,Willie Floyd Singletary,Sandra Dungee Glenn,Fareed Abdullah,Ogbonna Paul Hagins,Asa Khalif,Latrice Y Bryant,Beth Finn,Ethelind Baylor,Fernando Treviño,Billy Thompson,Wayne Allen,Joseph A Diorio,Hena Veit,Edwin Santana,Bobbie Curry,Devon Cade,Mark Ross,Wayne Edmund Dorsey,Vinny Black,Sherrie Cohen,All
Helen Gym,237,"1,027",868,821,620,559,551,371,269,313,208,218,117,182,112,91,122,139,97,65,58,36,53,29,25,25,23,16,12,0,All
Derek S Green,,52,732,706,526,311,330,119,82,162,66,163,132,27,87,77,36,56,32,58,53,17,15,28,18,9,15,18,13,0,All
Isaiah Thomas,,,27,644,499,241,217,107,66,88,76,151,136,39,107,77,37,101,28,48,43,29,13,28,15,22,14,12,8,0,All
Allan Domb,,,,34,471,107,151,92,67,161,79,130,109,41,80,48,41,32,32,56,50,25,21,29,21,30,16,18,19,0,All
Katherine Gilmore Richardson,,,,,11,128,119,53,44,134,25,134,50,18,46,49,59,35,45,29,20,8,17,16,14,12,8,6,5,0,All
Erika Almirón,,,,,,31,349,102,68,151,16,70,39,19,41,40,61,86,63,18,13,7,19,11,9,8,4,4,7,0,All
Justin Diberardinis,,,,,,,9,101,44,137,15,47,14,17,31,21,39,89,38,10,9,14,8,18,7,3,4,4,2,0,All
Adrián Rivera-reyes,,,,,,,,107,210,69,170,41,45,153,35,44,35,17,42,28,23,28,18,16,16,13,8,10,9,0,All
Deja Lynn Alvarez,,,,,,,,,67,48,159,27,40,145,38,35,29,24,29,20,13,15,20,15,12,9,6,4,8,0,All
Eryn Santamoor,,,,,,,,,,6,23,46,21,18,19,30,31,20,66,14,12,13,19,8,13,9,6,4,11,0,All
Willie Floyd Singletary,,,,,,,,,,,59,23,37,131,18,26,9,8,15,22,18,12,9,6,14,8,10,6,8,0,All
Sandra Dungee Glenn,,,,,,,,,,,,15,38,11,40,45,30,32,9,10,8,16,14,12,9,5,2,9,5,0,All
Fareed Abdullah,,,,,,,,,,,,,16,13,70,42,13,20,14,12,20,13,10,13,8,15,7,9,7,0,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,17,17,14,9,2,11,17,9,12,18,6,9,5,3,4,5,0,All
Asa Khalif,,,,,,,,,,,,,,,0,23,20,14,14,14,21,6,9,14,7,2,3,5,4,0,All
Latrice Y Bryant,,,,,,,,,,,,,,,,6,25,15,13,18,20,11,10,9,12,8,14,10,11,0,All
Beth Finn,,,,,,,,,,,,,,,,,10,17,16,7,8,10,19,8,8,3,5,4,9,0,All
Ethelind Baylor,,,,,,,,,,,,,,,,,,3,5,7,6,0,5,5,3,5,2,1,0,0,All
Fernando Treviño,,,,,,,,,,,,,,,,,,,1,14,5,20,15,14,6,8,8,2,4,0,All
Billy Thompson,,,,,,,,,,,,,,,,,,,,7,17,15,14,9,12,4,18,12,8,0,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,22,13,6,6,8,7,9,7,6,0,All
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,,,2,13,9,12,7,5,5,4,0,All
Hena Veit,,,,,,,,,,,,,,,,,,,,,,,1,2,1,3,4,2,4,0,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,1,6,2,3,1,2,0,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,1,6,3,3,6,0,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,3,0,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,4,0,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,All
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"2,241","1,423","1,234","1,181",854,738,674,663,498,446,410,382,306,287,236,227,199,198,175,162,159,99,95,89,76,65,57,52,50,0,All
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
