col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,District Council 7th District - Democrat,,City Commissioners - Democrat,,,,,,,,,,,,,All
,Maria Quiñones Sánchez,Angel L Cruz,Omar Sabir,Lisa Deeley,Marwan Kreidie,Kahlil Williams,Annette Thompson,Carla Cain,Jen Devor,Dennis Lee,Luigi Borda,Robin Trent,Lewis Harris Jr,Warren Bloom,Moira Bohannon,All
Maria Quiñones Sánchez,"1,948",0,"1,844","1,711",635,734,407,224,274,174,178,110,103,83,94,All
Angel L Cruz,,"2,215","1,593","1,366",743,408,240,157,103,183,134,82,80,79,53,All
Omar Sabir,,,95,"1,480",381,270,110,50,19,86,44,17,22,27,14,All
Lisa Deeley,,,,66,207,177,166,76,38,51,51,31,24,22,24,All
Marwan Kreidie,,,,,37,69,41,24,29,36,48,13,8,21,17,All
Kahlil Williams,,,,,,28,107,36,171,33,30,40,33,13,13,All
Annette Thompson,,,,,,,15,60,11,18,13,26,24,17,13,All
Carla Cain,,,,,,,,9,16,23,21,9,8,5,21,All
Jen Devor,,,,,,,,,4,8,35,8,14,3,10,All
Dennis Lee,,,,,,,,,,6,25,10,15,9,3,All
Luigi Borda,,,,,,,,,,,6,6,6,9,8,All
Robin Trent,,,,,,,,,,,,4,12,6,7,All
Lewis Harris Jr,,,,,,,,,,,,,2,7,3,All
Warren Bloom,,,,,,,,,,,,,,2,4,All
Moira Bohannon,,,,,,,,,,,,,,,1,All
Total,"6,050","5,555","3,749","3,345","1,450","1,212",692,401,399,381,338,205,196,171,152,All
