col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City Commissioners - Democrat,,,,,,,,,,,,,All
,Helen Gym,Isaiah Thomas,Allan Domb,Derek S Green,Erika Almirón,Katherine Gilmore Richardson,Adrián Rivera-reyes,Justin Diberardinis,Deja Lynn Alvarez,Willie Floyd Singletary,Sandra Dungee Glenn,Eryn Santamoor,Ethelind Baylor,Asa Khalif,Fareed Abdullah,Ogbonna Paul Hagins,Latrice Y Bryant,Beth Finn,Billy Thompson,Edwin Santana,Fernando Treviño,Devon Cade,Joseph A Diorio,Hena Veit,Wayne Allen,Wayne Edmund Dorsey,Vinny Black,Bobbie Curry,Mark Ross,Sherrie Cohen,Omar Sabir,Lisa Deeley,Kahlil Williams,Marwan Kreidie,Annette Thompson,Jen Devor,Dennis Lee,Luigi Borda,Carla Cain,Moira Bohannon,Robin Trent,Lewis Harris Jr,Warren Bloom,All
Helen Gym,47,887,637,629,540,489,361,402,238,138,174,177,226,115,89,119,63,81,64,42,63,31,27,39,30,21,20,16,10,0,917,576,473,221,120,184,114,111,53,47,41,32,21,All
Isaiah Thomas,,11,569,604,320,410,129,279,81,64,168,70,192,104,108,33,54,32,48,47,20,31,22,17,20,18,13,7,16,0,712,433,340,69,85,92,80,66,35,31,33,22,16,All
Allan Domb,,,29,506,65,381,73,75,37,57,126,105,23,69,86,23,27,28,43,41,22,34,31,14,19,19,18,11,9,0,588,376,222,34,86,27,64,14,29,11,18,17,27,All
Derek S Green,,,,12,118,417,71,120,47,45,103,73,49,63,66,10,43,18,32,38,11,14,7,4,14,12,10,8,6,0,557,365,252,46,59,35,63,13,23,18,18,25,20,All
Erika Almirón,,,,,6,78,160,288,114,20,87,89,182,54,16,15,33,46,27,7,34,6,3,11,8,6,6,6,4,1,150,93,269,78,46,169,40,97,34,37,28,6,5,All
Katherine Gilmore Richardson,,,,,,2,64,54,30,32,86,72,31,26,44,20,33,36,38,21,26,10,7,9,7,10,9,8,12,0,438,325,138,30,59,39,53,10,25,12,13,11,10,All
Adrián Rivera-reyes,,,,,,,7,99,201,129,37,74,35,48,24,99,30,39,19,13,37,10,10,20,16,13,7,7,3,0,247,144,146,158,53,62,21,42,25,30,23,14,6,All
Justin Diberardinis,,,,,,,,2,57,5,35,71,154,28,12,5,11,15,11,16,17,9,12,1,6,2,2,4,4,0,104,72,202,52,28,119,30,66,22,27,21,7,3,All
