col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,division
,District Council 4th District - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Curtis Jones Jr,Ron Adams,Joshua Roberts,Jennifer Schultz,Anthony Kyriakakis,Carmella Jacquinto,Tiffany Palmer,Cateria R Mccabe,James C Crumlish,Kendra Mccrae,Craig Levin,Henry Mcgregor Sias,Leon Goodman,Wendi Barish,Terri M Booker,Sherman Toppin,Kay Yu,Beth Grossman,Laurie Dow,Nicola Serianni,Chris Hall,Jon Marshall,Janine D Momasso,Vicki Markovitz,James F Berardinelli,Robert Trimble,Gregory Weyer,All
Curtis Jones Jr,"1,867",0,"4,941","3,814","4,202","4,188","3,507","3,752","3,199","2,671","2,337","2,583","2,307","2,029","2,333","2,307","1,894","1,841","1,903","1,618","1,774","1,612","1,179","1,006",858,512,302,All
Ron Adams,,509,"1,323","2,211","1,171",951,"1,330",852,"1,351",799,970,493,711,980,601,431,811,912,649,839,652,719,450,544,449,232,143,All
Joshua Roberts,,,153,"1,444","2,516","2,551",625,"2,460","1,697",664,"1,313","2,185",783,611,767,"1,773",383,525,425,543,366,"1,260",173,240,196,216,88,All
Jennifer Schultz,,,,149,"1,061",909,"1,590",911,"1,333","1,040","1,462",440,650,"1,436",683,351,983,"1,312",795,"1,378",624,"1,180",488,673,341,287,107,All
Anthony Kyriakakis,,,,,22,"2,721","2,304","2,633","2,740",591,390,"2,674",628,855,305,"1,531","1,288",609,333,492,"1,506",163,293,377,438,123,77,All
Carmella Jacquinto,,,,,,78,995,"2,693","1,836","1,099",633,"2,134",865,670,941,"1,590",757,604,760,496,343,230,741,433,324,157,87,All
Tiffany Palmer,,,,,,,25,"1,149","1,749","1,352",510,799,"1,072","1,355","1,095",451,"1,538",956,863,922,"1,718",328,395,558,459,212,147,All
Cateria R Mccabe,,,,,,,,28,"1,119","1,188",445,"2,219",920,589,741,"1,826",617,461,641,556,300,285,773,355,250,116,72,All
James C Crumlish,,,,,,,,,34,559,810,"1,136",591,872,457,267,966,682,563,566,"1,462",447,316,300,576,241,76,All
Kendra Mccrae,,,,,,,,,,42,421,208,"1,081",765,"1,117",590,650,775,864,665,514,351,579,315,217,229,108,All
Craig Levin,,,,,,,,,,,61,132,750,497,425,276,250,476,512,586,288,"1,022",407,372,336,195,103,All
Henry Mcgregor Sias,,,,,,,,,,,,8,303,313,147,"1,390",643,169,150,221,229,84,134,191,208,65,62,All
Leon Goodman,,,,,,,,,,,,,22,578,923,588,397,565,611,428,448,440,539,481,346,254,156,All
Wendi Barish,,,,,,,,,,,,,,13,595,237,640,"1,007",701,942,487,333,419,617,253,145,60,All
Terri M Booker,,,,,,,,,,,,,,,47,611,511,521,699,420,508,361,353,234,142,215,138,All
Sherman Toppin,,,,,,,,,,,,,,,,18,226,181,393,232,196,240,274,136,139,116,78,All
Kay Yu,,,,,,,,,,,,,,,,,21,470,414,498,703,149,255,285,230,97,114,All
Beth Grossman,,,,,,,,,,,,,,,,,,16,729,727,450,282,333,615,374,130,111,All
Laurie Dow,,,,,,,,,,,,,,,,,,,37,487,371,264,499,308,321,149,84,All
Nicola Serianni,,,,,,,,,,,,,,,,,,,,14,286,382,353,422,224,128,115,All
Chris Hall,,,,,,,,,,,,,,,,,,,,,9,199,89,168,259,205,82,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,30,103,124,97,148,59,All
Janine D Momasso,,,,,,,,,,,,,,,,,,,,,,,14,287,346,57,56,All
Vicki Markovitz,,,,,,,,,,,,,,,,,,,,,,,,6,195,83,44,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,,5,98,79,All
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,,,5,35,All
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,,,7,All
Total,"15,890","5,547","6,903","6,468","6,023","5,769","5,264","5,142","5,074","3,706","3,624","3,478","3,307","3,260","3,154","3,084","2,966","2,953","2,769","2,646","2,631","2,475","1,814","1,704","1,466",806,500,All
