col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,division
,City Commissioners - Democrat,,,,,,,,,,,,,Register Of Wills - Democrat,,,All
,Omar Sabir,Lisa Deeley,Kahlil Williams,Marwan Kreidie,Annette Thompson,Dennis Lee,Carla Cain,Robin Trent,Lewis Harris Jr,Luigi Borda,Jen Devor,Warren Bloom,Moira Bohannon,Tracey Gordon,Ronald R Donatucci,Jacque P Whaumbush,All
Omar Sabir,135,704,296,105,81,60,28,17,28,12,2,12,3,622,839,269,All
Lisa Deeley,,34,70,45,56,21,18,6,3,10,7,9,6,292,670,122,All
Kahlil Williams,,,51,25,72,16,19,17,19,7,37,9,4,341,157,119,All
Marwan Kreidie,,,,15,8,5,7,7,0,11,0,2,1,209,47,55,All
Annette Thompson,,,,,11,12,16,11,6,1,3,4,6,175,39,59,All
Dennis Lee,,,,,,7,21,5,1,2,2,5,2,65,28,58,All
Carla Cain,,,,,,,4,3,2,3,6,3,4,63,17,52,All
Robin Trent,,,,,,,,1,1,5,1,3,4,48,11,20,All
Lewis Harris Jr,,,,,,,,,1,0,1,3,0,39,16,12,All
Luigi Borda,,,,,,,,,,3,6,3,1,33,14,12,All
Jen Devor,,,,,,,,,,,2,0,2,32,13,12,All
Warren Bloom,,,,,,,,,,,,0,0,25,17,12,All
Moira Bohannon,,,,,,,,,,,,,2,17,8,7,All
Tracey Gordon,,,,,,,,,,,,,,64,0,0,All
Ronald R Donatucci,,,,,,,,,,,,,,,54,0,All
Jacque P Whaumbush,,,,,,,,,,,,,,,,28,All
Total,"1,930","1,154",722,336,302,172,141,86,73,71,69,57,37,"1,242","1,133",523,All
,City Commissioners - Democrat,,,,,,,,,,,,,Register Of Wills - Democrat,,,1
,Omar Sabir,Lisa Deeley,Kahlil Williams,Marwan Kreidie,Annette Thompson,Dennis Lee,Robin Trent,Carla Cain,Lewis Harris Jr,Luigi Borda,Warren Bloom,Jen Devor,Moira Bohannon,Ronald R Donatucci,Tracey Gordon,Jacque P Whaumbush,1
Omar Sabir,2,17,4,1,1,3,1,1,0,0,1,0,0,21,9,9,1
Lisa Deeley,,0,1,1,2,0,0,1,0,0,0,0,0,18,5,3,1
Kahlil Williams,,,2,1,1,2,1,1,1,0,0,0,0,4,9,1,1
Marwan Kreidie,,,,0,0,0,0,0,0,0,0,0,0,0,4,3,1
Annette Thompson,,,,,0,0,2,0,0,0,0,0,0,0,5,2,1
Dennis Lee,,,,,,0,0,0,0,0,0,0,0,1,2,1,1
Robin Trent,,,,,,,0,0,0,0,0,0,0,0,4,1,1
Carla Cain,,,,,,,,0,0,0,0,0,0,0,2,1,1
Lewis Harris Jr,,,,,,,,,0,0,0,0,0,0,1,0,1
Luigi Borda,,,,,,,,,,0,0,0,0,0,1,0,1
Warren Bloom,,,,,,,,,,,0,0,0,0,1,0,1
Jen Devor,,,,,,,,,,,,0,0,0,0,0,1
Moira Bohannon,,,,,,,,,,,,,0,0,0,0,1
Ronald R Donatucci,,,,,,,,,,,,,,0,0,0,1
Tracey Gordon,,,,,,,,,,,,,,,0,0,1
Jacque P Whaumbush,,,,,,,,,,,,,,,,1,1
Total,44,26,17,8,7,5,5,3,1,1,1,0,0,27,27,15,1
,City Commissioners - Democrat,,,,,,,,,,,,,Register Of Wills - Democrat,,,2
,Omar Sabir,Lisa Deeley,Kahlil Williams,Marwan Kreidie,Annette Thompson,Dennis Lee,Luigi Borda,Warren Bloom,Jen Devor,Lewis Harris Jr,Carla Cain,Robin Trent,Moira Bohannon,Ronald R Donatucci,Tracey Gordon,Jacque P Whaumbush,2
Omar Sabir,5,33,7,5,5,2,0,1,0,1,0,0,0,40,17,11,2
Lisa Deeley,,1,1,1,1,0,0,0,0,0,0,0,0,33,5,1,2
Kahlil Williams,,,4,0,0,0,1,0,2,0,0,1,0,2,8,2,2
Marwan Kreidie,,,,1,0,1,0,0,0,0,1,1,0,3,7,1,2
Annette Thompson,,,,,0,0,0,1,0,1,0,0,0,0,5,2,2
Dennis Lee,,,,,,0,0,1,0,0,1,0,0,1,0,3,2
Luigi Borda,,,,,,,0,1,1,0,0,0,0,1,1,2,2
Warren Bloom,,,,,,,,0,0,0,0,0,0,1,1,1,2
Jen Devor,,,,,,,,,0,0,0,0,0,0,3,0,2
Lewis Harris Jr,,,,,,,,,,0,0,0,0,0,1,1,2
Carla Cain,,,,,,,,,,,0,0,0,0,1,1,2
Robin Trent,,,,,,,,,,,,0,0,1,0,0,2
Moira Bohannon,,,,,,,,,,,,,0,0,0,0,2
Ronald R Donatucci,,,,,,,,,,,,,,2,0,0,2
Tracey Gordon,,,,,,,,,,,,,,,1,0,2
Jacque P Whaumbush,,,,,,,,,,,,,,,,2,2
Total,78,44,17,13,8,5,4,4,3,3,2,2,0,50,31,18,2
,City Commissioners - Democrat,,,,,,,,,,,,,Register Of Wills - Democrat,,,3
,Omar Sabir,Lisa Deeley,Marwan Kreidie,Kahlil Williams,Dennis Lee,Annette Thompson,Carla Cain,Warren Bloom,Jen Devor,Luigi Borda,Lewis Harris Jr,Moira Bohannon,Robin Trent,Ronald R Donatucci,Tracey Gordon,Jacque P Whaumbush,3
Omar Sabir,5,22,5,5,1,1,0,0,0,1,0,0,0,32,17,5,3
Lisa Deeley,,1,1,2,2,0,0,0,1,0,0,1,0,21,4,4,3
Marwan Kreidie,,,0,0,0,0,0,0,0,1,0,0,0,3,4,6,3
Kahlil Williams,,,,1,0,2,0,0,0,0,0,0,0,5,3,2,3
Dennis Lee,,,,,0,0,2,1,0,0,0,0,0,1,5,1,3
Annette Thompson,,,,,,0,0,1,0,0,0,0,1,0,4,1,3
Carla Cain,,,,,,,0,1,1,1,0,0,0,1,3,1,3
Warren Bloom,,,,,,,,0,0,0,0,0,0,3,1,0,3
Jen Devor,,,,,,,,,0,0,1,0,0,0,0,2,3
Luigi Borda,,,,,,,,,,0,0,0,0,1,1,1,3
