col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,Sheriff - Democrat,,,,All
,Jennifer Schultz,Joshua Roberts,Craig Levin,Beth Grossman,James C Crumlish,Carmella Jacquinto,Wendi Barish,Anthony Kyriakakis,Jon Marshall,Cateria R Mccabe,Tiffany Palmer,Leon Goodman,Nicola Serianni,Vicki Markovitz,Terri M Booker,Kay Yu,Kendra Mccrae,Laurie Dow,Chris Hall,Sherman Toppin,James F Berardinelli,Henry Mcgregor Sias,Janine D Momasso,Robert Trimble,Gregory Weyer,Rochelle Bilal,Jewell Williams,Malika Rahman,Larry King Sr,All
Jennifer Schultz,15,93,116,87,58,41,68,23,87,38,64,46,79,58,40,47,43,34,19,13,12,14,22,19,5,142,55,73,32,All
Joshua Roberts,,12,97,48,54,44,41,47,80,32,26,45,42,25,19,22,15,12,19,31,13,28,6,10,2,107,51,38,25,All
Craig Levin,,,8,64,44,17,43,17,76,18,18,52,44,56,17,16,17,22,16,16,15,10,5,7,5,82,39,37,30,All
Beth Grossman,,,,3,33,27,63,34,19,28,41,47,40,81,28,39,32,44,10,6,31,11,19,4,16,66,50,31,34,All
James C Crumlish,,,,,3,63,38,80,26,51,39,39,30,17,17,26,15,11,28,10,15,17,5,14,4,46,38,31,28,All
Carmella Jacquinto,,,,,,19,32,62,7,69,30,23,20,22,25,26,36,18,12,26,7,20,18,8,4,33,37,29,18,All
Wendi Barish,,,,,,,1,23,27,24,38,42,37,37,27,29,30,29,14,14,19,5,21,12,2,54,40,25,28,All
Anthony Kyriakakis,,,,,,,,1,3,74,34,21,14,10,11,35,15,5,24,26,15,25,8,8,2,41,36,24,20,All
Jon Marshall,,,,,,,,,2,12,15,30,28,12,18,10,11,12,12,12,3,5,3,10,2,60,33,31,15,All
Cateria R Mccabe,,,,,,,,,,0,23,19,26,18,13,20,20,22,3,23,12,22,15,3,5,32,41,19,17,All
