col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,division
,Sheriff - Democrat,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Rochelle Bilal,Malika Rahman,Jewell Williams,Larry King Sr,Nicola Serianni,Jennifer Schultz,Anthony Kyriakakis,Tiffany Palmer,James C Crumlish,Joshua Roberts,Wendi Barish,Henry Mcgregor Sias,Kay Yu,Carmella Jacquinto,Craig Levin,Beth Grossman,Cateria R Mccabe,Chris Hall,James F Berardinelli,Janine D Momasso,Kendra Mccrae,Vicki Markovitz,Laurie Dow,Jon Marshall,Leon Goodman,Terri M Booker,Robert Trimble,Sherman Toppin,Gregory Weyer,All
Rochelle Bilal,87,0,0,0,717,845,653,851,385,214,517,350,547,219,252,269,430,270,164,228,167,141,127,118,88,82,49,41,27,All
Malika Rahman,,46,0,0,209,313,259,323,203,109,205,139,175,116,120,151,120,141,57,80,114,108,91,63,59,52,33,32,13,All
Jewell Williams,,,44,0,163,139,118,95,151,129,113,69,76,132,111,138,49,42,93,50,68,55,54,55,77,72,47,19,23,All
Larry King Sr,,,,31,117,92,90,57,117,75,54,33,41,48,71,93,39,50,92,47,32,45,33,29,29,24,35,20,15,All
Nicola Serianni,,,,,31,649,696,596,530,457,507,468,371,414,230,279,414,80,206,288,130,133,125,102,76,78,48,33,28,All
Jennifer Schultz,,,,,,60,396,677,240,195,505,221,422,187,248,327,451,152,106,236,182,171,147,147,94,81,61,41,22,All
Anthony Kyriakakis,,,,,,,24,769,807,430,308,622,447,409,173,181,301,421,160,61,96,78,50,32,72,37,46,49,24,All
Tiffany Palmer,,,,,,,,9,428,54,546,392,612,151,95,201,461,395,118,204,180,141,128,21,73,85,29,23,29,All
