col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,District Council 7th District - Democrat,,All
,Helen Gym,Erika Almirón,Justin Diberardinis,Isaiah Thomas,Adrián Rivera-reyes,Derek S Green,Eryn Santamoor,Deja Lynn Alvarez,Ethelind Baylor,Katherine Gilmore Richardson,Allan Domb,Asa Khalif,Ogbonna Paul Hagins,Beth Finn,Fernando Treviño,Fareed Abdullah,Willie Floyd Singletary,Sandra Dungee Glenn,Joseph A Diorio,Latrice Y Bryant,Edwin Santana,Hena Veit,Billy Thompson,Bobbie Curry,Mark Ross,Devon Cade,Sherrie Cohen,Vinny Black,Wayne Allen,Wayne Edmund Dorsey,Maria Quiñones Sánchez,Angel L Cruz,All
Helen Gym,0,68,62,50,47,33,30,27,34,27,23,10,16,9,8,4,5,5,3,2,2,3,1,2,0,0,0,0,0,0,71,47,All
Erika Almirón,,0,47,35,26,11,15,15,32,11,3,6,4,7,4,2,0,1,0,2,1,1,0,2,0,0,0,0,0,0,49,21,All
Justin Diberardinis,,,0,35,25,12,18,8,23,3,7,7,4,6,3,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,43,22,All
Isaiah Thomas,,,,0,13,20,7,0,21,17,18,6,1,2,1,3,0,0,1,2,2,1,0,1,1,0,0,0,0,0,29,28,All
Adrián Rivera-reyes,,,,,1,7,9,25,12,2,3,6,16,5,6,2,6,1,1,1,1,0,1,2,0,0,0,0,0,0,33,18,All
Derek S Green,,,,,,0,14,6,2,21,19,5,2,2,2,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,22,17,All
Eryn Santamoor,,,,,,,1,4,2,9,11,4,1,4,5,2,0,2,1,1,0,0,2,1,0,0,0,0,0,0,25,11,All
Deja Lynn Alvarez,,,,,,,,0,9,2,1,3,13,1,5,0,5,1,0,1,1,0,1,0,0,0,0,0,0,0,23,11,All
Ethelind Baylor,,,,,,,,,0,1,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,9,All
Katherine Gilmore Richardson,,,,,,,,,,0,16,1,1,1,4,2,0,1,1,1,0,3,2,2,0,0,0,0,0,0,12,19,All
Allan Domb,,,,,,,,,,,0,2,0,1,1,0,0,2,3,0,0,1,0,0,1,0,0,0,0,0,14,12,All
Asa Khalif,,,,,,,,,,,,0,2,6,1,8,0,1,1,2,2,0,1,0,0,0,0,0,0,0,15,5,All
Ogbonna Paul Hagins,,,,,,,,,,,,,0,0,1,1,5,0,0,0,0,0,0,2,0,0,0,0,0,0,10,8,All
Beth Finn,,,,,,,,,,,,,,0,0,3,0,1,0,2,1,1,0,0,0,0,0,0,0,0,9,5,All
Fernando Treviño,,,,,,,,,,,,,,,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9,4,All
Fareed Abdullah,,,,,,,,,,,,,,,,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,5,5,All
Willie Floyd Singletary,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,All
Sandra Dungee Glenn,,,,,,,,,,,,,,,,,,0,0,1,1,1,0,0,0,0,0,0,0,0,2,3,All
Joseph A Diorio,,,,,,,,,,,,,,,,,,,0,0,0,2,1,0,1,0,0,0,0,0,3,2,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,4,1,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2,2,All
Hena Veit,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,3,1,All
