col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Joshua Roberts,Jennifer Schultz,Wendi Barish,Carmella Jacquinto,Anthony Kyriakakis,Craig Levin,James F Berardinelli,Henry Mcgregor Sias,Jon Marshall,Beth Grossman,Tiffany Palmer,James C Crumlish,Nicola Serianni,Leon Goodman,Kendra Mccrae,Terri M Booker,Vicki Markovitz,Cateria R Mccabe,Kay Yu,Chris Hall,Sherman Toppin,Laurie Dow,Janine D Momasso,Robert Trimble,Gregory Weyer,Isaiah Thomas,Allan Domb,Helen Gym,Katherine Gilmore Richardson,Derek S Green,Eryn Santamoor,Adrián Rivera-reyes,Deja Lynn Alvarez,Willie Floyd Singletary,Erika Almirón,Ogbonna Paul Hagins,Sandra Dungee Glenn,Beth Finn,Fernando Treviño,Billy Thompson,Justin Diberardinis,Joseph A Diorio,Asa Khalif,Fareed Abdullah,Latrice Y Bryant,Edwin Santana,Ethelind Baylor,Hena Veit,Wayne Allen,Vinny Black,Bobbie Curry,Mark Ross,Wayne Edmund Dorsey,Devon Cade,Sherrie Cohen,All
Joshua Roberts,24,175,257,245,227,132,205,205,126,54,49,89,65,61,39,55,37,44,30,19,43,30,26,24,5,340,303,205,254,276,278,149,124,116,29,67,34,28,28,35,32,29,23,29,26,21,22,22,18,17,12,9,11,9,0,All
Jennifer Schultz,,22,103,73,44,165,44,35,140,106,81,75,113,57,81,49,74,62,52,39,31,50,40,40,7,137,145,264,98,84,91,219,170,128,55,79,55,54,53,43,44,47,29,25,38,31,15,26,22,19,17,15,12,4,0,All
Wendi Barish,,,1,202,195,38,184,167,34,75,56,54,37,40,39,39,38,37,34,19,19,37,21,17,3,240,231,100,212,210,240,49,41,36,31,16,31,33,26,22,28,24,17,18,27,12,26,19,10,7,12,9,9,5,0,All
Carmella Jacquinto,,,,0,204,25,181,186,17,53,54,50,47,40,54,47,46,40,44,19,35,29,37,14,11,263,231,92,209,224,215,63,51,17,37,14,37,26,35,20,25,13,25,19,25,25,15,11,8,14,9,4,4,6,0,All
Anthony Kyriakakis,,,,,1,27,196,203,17,38,53,59,20,22,18,17,19,33,28,39,23,8,14,12,4,226,244,78,207,209,217,29,34,12,31,8,11,17,31,11,24,22,11,10,13,11,17,9,7,7,5,8,10,3,0,All
Craig Levin,,,,,,6,22,6,108,38,31,55,57,36,27,22,38,15,18,14,24,17,14,21,3,58,73,138,40,40,40,120,109,98,16,67,13,27,26,25,15,31,14,17,19,8,9,15,11,9,10,6,2,1,0,All
James F Berardinelli,,,,,,,2,171,14,37,20,16,30,16,13,17,23,27,14,11,19,16,19,10,5,192,225,46,169,191,188,31,30,8,7,6,21,13,16,21,19,21,7,8,9,6,10,7,13,10,4,6,3,3,0,All
Henry Mcgregor Sias,,,,,,,,0,10,23,25,22,24,9,10,9,8,23,17,7,18,3,4,4,4,209,190,30,174,187,174,26,19,6,19,5,7,5,13,8,15,6,8,9,10,8,4,7,5,10,4,4,5,6,0,All
