col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,division
,City Commissioners - Democrat,,,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Omar Sabir,Lisa Deeley,Marwan Kreidie,Annette Thompson,Kahlil Williams,Carla Cain,Dennis Lee,Luigi Borda,Jen Devor,Lewis Harris Jr,Warren Bloom,Robin Trent,Moira Bohannon,Joshua Roberts,Jennifer Schultz,Carmella Jacquinto,Jon Marshall,Wendi Barish,James C Crumlish,Craig Levin,Anthony Kyriakakis,Henry Mcgregor Sias,Nicola Serianni,Beth Grossman,Tiffany Palmer,Kendra Mccrae,Vicki Markovitz,Leon Goodman,Cateria R Mccabe,Terri M Booker,Laurie Dow,Kay Yu,Chris Hall,Janine D Momasso,James F Berardinelli,Sherman Toppin,Robert Trimble,Gregory Weyer,All
Omar Sabir,13,181,43,10,26,6,12,3,4,1,1,0,0,281,137,130,92,126,140,101,114,116,44,27,34,21,17,35,19,21,15,12,8,19,7,18,10,3,All
Lisa Deeley,,22,30,33,11,11,12,9,5,2,3,2,0,232,136,142,70,144,133,58,116,108,51,55,48,29,30,26,28,16,27,14,15,16,25,7,11,8,All
Marwan Kreidie,,,9,3,2,4,2,7,2,0,0,0,0,74,99,19,66,15,22,63,12,5,18,10,10,10,13,10,8,3,1,11,9,2,4,4,8,1,All
Annette Thompson,,,,1,9,11,2,1,3,3,4,0,0,20,49,28,18,31,7,14,9,5,28,28,25,25,19,14,19,12,17,5,14,14,6,6,6,0,All
Kahlil Williams,,,,,4,1,1,2,5,4,2,1,0,22,27,17,18,21,13,16,10,6,17,20,24,21,7,12,18,22,12,14,10,14,10,8,2,4,All
Carla Cain,,,,,,0,4,3,3,2,0,2,1,8,25,26,7,14,7,8,7,2,18,21,18,17,18,4,9,12,12,8,11,7,2,1,2,2,All
Dennis Lee,,,,,,,2,5,1,2,2,1,1,16,21,17,10,7,10,15,6,5,12,15,10,13,12,8,9,9,11,7,4,5,9,7,11,5,All
Luigi Borda,,,,,,,,1,1,0,1,1,1,7,19,18,9,9,8,6,5,4,14,11,7,9,10,3,3,8,8,10,9,5,5,5,8,0,All
Jen Devor,,,,,,,,,1,1,0,1,0,6,17,13,5,7,4,8,8,2,7,8,10,4,5,5,3,5,7,5,4,3,6,4,0,1,All
Lewis Harris Jr,,,,,,,,,,0,0,2,0,5,7,3,3,2,0,4,1,2,6,3,6,3,4,4,4,6,2,3,2,2,2,1,3,4,All
Warren Bloom,,,,,,,,,,,1,1,1,4,5,3,4,4,0,1,0,2,5,7,7,3,2,4,5,7,4,2,4,4,3,2,2,1,All
Robin Trent,,,,,,,,,,,,0,1,1,6,0,1,7,3,3,1,1,3,7,4,1,2,1,0,3,2,3,4,0,2,0,1,3,All
Moira Bohannon,,,,,,,,,,,,,0,3,1,2,0,1,3,0,2,1,3,2,2,0,2,0,1,0,0,1,2,2,1,0,1,1,All
Joshua Roberts,,,,,,,,,,,,,,17,113,130,100,133,145,95,114,115,41,26,29,14,20,26,21,15,10,6,10,8,14,8,6,7,All
Jennifer Schultz,,,,,,,,,,,,,,,15,53,103,53,36,115,16,28,70,52,49,37,42,31,31,23,25,21,19,18,13,13,17,5,All
Carmella Jacquinto,,,,,,,,,,,,,,,,1,19,125,115,19,121,101,29,37,36,38,31,17,24,20,27,23,12,25,10,13,14,4,All
Jon Marshall,,,,,,,,,,,,,,,,,20,20,22,83,11,7,29,20,12,8,11,17,8,13,13,7,11,5,4,10,8,1,All
Wendi Barish,,,,,,,,,,,,,,,,,,0,124,23,102,96,29,39,33,21,23,12,17,19,19,7,12,15,6,5,4,6,All
James C Crumlish,,,,,,,,,,,,,,,,,,,4,24,112,107,33,17,31,8,9,12,10,5,5,10,14,4,10,6,5,4,All
Craig Levin,,,,,,,,,,,,,,,,,,,,5,5,9,26,24,13,19,17,20,15,11,9,4,4,7,11,9,6,8,All
Anthony Kyriakakis,,,,,,,,,,,,,,,,,,,,,2,105,14,13,17,10,8,8,10,4,3,11,16,4,8,8,3,3,All
Henry Mcgregor Sias,,,,,,,,,,,,,,,,,,,,,,0,26,5,16,1,9,3,3,5,1,4,0,1,8,9,1,5,All
Nicola Serianni,,,,,,,,,,,,,,,,,,,,,,,0,37,39,23,24,7,20,14,12,12,11,18,15,5,4,4,All
Beth Grossman,,,,,,,,,,,,,,,,,,,,,,,,2,26,25,36,25,23,21,25,9,18,19,11,3,7,3,All
Tiffany Palmer,,,,,,,,,,,,,,,,,,,,,,,,,0,32,24,11,20,18,20,20,15,13,14,8,6,5,All
Kendra Mccrae,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,13,18,20,15,18,13,12,7,6,9,6,All
Vicki Markovitz,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,15,16,9,6,6,9,8,7,5,2,All
Leon Goodman,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,18,10,5,11,5,7,9,10,2,All
Cateria R Mccabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,10,6,9,12,8,5,4,5,All
Terri M Booker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,11,15,8,3,6,8,4,All
Laurie Dow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,13,10,7,6,9,2,All
Kay Yu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,7,7,3,9,1,All
Chris Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,7,1,8,2,All
Janine D Momasso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,4,2,3,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,8,5,All
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,All
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,All
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,All
Total,439,422,171,87,82,57,55,39,29,19,16,12,7,428,364,232,213,207,198,196,160,142,122,119,109,85,73,72,71,68,66,52,51,50,48,38,36,22,All
,City Commissioners - Democrat,,,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,1
,Omar Sabir,Lisa Deeley,Marwan Kreidie,Annette Thompson,Carla Cain,Luigi Borda,Kahlil Williams,Dennis Lee,Jen Devor,Lewis Harris Jr,Moira Bohannon,Robin Trent,Warren Bloom,Carmella Jacquinto,Jennifer Schultz,Joshua Roberts,Vicki Markovitz,Wendi Barish,Beth Grossman,Nicola Serianni,Craig Levin,Anthony Kyriakakis,James C Crumlish,Janine D Momasso,Jon Marshall,Kendra Mccrae,Terri M Booker,Cateria R Mccabe,Chris Hall,Henry Mcgregor Sias,Tiffany Palmer,Kay Yu,Laurie Dow,Robert Trimble,Sherman Toppin,Gregory Weyer,James F Berardinelli,Leon Goodman,1
Omar Sabir,3,9,1,0,1,1,2,0,0,0,0,0,0,9,6,14,4,6,3,4,4,5,4,4,4,1,2,1,1,3,0,2,1,1,2,0,0,0,1
Lisa Deeley,,1,3,4,0,0,0,0,0,0,0,0,0,9,9,10,4,8,6,3,2,6,5,2,2,3,0,2,0,4,2,1,2,0,0,0,0,0,1
Marwan Kreidie,,,0,0,0,1,0,2,1,0,0,0,0,6,5,3,4,2,2,3,0,2,3,0,1,2,0,2,2,1,2,1,0,1,0,1,0,0,1
Annette Thompson,,,,0,2,0,1,0,0,1,0,0,0,4,5,2,3,3,4,2,1,0,0,1,1,3,1,2,1,0,3,0,2,0,0,0,0,0,1
Carla Cain,,,,,0,1,0,0,1,0,0,0,0,5,2,0,3,2,2,3,0,0,0,0,1,1,2,1,2,0,1,1,1,1,0,0,0,0,1
Luigi Borda,,,,,,0,0,0,0,0,1,0,0,4,1,1,4,0,4,4,1,0,0,2,0,0,1,0,2,0,0,1,0,1,0,0,0,0,1
Kahlil Williams,,,,,,,0,1,0,0,0,0,0,1,1,2,1,2,0,0,3,0,0,2,1,1,4,1,0,1,0,1,0,0,2,0,0,0,1
Dennis Lee,,,,,,,,0,0,0,0,0,0,2,1,1,2,1,1,0,1,1,2,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1
Jen Devor,,,,,,,,,0,0,0,0,0,2,2,0,2,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
Lewis Harris Jr,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Moira Bohannon,,,,,,,,,,,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Robin Trent,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Warren Bloom,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Carmella Jacquinto,,,,,,,,,,,,,,0,9,7,9,9,7,7,1,7,7,4,2,5,3,4,3,4,3,2,2,3,1,1,0,0,1
Jennifer Schultz,,,,,,,,,,,,,,,2,3,7,6,6,5,4,1,1,2,4,3,2,2,2,1,3,2,1,1,0,1,0,0,1
Joshua Roberts,,,,,,,,,,,,,,,,0,4,5,2,4,4,5,5,1,4,0,2,2,1,4,1,0,0,0,0,0,0,0,1
Vicki Markovitz,,,,,,,,,,,,,,,,,0,6,10,7,3,1,1,4,2,2,3,1,2,1,3,1,1,1,0,1,0,0,1
Wendi Barish,,,,,,,,,,,,,,,,,,0,4,1,3,5,4,2,0,1,3,0,0,5,3,0,2,0,1,1,0,0,1
Beth Grossman,,,,,,,,,,,,,,,,,,,0,6,2,1,1,4,1,2,1,1,2,0,2,1,2,1,0,0,0,0,1
Nicola Serianni,,,,,,,,,,,,,,,,,,,,0,1,0,0,2,2,2,2,2,3,0,2,1,0,1,0,0,0,0,1
Craig Levin,,,,,,,,,,,,,,,,,,,,,0,0,0,2,3,0,3,1,0,1,0,0,0,0,1,0,0,0,1
Anthony Kyriakakis,,,,,,,,,,,,,,,,,,,,,,0,6,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,1
James C Crumlish,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,2,1,3,0,0,0,1,0,0,0,0,1
Janine D Momasso,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,2,0,0,0,0,1,0,1,2,0,0,0,1
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1
Kendra Mccrae,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,1,0,2,1,1,1,1,0,0,0,1
Terri M Booker,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,1,0,0,2,0,0,0,1
Cateria R Mccabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1
Chris Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,2,1,2,0,0,0,0,1
Henry Mcgregor Sias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1
Tiffany Palmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,0,1
Kay Yu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,1
Laurie Dow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,1
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
Leon Goodman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
