col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheriff - Democrat,,,,All
,Helen Gym,Allan Domb,Isaiah Thomas,Derek S Green,Katherine Gilmore Richardson,Justin Diberardinis,Adrián Rivera-reyes,Eryn Santamoor,Erika Almirón,Deja Lynn Alvarez,Willie Floyd Singletary,Sandra Dungee Glenn,Ethelind Baylor,Beth Finn,Ogbonna Paul Hagins,Fernando Treviño,Fareed Abdullah,Asa Khalif,Billy Thompson,Latrice Y Bryant,Joseph A Diorio,Hena Veit,Edwin Santana,Wayne Allen,Vinny Black,Mark Ross,Bobbie Curry,Devon Cade,Wayne Edmund Dorsey,Sherrie Cohen,Rochelle Bilal,Jewell Williams,Malika Rahman,Larry King Sr,All
Helen Gym,"3,145","38,120","39,135","38,528","29,252","30,495","20,009","22,605","27,166","14,241","8,080","8,758","10,036","8,043","7,989","6,315","3,985","4,429","3,778","3,614","2,517","2,907","1,791","1,673","1,617","1,385","1,404","1,055",894,6,"42,448","22,969","24,113","3,973",All
Allan Domb,,"2,457","28,958","33,901","23,812","13,627","5,288","15,818","4,234","3,483","2,842","5,895","1,787","3,882","1,319","2,802","3,448","2,602","2,900","1,680","3,106","1,238","1,525","1,619","1,613","1,546","1,267","1,096",968,8,"15,316","23,157","11,351","4,264",All
Isaiah Thomas,,,883,"34,207","24,341","16,393","5,707","7,675","13,456","3,401","2,870","7,084","8,662","2,084","1,433","1,678","4,460","3,744","2,595","2,766","1,474",849,"1,433","1,530","1,012","1,121",596,988,704,13,"20,450","22,538","9,113","2,341",All
Derek S Green,,,,590,"25,789","15,973","4,493","12,598","8,146","3,426","2,086","6,200","3,509","2,188","1,069","1,640","3,387","2,809","2,213","2,011","1,112",501,"1,160","1,363","1,020",836,758,442,666,9,"16,731","21,733","10,280","2,358",All
Katherine Gilmore Richardson,,,,,280,"6,960","3,477","10,240","6,575","2,739","1,332","5,744","1,581","3,571",925,"2,916","1,863","1,604","1,819","2,102","1,089","1,172",875,753,797,725,721,500,469,11,"11,689","16,584","8,427","1,888",All
Justin Diberardinis,,,,,,485,"6,308","13,147","16,105","3,180",497,"3,046","7,362","2,884",685,"2,287",784,"1,111",854,763,"1,752",554,847,435,646,634,500,315,273,8,"18,640","5,650","9,487","2,116",All
Adrián Rivera-reyes,,,,,,,769,"5,581","6,943","11,909","7,382","1,837","1,760","3,221","6,930","3,407","1,432","1,801","1,354","1,603","1,247","1,168","1,211",628,626,469,553,362,346,7,"17,970","3,964","8,872","1,486",All
Eryn Santamoor,,,,,,,,275,"7,808","3,439","1,211","2,745","1,156","3,606","1,008","4,106",993,"1,043","1,214","1,355","1,127","1,411",728,436,680,643,729,438,288,7,"12,355","4,834","11,148","2,071",All
Erika Almirón,,,,,,,,,171,"4,850",549,"3,266","7,348","3,409",865,"3,389","1,072","1,914",903,"1,496",449,"1,005",589,390,377,306,356,273,227,7,"17,873","2,790","8,928",849,All
Deja Lynn Alvarez,,,,,,,,,,652,"6,980","1,377","1,395","2,267","6,348","2,300","1,150","1,583",978,"1,705",992,"1,118",824,476,468,487,498,340,269,7,"12,364","3,104","7,787",947,All
