col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,division
,District Council 1st District - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Mark F Squilla,Lou Lanni,Tiffany Palmer,Anthony Kyriakakis,Jennifer Schultz,Kay Yu,Chris Hall,James F Berardinelli,Wendi Barish,Henry Mcgregor Sias,James C Crumlish,Nicola Serianni,Beth Grossman,Cateria R Mccabe,Vicki Markovitz,Carmella Jacquinto,Craig Levin,Joshua Roberts,Kendra Mccrae,Leon Goodman,Janine D Momasso,Laurie Dow,Terri M Booker,Jon Marshall,Robert Trimble,Sherman Toppin,Gregory Weyer,All
Mark F Squilla,209,0,"2,291","2,124","1,884","1,737","1,522","1,146",660,674,682,532,380,409,313,314,249,248,221,223,196,198,140,100,78,72,40,All
Lou Lanni,,43,317,249,343,229,165,119,167,122,124,153,135,75,106,88,100,88,79,52,68,62,41,56,32,20,7,All
Tiffany Palmer,,,11,"2,185","1,743","1,812","1,671","1,137",545,652,660,437,212,374,201,178,77,74,162,142,152,140,86,23,33,27,23,All
Anthony Kyriakakis,,,,8,"1,527","1,678","1,683","1,188",390,562,706,254,168,208,167,188,108,132,86,124,51,71,55,24,36,51,22,All
Jennifer Schultz,,,,,22,"1,511","1,238","1,100",435,383,221,414,265,320,174,155,189,151,154,86,149,116,73,106,45,25,16,All
Kay Yu,,,,,,7,"1,281","1,080",274,467,272,281,138,259,119,137,63,59,118,76,69,85,65,13,24,19,20,All
Chris Hall,,,,,,,1,"1,072",171,191,593,61,80,41,55,65,59,40,50,45,13,41,25,11,27,9,14,All
James F Berardinelli,,,,,,,,2,81,119,111,65,76,36,60,52,40,41,25,51,49,20,15,14,32,11,14,All
Wendi Barish,,,,,,,,,1,207,194,320,220,171,196,135,88,85,122,97,142,148,61,35,31,18,18,All
Henry Mcgregor Sias,,,,,,,,,,10,133,175,86,208,88,96,34,69,47,80,35,37,33,12,33,47,10,All
James C Crumlish,,,,,,,,,,,1,97,109,46,56,89,82,77,54,68,18,41,29,37,26,17,7,All
Nicola Serianni,,,,,,,,,,,,7,147,231,125,119,64,72,95,53,158,85,42,37,28,23,15,All
Beth Grossman,,,,,,,,,,,,,2,55,172,110,96,62,85,82,59,110,56,27,17,10,13,All
Cateria R Mccabe,,,,,,,,,,,,,,1,63,88,25,53,73,47,130,45,31,14,8,47,8,All
Vicki Markovitz,,,,,,,,,,,,,,,0,88,78,31,72,78,47,81,43,14,19,12,10,All
Carmella Jacquinto,,,,,,,,,,,,,,,,2,34,74,86,44,60,65,45,19,23,39,3,All
Craig Levin,,,,,,,,,,,,,,,,,8,105,24,53,20,25,23,84,25,12,7,All
Joshua Roberts,,,,,,,,,,,,,,,,,,9,14,39,17,22,19,87,23,46,9,All
Kendra Mccrae,,,,,,,,,,,,,,,,,,,0,47,36,52,43,14,22,19,2,All
Leon Goodman,,,,,,,,,,,,,,,,,,,,3,20,30,34,25,18,31,4,All
Janine D Momasso,,,,,,,,,,,,,,,,,,,,,0,41,37,9,9,13,14,All
Laurie Dow,,,,,,,,,,,,,,,,,,,,,,1,36,3,12,15,6,All
Terri M Booker,,,,,,,,,,,,,,,,,,,,,,,0,11,14,18,4,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,2,13,8,3,All
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,,1,8,2,All
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,All
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
