col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,City Commissioners - Democrat,,,,,,,,,,,,,All
,James C Crumlish,Jennifer Schultz,Anthony Kyriakakis,Tiffany Palmer,Kay Yu,Wendi Barish,Carmella Jacquinto,Beth Grossman,Chris Hall,Nicola Serianni,Joshua Roberts,Henry Mcgregor Sias,Cateria R Mccabe,Kendra Mccrae,Craig Levin,Vicki Markovitz,Laurie Dow,James F Berardinelli,Leon Goodman,Terri M Booker,Janine D Momasso,Jon Marshall,Sherman Toppin,Robert Trimble,Gregory Weyer,Lisa Deeley,Kahlil Williams,Omar Sabir,Jen Devor,Marwan Kreidie,Luigi Borda,Annette Thompson,Carla Cain,Moira Bohannon,Dennis Lee,Robin Trent,Warren Bloom,Lewis Harris Jr,All
James C Crumlish,38,853,"1,561","1,095",677,488,729,400,888,292,501,443,250,157,259,178,166,257,158,119,72,136,72,87,37,872,744,644,500,341,245,143,178,138,123,61,59,29,All
Jennifer Schultz,,75,679,790,562,692,421,605,288,597,359,262,367,329,382,341,297,188,180,172,204,255,87,93,33,859,561,458,379,402,258,328,251,174,128,82,53,37,All
Anthony Kyriakakis,,,6,"1,415",858,516,599,345,926,320,394,598,336,170,190,154,144,264,156,81,71,45,62,49,28,753,958,455,611,341,260,102,155,145,105,67,50,30,All
Tiffany Palmer,,,,14,828,635,330,379,913,417,139,433,345,280,151,194,233,201,178,175,124,42,58,26,31,459,"1,019",318,686,342,238,182,219,154,84,72,27,29,All
Kay Yu,,,,,9,351,428,215,372,265,162,448,240,201,91,133,139,116,99,141,105,30,54,18,38,330,594,372,396,196,218,105,145,128,60,56,17,22,All
Wendi Barish,,,,,,5,273,429,231,460,158,131,210,246,172,248,253,122,122,146,158,86,52,37,15,467,358,247,253,221,137,234,194,134,72,61,34,20,All
Carmella Jacquinto,,,,,,,4,247,125,206,317,312,254,222,93,147,149,84,131,151,138,34,60,25,24,599,230,541,138,101,111,163,125,90,56,47,24,13,All
Beth Grossman,,,,,,,,12,183,297,125,61,146,239,158,276,252,175,128,121,122,61,42,47,27,404,246,183,177,161,140,200,172,102,83,52,37,26,All
Chris Hall,,,,,,,,,6,117,79,156,85,97,79,70,110,133,74,65,24,30,29,40,16,190,589,137,435,204,120,45,81,81,58,49,26,33,All
Nicola Serianni,,,,,,,,,,4,140,104,190,201,183,186,159,112,83,94,136,91,38,29,19,370,252,190,169,178,146,184,144,119,49,52,15,13,All
Joshua Roberts,,,,,,,,,,,8,244,148,55,257,69,54,59,103,83,23,203,57,42,15,471,139,415,62,166,68,74,43,21,74,21,25,19,All
Henry Mcgregor Sias,,,,,,,,,,,,2,228,42,35,36,28,71,52,29,37,13,32,23,22,322,335,277,194,86,99,29,46,37,30,21,13,17,All
Cateria R Mccabe,,,,,,,,,,,,,2,181,54,102,115,61,117,99,140,38,71,25,15,276,269,223,161,87,102,102,90,57,57,38,22,20,All
Kendra Mccrae,,,,,,,,,,,,,,5,54,129,178,52,132,139,115,30,64,31,16,201,213,206,97,101,62,137,122,62,51,46,8,21,All
Craig Levin,,,,,,,,,,,,,,,7,98,60,68,126,50,40,193,31,39,20,247,119,209,59,143,70,72,67,27,69,32,33,20,All
Vicki Markovitz,,,,,,,,,,,,,,,,1,144,70,83,60,82,38,27,27,13,223,119,109,105,80,65,122,106,65,51,35,32,11,All
Laurie Dow,,,,,,,,,,,,,,,,,2,49,77,116,84,36,36,19,17,214,160,116,119,57,65,130,113,63,54,35,18,11,All
James F Berardinelli,,,,,,,,,,,,,,,,,,3,100,36,64,37,26,44,27,145,168,83,95,62,106,46,45,35,53,18,37,22,All
Leon Goodman,,,,,,,,,,,,,,,,,,,1,124,75,58,82,31,28,134,183,196,63,54,62,58,66,25,73,23,22,27,All
Terri M Booker,,,,,,,,,,,,,,,,,,,,1,74,41,64,25,23,149,147,190,39,43,31,96,59,28,52,29,14,27,All
Janine D Momasso,,,,,,,,,,,,,,,,,,,,,3,13,40,13,13,119,101,124,74,49,55,68,83,48,24,31,13,10,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,6,29,24,8,129,61,134,23,112,46,49,28,12,43,16,18,12,All
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,2,15,7,59,81,97,19,22,32,29,41,11,39,22,9,5,All
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,1,8,50,38,34,13,33,31,23,18,12,32,14,14,12,All
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,0,13,24,31,21,17,22,10,12,6,13,12,7,10,All
Lisa Deeley,,,,,,,,,,,,,,,,,,,,,,,,,,35,180,441,85,126,81,174,95,56,54,24,23,6,All
Kahlil Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,23,192,553,122,110,67,52,45,48,16,14,20,All
Omar Sabir,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,16,110,38,64,41,24,45,17,6,12,All
Jen Devor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,38,62,23,45,39,10,12,5,14,All
Marwan Kreidie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,74,21,41,31,30,32,9,0,All
Luigi Borda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,17,44,19,19,6,12,4,All
Annette Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,50,42,12,14,9,6,All
