col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,division
,District Council 1st District - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Mark F Squilla,Lou Lanni,Jennifer Schultz,Joshua Roberts,Jon Marshall,Cateria R Mccabe,Craig Levin,Beth Grossman,Anthony Kyriakakis,Wendi Barish,Tiffany Palmer,Carmella Jacquinto,Nicola Serianni,James C Crumlish,Leon Goodman,Henry Mcgregor Sias,Kendra Mccrae,Vicki Markovitz,Laurie Dow,Sherman Toppin,Kay Yu,James F Berardinelli,Janine D Momasso,Terri M Booker,Chris Hall,Robert Trimble,Gregory Weyer,All
Mark F Squilla,52,0,128,102,65,71,46,61,63,54,53,52,47,47,33,47,41,35,31,36,29,37,21,27,23,19,4,All
Lou Lanni,,13,62,45,35,14,42,18,12,19,18,15,20,15,18,2,8,14,13,8,15,4,15,11,7,9,2,All
Jennifer Schultz,,,6,50,54,27,53,41,21,48,37,24,44,24,15,15,26,22,31,8,22,16,22,13,9,11,4,All
Joshua Roberts,,,,7,47,34,44,15,27,18,8,33,20,20,18,29,6,7,7,29,5,5,6,14,8,7,1,All
Jon Marshall,,,,,2,10,42,18,9,15,8,8,19,17,12,7,10,5,8,5,8,5,2,7,5,8,2,All
Cateria R Mccabe,,,,,,0,15,18,33,15,21,34,17,9,24,25,19,16,13,28,17,12,18,11,8,3,1,All
Craig Levin,,,,,,,0,15,5,14,15,9,21,15,12,3,11,13,8,4,7,6,3,10,6,7,2,All
Beth Grossman,,,,,,,,2,14,23,24,11,16,12,13,7,21,21,18,3,10,13,9,11,6,2,1,All
Anthony Kyriakakis,,,,,,,,,2,17,23,25,10,23,12,36,8,10,3,27,14,10,3,4,16,9,2,All
Wendi Barish,,,,,,,,,,0,29,14,29,16,10,12,19,13,24,7,13,10,7,14,4,4,4,All
Tiffany Palmer,,,,,,,,,,,0,13,11,17,14,13,17,17,18,3,17,8,9,14,16,5,2,All
Carmella Jacquinto,,,,,,,,,,,,2,13,12,16,21,12,11,10,19,12,7,9,9,3,5,1,All
Nicola Serianni,,,,,,,,,,,,,0,15,12,9,16,15,14,7,7,12,15,9,2,11,2,All
James C Crumlish,,,,,,,,,,,,,,1,12,8,7,10,3,6,3,14,5,4,17,7,1,All
Leon Goodman,,,,,,,,,,,,,,,0,5,12,14,6,8,7,10,5,13,10,4,0,All
Henry Mcgregor Sias,,,,,,,,,,,,,,,,0,7,3,2,25,7,7,2,2,3,5,0,All
Kendra Mccrae,,,,,,,,,,,,,,,,,1,6,13,3,7,4,7,10,3,4,0,All
Vicki Markovitz,,,,,,,,,,,,,,,,,,0,9,2,7,15,9,9,7,7,1,All
Laurie Dow,,,,,,,,,,,,,,,,,,,2,5,10,6,7,7,4,5,0,All
Sherman Toppin,,,,,,,,,,,,,,,,,,,,0,8,1,2,6,5,4,2,All
Kay Yu,,,,,,,,,,,,,,,,,,,,,2,7,8,4,4,2,2,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,0,15,3,8,5,1,All
Janine D Momasso,,,,,,,,,,,,,,,,,,,,,,,1,4,3,3,1,All
Terri M Booker,,,,,,,,,,,,,,,,,,,,,,,,0,4,2,0,All
Chris Hall,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,All
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,All
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,360,132,205,159,104,97,92,86,85,80,79,75,71,67,57,56,56,53,50,49,48,46,41,39,34,30,6,All
,District Council 1st District - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,7
,Mark F Squilla,Lou Lanni,Jennifer Schultz,Joshua Roberts,Jon Marshall,James C Crumlish,Tiffany Palmer,Beth Grossman,Cateria R Mccabe,Leon Goodman,Anthony Kyriakakis,Carmella Jacquinto,Craig Levin,Laurie Dow,Wendi Barish,Henry Mcgregor Sias,Kendra Mccrae,Nicola Serianni,Terri M Booker,Chris Hall,James F Berardinelli,Kay Yu,Sherman Toppin,Vicki Markovitz,Robert Trimble,Gregory Weyer,Janine D Momasso,7
Mark F Squilla,11,0,13,8,9,5,6,7,7,5,4,3,4,5,4,5,5,2,3,3,3,2,3,2,2,0,0,7
Lou Lanni,,0,4,5,3,4,2,0,0,2,2,2,1,1,2,0,0,2,2,1,0,1,0,0,0,0,0,7
Jennifer Schultz,,,0,4,5,6,5,5,2,4,1,3,3,4,3,1,2,5,3,2,2,0,0,1,1,0,0,7
Joshua Roberts,,,,0,5,5,0,2,2,3,2,2,3,0,1,3,0,3,1,0,0,2,3,0,0,0,0,7
Jon Marshall,,,,,0,4,0,2,1,3,0,1,3,0,0,0,0,3,0,0,1,0,0,0,0,0,0,7
James C Crumlish,,,,,,0,3,0,0,3,3,2,3,1,2,1,0,3,1,4,0,0,0,1,1,0,0,7
Tiffany Palmer,,,,,,,0,3,2,2,3,2,2,4,4,1,2,0,4,3,0,0,0,1,0,0,0,7
Beth Grossman,,,,,,,,0,1,1,0,2,0,2,2,1,1,1,2,0,2,0,1,0,0,0,0,7
Cateria R Mccabe,,,,,,,,,0,5,2,2,3,1,0,2,3,1,1,0,1,2,2,2,0,0,0,7
Leon Goodman,,,,,,,,,,0,0,3,4,1,1,0,2,2,2,0,1,0,0,2,0,0,0,7
Anthony Kyriakakis,,,,,,,,,,,1,0,0,1,1,3,0,0,0,3,0,3,2,0,0,0,0,7
Carmella Jacquinto,,,,,,,,,,,,0,2,1,2,0,0,1,2,1,1,0,0,3,1,0,0,7
Craig Levin,,,,,,,,,,,,,0,0,0,0,1,2,1,0,0,0,0,2,0,0,0,7
Laurie Dow,,,,,,,,,,,,,,0,5,1,3,1,2,1,1,0,0,0,1,0,0,7
Wendi Barish,,,,,,,,,,,,,,,0,1,2,0,3,1,1,0,0,0,1,0,0,7
Henry Mcgregor Sias,,,,,,,,,,,,,,,,0,1,0,0,1,1,2,3,0,1,0,0,7
Kendra Mccrae,,,,,,,,,,,,,,,,,0,1,1,0,1,0,0,0,1,0,0,7
Nicola Serianni,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,7
Terri M Booker,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,7
