col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,division
,District Council 6th District - Democrat,City Commissioners - Democrat,,,,,,,,,,,,,All
,Bobby Henon,Lisa Deeley,Omar Sabir,Marwan Kreidie,Luigi Borda,Kahlil Williams,Annette Thompson,Jen Devor,Dennis Lee,Carla Cain,Robin Trent,Moira Bohannon,Lewis Harris Jr,Warren Bloom,All
Bobby Henon,114,508,306,189,160,150,117,75,75,64,43,47,29,25,All
Lisa Deeley,,59,161,42,42,38,47,16,19,22,15,12,3,5,All
Omar Sabir,,,31,28,11,32,14,4,14,2,3,3,3,4,All
Marwan Kreidie,,,,23,102,9,8,4,5,4,2,4,2,3,All
Luigi Borda,,,,,21,6,6,8,3,12,8,7,4,1,All
Kahlil Williams,,,,,,9,18,30,5,7,4,3,2,3,All
Annette Thompson,,,,,,,5,3,8,9,5,5,3,3,All
Jen Devor,,,,,,,,2,5,4,3,5,3,1,All
Dennis Lee,,,,,,,,,4,3,2,2,3,3,All
Carla Cain,,,,,,,,,,1,5,1,2,1,All
Robin Trent,,,,,,,,,,,0,2,2,1,All
Moira Bohannon,,,,,,,,,,,,1,4,1,All
Lewis Harris Jr,,,,,,,,,,,,,1,1,All
Warren Bloom,,,,,,,,,,,,,,0,All
Total,"1,174",646,372,274,243,183,139,95,87,78,55,54,34,29,All
,District Council 6th District - Democrat,City Commissioners - Democrat,,,,,,,,,,,,,1
,Bobby Henon,Lisa Deeley,Omar Sabir,Marwan Kreidie,Annette Thompson,Luigi Borda,Kahlil Williams,Carla Cain,Jen Devor,Lewis Harris Jr,Robin Trent,Warren Bloom,Dennis Lee,Moira Bohannon,1
Bobby Henon,2,17,12,11,7,6,4,3,3,3,2,2,1,0,1
Lisa Deeley,,1,5,1,1,0,1,1,0,1,0,0,0,0,1
Omar Sabir,,,4,3,1,2,0,0,0,1,0,0,0,0,1
Marwan Kreidie,,,,1,1,4,0,1,0,0,0,1,0,0,1
Annette Thompson,,,,,0,0,0,0,0,0,1,1,0,0,1
Luigi Borda,,,,,,0,0,0,0,0,0,0,0,0,1
Kahlil Williams,,,,,,,0,0,2,0,0,0,0,0,1
Carla Cain,,,,,,,,0,0,0,1,0,0,0,1
Jen Devor,,,,,,,,,0,1,0,0,0,0,1
Lewis Harris Jr,,,,,,,,,,0,0,0,0,0,1
Robin Trent,,,,,,,,,,,0,0,0,0,1
Warren Bloom,,,,,,,,,,,,0,0,0,1
Dennis Lee,,,,,,,,,,,,,0,0,1
Moira Bohannon,,,,,,,,,,,,,,0,1
Total,46,19,18,14,7,7,4,3,3,3,2,2,1,0,1
