col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,division
,City Commissioners - Democrat,,,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Omar Sabir,Lisa Deeley,Kahlil Williams,Marwan Kreidie,Annette Thompson,Dennis Lee,Carla Cain,Jen Devor,Luigi Borda,Robin Trent,Lewis Harris Jr,Warren Bloom,Moira Bohannon,Joshua Roberts,Jennifer Schultz,Carmella Jacquinto,Anthony Kyriakakis,Craig Levin,Wendi Barish,Tiffany Palmer,Nicola Serianni,Cateria R Mccabe,Jon Marshall,James C Crumlish,Beth Grossman,Kendra Mccrae,Sherman Toppin,Henry Mcgregor Sias,Terri M Booker,Leon Goodman,Vicki Markovitz,Laurie Dow,Janine D Momasso,Kay Yu,Chris Hall,James F Berardinelli,Robert Trimble,Gregory Weyer,All
Omar Sabir,52,459,123,97,53,39,10,2,13,13,8,9,13,693,414,378,353,329,205,137,196,239,192,161,104,129,192,193,123,122,121,79,88,59,50,64,40,21,All
Lisa Deeley,,20,37,45,45,14,23,3,10,13,6,5,8,513,301,332,305,168,185,104,116,179,94,145,110,66,154,178,76,64,92,53,51,47,36,37,21,10,All
Kahlil Williams,,,14,9,38,12,11,35,1,9,11,11,4,105,100,68,76,67,76,134,62,61,31,64,70,95,37,27,82,72,54,50,30,60,61,34,21,10,All
Marwan Kreidie,,,,9,5,14,3,1,11,2,0,2,4,132,181,35,37,110,39,32,53,18,97,55,30,21,16,10,16,22,16,13,20,21,26,9,27,1,All
Annette Thompson,,,,,2,3,14,4,2,8,5,7,7,52,97,48,24,43,71,96,58,31,24,23,59,54,24,10,63,55,38,45,20,25,30,14,12,9,All
Dennis Lee,,,,,,1,3,6,5,4,5,5,0,32,45,20,17,32,33,25,33,28,27,15,34,26,19,6,31,37,15,22,12,18,16,15,11,10,All
Carla Cain,,,,,,,2,5,3,4,2,2,3,19,51,24,18,17,37,40,30,15,5,13,34,23,11,6,14,7,14,15,13,11,13,9,6,2,All
Jen Devor,,,,,,,,2,6,5,1,1,1,13,31,21,32,12,20,39,27,15,4,28,20,16,3,7,7,8,18,13,4,21,25,8,3,2,All
Luigi Borda,,,,,,,,,0,2,2,4,3,18,38,10,15,14,21,18,24,17,8,15,17,10,5,9,9,13,7,9,16,15,9,11,9,4,All
Robin Trent,,,,,,,,,,1,3,0,2,16,25,18,14,14,20,32,17,16,8,8,24,18,8,2,17,16,16,18,3,14,13,10,8,5,All
Lewis Harris Jr,,,,,,,,,,,0,3,2,22,15,11,9,12,12,20,11,8,11,7,16,13,11,7,12,18,10,7,7,11,9,6,4,3,All
Warren Bloom,,,,,,,,,,,,1,0,13,22,9,7,15,9,16,11,15,9,4,10,15,11,5,5,10,6,8,11,4,3,6,12,2,All
Moira Bohannon,,,,,,,,,,,,,0,20,17,20,9,4,12,23,6,12,5,15,11,8,3,12,5,3,12,8,11,13,4,6,2,4,All
Joshua Roberts,,,,,,,,,,,,,,29,261,377,380,224,176,98,114,203,183,174,79,67,178,202,80,86,74,44,46,43,52,43,39,10,All
Jennifer Schultz,,,,,,,,,,,,,,,18,129,83,313,176,146,255,100,180,91,130,82,38,21,68,67,163,78,69,55,51,27,41,12,All
Carmella Jacquinto,,,,,,,,,,,,,,,,4,334,63,155,107,71,172,15,114,79,72,147,185,61,50,55,50,53,67,32,29,12,8,All
