col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,division
,City Commissioners - Democrat,,,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Omar Sabir,Lisa Deeley,Kahlil Williams,Marwan Kreidie,Annette Thompson,Dennis Lee,Lewis Harris Jr,Carla Cain,Luigi Borda,Robin Trent,Jen Devor,Warren Bloom,Moira Bohannon,Joshua Roberts,Carmella Jacquinto,Jennifer Schultz,James C Crumlish,Craig Levin,Cateria R Mccabe,Anthony Kyriakakis,Jon Marshall,Henry Mcgregor Sias,Leon Goodman,Sherman Toppin,Kendra Mccrae,Tiffany Palmer,Terri M Booker,Wendi Barish,Laurie Dow,Beth Grossman,Nicola Serianni,Janine D Momasso,Chris Hall,Kay Yu,James F Berardinelli,Vicki Markovitz,Robert Trimble,Gregory Weyer,All
Omar Sabir,159,"1,282",289,173,88,87,54,30,16,10,9,3,5,"1,391","1,042",583,833,604,716,595,400,549,338,440,305,278,318,220,203,172,177,154,128,119,66,73,77,52,All
Lisa Deeley,,44,55,80,57,30,12,20,8,9,7,4,2,986,882,427,721,333,563,499,222,457,171,306,169,138,167,144,119,129,121,75,54,50,45,49,33,25,All
Kahlil Williams,,,48,23,59,24,39,11,6,20,30,14,4,180,150,148,127,162,136,105,102,62,177,100,191,209,158,111,127,109,82,69,112,98,56,44,54,24,All
Marwan Kreidie,,,,34,8,13,3,2,10,2,2,1,1,236,31,310,83,203,25,26,182,19,43,21,41,32,26,47,18,23,60,16,25,14,12,18,24,8,All
Annette Thompson,,,,,3,13,15,10,4,12,5,4,8,86,73,108,33,63,71,34,53,23,86,25,121,99,91,78,55,82,71,37,37,44,22,36,24,17,All
Dennis Lee,,,,,,7,8,21,10,4,3,2,1,55,66,62,62,76,43,34,28,21,70,45,53,43,57,47,55,50,40,58,32,22,36,16,21,9,All
Lewis Harris Jr,,,,,,,13,4,2,3,6,8,5,53,48,44,35,42,38,23,31,14,51,19,55,55,58,29,26,30,21,16,21,24,20,15,14,11,All
Carla Cain,,,,,,,,3,9,6,2,0,3,24,38,46,32,39,22,18,12,11,21,17,33,36,24,24,45,36,23,38,14,15,23,19,7,4,All
Luigi Borda,,,,,,,,,3,6,1,4,1,25,15,31,40,16,10,18,10,7,19,10,19,15,9,21,10,18,24,8,13,11,16,10,13,3,All
Robin Trent,,,,,,,,,,0,0,1,3,20,22,23,16,13,20,17,8,2,22,7,34,24,18,19,25,19,21,10,17,16,8,11,6,8,All
Jen Devor,,,,,,,,,,,0,1,0,10,13,24,25,12,9,24,7,6,12,6,9,30,12,14,9,11,16,5,23,22,8,11,1,5,All
Warren Bloom,,,,,,,,,,,,5,1,9,6,14,7,14,10,6,8,4,13,3,13,10,15,3,4,11,7,6,6,6,7,3,4,3,All
Moira Bohannon,,,,,,,,,,,,,0,7,8,10,4,4,10,9,7,2,5,5,18,12,12,9,10,15,6,2,2,5,6,8,5,2,All
Joshua Roberts,,,,,,,,,,,,,,44,629,379,498,393,592,529,362,509,193,359,144,121,174,146,88,92,139,44,75,51,34,39,56,27,All
Carmella Jacquinto,,,,,,,,,,,,,,,14,140,670,152,578,522,43,482,154,296,173,142,153,104,113,97,72,87,55,69,52,44,32,14,All
Jennifer Schultz,,,,,,,,,,,,,,,,50,156,399,103,72,343,39,135,57,152,152,99,160,93,148,187,61,64,73,38,64,48,11,All
