col_1,col_2,division
,City Commissioners - Republican,All
,Al Schmidt,All
Al Schmidt,66,All
Total,66,All
,City Commissioners - Republican,1
,Al Schmidt,1
Al Schmidt,1,1
Total,1,1
,City Commissioners - Republican,2
,Al Schmidt,2
Al Schmidt,1,2
Total,1,2
,City Commissioners - Republican,3
,Al Schmidt,3
Al Schmidt,5,3
Total,5,3
,City Commissioners - Republican,4
,Al Schmidt,4
Al Schmidt,3,4
Total,3,4
,City Commissioners - Republican,5
,Al Schmidt,5
Al Schmidt,3,5
Total,3,5
,City Commissioners - Republican,6
,Al Schmidt,6
Al Schmidt,4,6
Total,4,6
,City Commissioners - Republican,7
,Al Schmidt,7
Al Schmidt,2,7
Total,2,7
,City Commissioners - Republican,9
,Al Schmidt,9
Al Schmidt,1,9
Total,1,9
,City Commissioners - Republican,10
,Al Schmidt,10
Al Schmidt,2,10
Total,2,10
,City Commissioners - Republican,11
,Al Schmidt,11
Al Schmidt,4,11
Total,4,11
,City Commissioners - Republican,14
,Al Schmidt,14
Al Schmidt,2,14
Total,2,14
,City Commissioners - Republican,15
,Al Schmidt,15
Al Schmidt,3,15
Total,3,15
,City Commissioners - Republican,17
,Al Schmidt,17
Al Schmidt,3,17
Total,3,17
,City Commissioners - Republican,18
,Al Schmidt,18
Al Schmidt,1,18
Total,1,18
,City Commissioners - Republican,19
,Al Schmidt,19
Al Schmidt,5,19
Total,5,19
,City Commissioners - Republican,20
,Al Schmidt,20
Al Schmidt,1,20
Total,1,20
,City Commissioners - Republican,21
,Al Schmidt,21
Al Schmidt,1,21
Total,1,21
,City Commissioners - Republican,22
,Al Schmidt,22
Al Schmidt,3,22
Total,3,22
,City Commissioners - Republican,23
,Al Schmidt,23
Al Schmidt,3,23
Total,3,23
,City Commissioners - Republican,24
,Al Schmidt,24
Al Schmidt,4,24
Total,4,24
,City Commissioners - Republican,25
,Al Schmidt,25
Al Schmidt,2,25
Total,2,25
,City Commissioners - Republican,26
,Al Schmidt,26
Al Schmidt,6,26
Total,6,26
,City Commissioners - Republican,27
,Al Schmidt,27
Al Schmidt,2,27
Total,2,27
,City Commissioners - Republican,28
,Al Schmidt,28
Al Schmidt,4,28
Total,4,28
