col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheriff - Democrat,,,,All
,Helen Gym,Justin Diberardinis,Erika Almirón,Isaiah Thomas,Eryn Santamoor,Allan Domb,Ethelind Baylor,Derek S Green,Katherine Gilmore Richardson,Adrián Rivera-reyes,Deja Lynn Alvarez,Fernando Treviño,Beth Finn,Sandra Dungee Glenn,Ogbonna Paul Hagins,Asa Khalif,Willie Floyd Singletary,Joseph A Diorio,Latrice Y Bryant,Billy Thompson,Fareed Abdullah,Hena Veit,Edwin Santana,Mark Ross,Devon Cade,Wayne Allen,Vinny Black,Bobbie Curry,Wayne Edmund Dorsey,Sherrie Cohen,Rochelle Bilal,Malika Rahman,Jewell Williams,Larry King Sr,All
Willie Floyd Singletary,,,,,,,,,,,,,,,,,3,14,15,16,18,4,5,4,4,2,5,5,5,0,80,41,23,11,All
Joseph A Diorio,,,,,,,,,,,,,,,,,,4,10,22,5,14,4,18,9,6,8,8,5,0,51,19,34,32,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,0,15,18,15,1,5,7,7,7,5,4,0,49,54,31,6,All
Billy Thompson,,,,,,,,,,,,,,,,,,,,0,8,8,3,13,6,7,9,10,5,1,49,22,31,29,All
Fareed Abdullah,,,,,,,,,,,,,,,,,,,,,0,9,5,0,4,8,4,4,1,0,39,53,24,2,All
Hena Veit,,,,,,,,,,,,,,,,,,,,,,1,3,6,3,1,6,5,0,0,56,31,13,15,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,0,3,4,4,5,3,3,0,28,21,12,9,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,7,7,3,0,25,7,14,20,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,0,5,8,3,2,0,24,13,9,13,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,4,1,0,20,14,20,6,All
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,4,0,22,13,9,10,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,19,7,13,14,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,11,7,5,3,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,All
Rochelle Bilal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,0,0,0,All
Malika Rahman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0,0,All
Jewell Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,All
Larry King Sr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,All
Total,"4,085","2,642","2,324","2,221","1,574","1,325","1,273","1,033","1,002",987,747,562,548,306,234,191,167,163,146,138,125,118,73,70,64,64,59,56,30,2,"3,116","1,024",409,191,All
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheriff - Democrat,,,,1
,Helen Gym,Justin Diberardinis,Erika Almirón,Isaiah Thomas,Ethelind Baylor,Allan Domb,Eryn Santamoor,Derek S Green,Adrián Rivera-reyes,Katherine Gilmore Richardson,Beth Finn,Deja Lynn Alvarez,Fernando Treviño,Sandra Dungee Glenn,Billy Thompson,Asa Khalif,Willie Floyd Singletary,Ogbonna Paul Hagins,Joseph A Diorio,Mark Ross,Devon Cade,Hena Veit,Vinny Black,Fareed Abdullah,Latrice Y Bryant,Wayne Allen,Bobbie Curry,Edwin Santana,Sherrie Cohen,Wayne Edmund Dorsey,Rochelle Bilal,Malika Rahman,Larry King Sr,Jewell Williams,1
