col_1,col_2,col_3,col_4,col_5,division
,District Council 2nd District - Democrat,,Judge Of The Municipal Court - Democrat,,All
,Kenyatta Johnson,Lauren Vidas,David H Conroy,Theresa Brunson,All
Kenyatta Johnson,567,0,638,559,All
Lauren Vidas,,130,328,263,All
David H Conroy,,,70,0,All
Theresa Brunson,,,,28,All
Total,"1,764",721,"1,036",850,All
,District Council 2nd District - Democrat,,Judge Of The Municipal Court - Democrat,,1
,Kenyatta Johnson,Lauren Vidas,David H Conroy,Theresa Brunson,1
Kenyatta Johnson,21,0,34,29,1
Lauren Vidas,,6,19,14,1
David H Conroy,,,2,0,1
Theresa Brunson,,,,3,1
Total,84,39,55,46,1
,District Council 2nd District - Democrat,,Judge Of The Municipal Court - Democrat,,2
,Kenyatta Johnson,Lauren Vidas,Theresa Brunson,David H Conroy,2
Kenyatta Johnson,33,0,39,32,2
Lauren Vidas,,10,16,16,2
Theresa Brunson,,,4,0,2
David H Conroy,,,,3,2
Total,104,42,59,51,2
,District Council 2nd District - Democrat,,Judge Of The Municipal Court - Democrat,,3
,Kenyatta Johnson,Lauren Vidas,David H Conroy,Theresa Brunson,3
Kenyatta Johnson,56,0,49,31,3
Lauren Vidas,,7,18,11,3
David H Conroy,,,3,0,3
Theresa Brunson,,,,2,3
Total,136,36,70,44,3
,District Council 2nd District - Democrat,,Judge Of The Municipal Court - Democrat,,4
,Kenyatta Johnson,Lauren Vidas,David H Conroy,Theresa Brunson,4
Kenyatta Johnson,34,0,44,32,4
Lauren Vidas,,2,15,15,4
David H Conroy,,,6,0,4
Theresa Brunson,,,,2,4
Total,110,32,65,49,4
,District Council 2nd District - Democrat,,Judge Of The Municipal Court - Democrat,,5
,Kenyatta Johnson,Lauren Vidas,Theresa Brunson,David H Conroy,5
Kenyatta Johnson,19,0,25,27,5
Lauren Vidas,,11,16,9,5
Theresa Brunson,,,1,0,5
David H Conroy,,,,1,5
Total,71,36,42,37,5
,District Council 2nd District - Democrat,,Judge Of The Municipal Court - Democrat,,6
,Kenyatta Johnson,Lauren Vidas,David H Conroy,Theresa Brunson,6
Kenyatta Johnson,33,0,35,32,6
Lauren Vidas,,9,11,13,6
David H Conroy,,,0,0,6
Theresa Brunson,,,,0,6
Total,100,33,46,45,6
,District Council 2nd District - Democrat,,Judge Of The Municipal Court - Democrat,,7
,Kenyatta Johnson,Lauren Vidas,David H Conroy,Theresa Brunson,7
Kenyatta Johnson,35,0,24,27,7
Lauren Vidas,,12,11,13,7
David H Conroy,,,5,0,7
Theresa Brunson,,,,0,7
Total,86,36,40,40,7
,District Council 2nd District - Democrat,,Judge Of The Municipal Court - Democrat,,8
,Kenyatta Johnson,Lauren Vidas,David H Conroy,Theresa Brunson,8
Kenyatta Johnson,47,0,32,31,8
Lauren Vidas,,6,14,12,8
David H Conroy,,,3,0,8
Theresa Brunson,,,,2,8
Total,110,32,49,45,8
,District Council 2nd District - Democrat,,Judge Of The Municipal Court - Democrat,,9
,Kenyatta Johnson,Lauren Vidas,Theresa Brunson,David H Conroy,9
Kenyatta Johnson,27,0,30,16,9
Lauren Vidas,,3,8,9,9
Theresa Brunson,,,0,0,9
David H Conroy,,,,2,9
Total,73,20,38,27,9
,District Council 2nd District - Democrat,,Judge Of The Municipal Court - Democrat,,10
,Kenyatta Johnson,Lauren Vidas,David H Conroy,Theresa Brunson,10
Kenyatta Johnson,5,0,25,11,10
Lauren Vidas,,2,7,4,10
David H Conroy,,,7,0,10
Theresa Brunson,,,,0,10
Total,41,13,39,15,10
,District Council 2nd District - Democrat,,Judge Of The Municipal Court - Democrat,,11
,Kenyatta Johnson,Lauren Vidas,David H Conroy,Theresa Brunson,11
Kenyatta Johnson,11,0,11,12,11
Lauren Vidas,,3,2,1,11
David H Conroy,,,0,0,11
Theresa Brunson,,,,0,11
Total,34,6,13,13,11
,District Council 2nd District - Democrat,,Judge Of The Municipal Court - Democrat,,12
,Kenyatta Johnson,Lauren Vidas,Theresa Brunson,David H Conroy,12
Kenyatta Johnson,22,0,31,25,12
Lauren Vidas,,5,14,10,12
Theresa Brunson,,,0,0,12
David H Conroy,,,,5,12
Total,78,29,45,40,12
,District Council 2nd District - Democrat,,Judge Of The Municipal Court - Democrat,,13
,Kenyatta Johnson,Lauren Vidas,David H Conroy,Theresa Brunson,13
Kenyatta Johnson,17,0,34,16,13
Lauren Vidas,,7,25,16,13
David H Conroy,,,2,0,13
Theresa Brunson,,,,3,13
Total,67,48,61,35,13
,Judge Of The Municipal Court - Democrat,,District Council 2nd District - Democrat,,14
,David H Conroy,Theresa Brunson,Lauren Vidas,Kenyatta Johnson,14
David H Conroy,2,0,28,26,14
Theresa Brunson,,0,14,14,14
Lauren Vidas,,,10,0,14
Kenyatta Johnson,,,,9,14
Total,56,28,52,49,14
,District Council 2nd District - Democrat,,Judge Of The Municipal Court - Democrat,,15
,Kenyatta Johnson,Lauren Vidas,David H Conroy,Theresa Brunson,15
Kenyatta Johnson,31,0,29,34,15
Lauren Vidas,,3,17,6,15
David H Conroy,,,2,0,15
Theresa Brunson,,,,3,15
Total,94,26,48,43,15
,District Council 2nd District - Democrat,,Judge Of The Municipal Court - Democrat,,16
,Kenyatta Johnson,Lauren Vidas,David H Conroy,Theresa Brunson,16
Kenyatta Johnson,17,0,23,20,16
Lauren Vidas,,6,12,15,16
David H Conroy,,,1,0,16
Theresa Brunson,,,,0,16
Total,60,33,36,35,16
,District Council 2nd District - Democrat,,Judge Of The Municipal Court - Democrat,,17
,Kenyatta Johnson,Lauren Vidas,Theresa Brunson,David H Conroy,17
Kenyatta Johnson,17,0,26,19,17
Lauren Vidas,,3,8,9,17
Theresa Brunson,,,0,0,17
David H Conroy,,,,3,17
Total,62,20,34,31,17
,District Council 2nd District - Democrat,,Judge Of The Municipal Court - Democrat,,18
,Kenyatta Johnson,Lauren Vidas,David H Conroy,Theresa Brunson,18
Kenyatta Johnson,19,0,22,16,18
Lauren Vidas,,8,22,13,18
David H Conroy,,,3,0,18
Theresa Brunson,,,,1,18
Total,57,43,47,30,18
,District Council 2nd District - Democrat,,Judge Of The Municipal Court - Democrat,,19
,Kenyatta Johnson,Lauren Vidas,Theresa Brunson,David H Conroy,19
Kenyatta Johnson,9,0,12,8,19
Lauren Vidas,,2,8,5,19
Theresa Brunson,,,2,0,19
David H Conroy,,,,2,19
Total,29,15,22,15,19
,District Council 2nd District - Democrat,,Judge Of The Municipal Court - Democrat,,20
,Lauren Vidas,Kenyatta Johnson,David H Conroy,Theresa Brunson,20
Lauren Vidas,7,0,27,26,20
Kenyatta Johnson,,9,27,22,20
David H Conroy,,,3,0,20
Theresa Brunson,,,,1,20
Total,60,58,57,49,20
,District Council 2nd District - Democrat,,Judge Of The Municipal Court - Democrat,,21
,Kenyatta Johnson,Lauren Vidas,David H Conroy,Theresa Brunson,21
Kenyatta Johnson,61,0,44,39,21
Lauren Vidas,,6,31,6,21
David H Conroy,,,14,0,21
Theresa Brunson,,,,4,21
Total,144,43,89,49,21
,District Council 2nd District - Democrat,,Judge Of The Municipal Court - Democrat,,22
,Kenyatta Johnson,Lauren Vidas,David H Conroy,Theresa Brunson,22
Kenyatta Johnson,5,0,11,2,22
Lauren Vidas,,0,2,7,22
David H Conroy,,,0,0,22
Theresa Brunson,,,,0,22
Total,18,9,13,9,22
,District Council 2nd District - Democrat,,Judge Of The Municipal Court - Democrat,,23
,Kenyatta Johnson,Lauren Vidas,David H Conroy,Theresa Brunson,23
Kenyatta Johnson,30,0,41,28,23
Lauren Vidas,,2,9,7,23
David H Conroy,,,1,0,23
Theresa Brunson,,,,0,23
Total,99,18,51,35,23
