col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Jennifer Schultz,Leon Goodman,Wendi Barish,Carmella Jacquinto,Anthony Kyriakakis,Joshua Roberts,Tiffany Palmer,Craig Levin,Henry Mcgregor Sias,Terri M Booker,Jon Marshall,Cateria R Mccabe,Kay Yu,Kendra Mccrae,Sherman Toppin,James C Crumlish,Laurie Dow,Beth Grossman,Nicola Serianni,Chris Hall,Janine D Momasso,Vicki Markovitz,James F Berardinelli,Robert Trimble,Gregory Weyer,Isaiah Thomas,Helen Gym,Derek S Green,Allan Domb,Justin Diberardinis,Sandra Dungee Glenn,Katherine Gilmore Richardson,Adrián Rivera-reyes,Ethelind Baylor,Willie Floyd Singletary,Deja Lynn Alvarez,Billy Thompson,Erika Almirón,Fareed Abdullah,Ogbonna Paul Hagins,Latrice Y Bryant,Asa Khalif,Eryn Santamoor,Wayne Allen,Mark Ross,Fernando Treviño,Joseph A Diorio,Beth Finn,Hena Veit,Edwin Santana,Bobbie Curry,Vinny Black,Devon Cade,Wayne Edmund Dorsey,Sherrie Cohen,All
Jennifer Schultz,52,463,519,397,482,205,239,193,343,102,174,130,158,94,53,72,78,98,119,96,62,55,27,34,10,568,467,561,216,439,409,160,234,290,167,174,108,152,82,115,79,59,76,58,38,39,38,45,28,15,20,22,14,10,1,All
Leon Goodman,,10,434,404,374,159,122,72,332,159,66,74,47,99,73,93,67,62,53,52,59,25,44,34,21,527,236,502,211,328,366,165,71,274,67,59,101,43,78,36,53,59,49,34,34,25,29,16,19,15,12,16,9,7,0,All
Wendi Barish,,,2,420,403,107,142,112,326,97,58,67,99,93,79,92,82,94,85,43,60,41,26,27,10,520,276,443,146,350,414,165,77,286,66,61,111,69,60,35,57,43,55,38,27,29,27,38,23,16,10,13,10,8,0,All
Carmella Jacquinto,,,,4,356,139,94,77,334,107,17,72,92,76,102,105,62,46,45,30,52,27,23,22,7,496,252,466,185,309,379,202,39,253,31,42,101,40,71,17,41,48,28,33,18,20,19,25,14,22,10,8,5,7,1,All
Anthony Kyriakakis,,,,,4,80,190,24,374,46,27,125,128,30,64,54,24,37,27,97,24,19,29,11,5,455,253,485,122,417,331,108,40,266,26,23,50,117,44,18,37,30,42,30,23,19,11,17,8,7,8,15,6,5,1,All
Joshua Roberts,,,,,,15,81,164,54,131,186,69,44,58,104,108,42,55,60,53,23,34,30,39,14,240,352,206,194,64,51,169,165,27,161,155,68,42,57,110,51,32,48,34,26,25,35,19,19,15,17,10,10,9,1,All
Tiffany Palmer,,,,,,,0,48,44,150,53,166,185,157,66,66,91,87,81,134,61,42,48,28,24,249,324,261,158,186,107,122,69,45,45,57,60,179,100,35,85,80,62,46,31,22,7,26,15,24,14,13,9,11,0,All
Craig Levin,,,,,,,,9,17,51,159,33,66,41,72,96,47,38,52,28,34,31,22,30,9,140,239,92,111,34,75,100,141,16,131,124,74,23,44,89,39,30,42,27,21,27,31,16,17,14,16,9,7,7,0,All
