col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,division
,Judge Of The Superior Court - Democrat,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,Joshua Roberts,Cateria R Mccabe,Sherman Toppin,Jennifer Schultz,Carmella Jacquinto,Anthony Kyriakakis,Tiffany Palmer,Henry Mcgregor Sias,Kendra Mccrae,Craig Levin,Terri M Booker,Wendi Barish,Jon Marshall,Leon Goodman,James C Crumlish,Beth Grossman,Kay Yu,Nicola Serianni,Laurie Dow,Janine D Momasso,Chris Hall,Vicki Markovitz,James F Berardinelli,Robert Trimble,Gregory Weyer,All
Daniel D Mccaffery,117,"1,093",299,"1,178",720,734,583,664,628,429,510,341,349,341,302,314,295,279,224,220,214,218,168,206,123,103,70,61,All
Amanda Green-hawkins,,45,213,844,649,627,370,589,494,356,439,297,218,311,257,202,254,179,186,164,179,195,169,143,98,84,55,42,All
Beth Tarasi,,,34,260,100,92,353,107,75,143,50,128,186,107,157,175,94,99,121,82,123,81,65,59,65,22,37,22,All
Joshua Roberts,,,,12,544,590,250,517,496,140,474,119,209,130,126,217,124,148,80,66,91,69,51,59,40,27,36,24,All
Cateria R Mccabe,,,,,5,574,121,474,502,142,459,161,50,110,107,39,102,54,64,66,72,85,113,42,26,52,22,16,All
Sherman Toppin,,,,,,4,91,489,518,122,471,132,63,133,61,57,98,70,21,68,43,65,58,42,27,33,28,31,All
Jennifer Schultz,,,,,,,6,99,54,157,30,133,220,109,187,216,107,112,138,79,170,97,73,61,77,36,35,17,All
Carmella Jacquinto,,,,,,,,9,441,131,410,135,64,115,108,36,88,86,65,74,58,73,75,38,43,25,22,17,All
Anthony Kyriakakis,,,,,,,,,4,116,444,66,32,51,46,23,47,96,43,58,26,27,29,84,16,27,16,10,All
Tiffany Palmer,,,,,,,,,,5,46,213,62,208,146,65,135,111,121,107,112,108,85,149,48,47,30,28,All
Henry Mcgregor Sias,,,,,,,,,,,0,27,17,37,29,10,26,31,22,30,17,21,22,12,14,23,5,9,All
Kendra Mccrae,,,,,,,,,,,,6,56,187,117,60,125,47,84,67,79,80,80,66,38,23,25,26,All
Craig Levin,,,,,,,,,,,,,7,67,66,178,70,90,52,33,60,49,32,35,21,35,23,13,All
Terri M Booker,,,,,,,,,,,,,,9,102,54,130,66,76,87,59,91,60,81,41,13,31,35,All
Wendi Barish,,,,,,,,,,,,,,,10,58,72,82,117,81,126,90,68,40,68,18,18,11,All
Jon Marshall,,,,,,,,,,,,,,,,5,78,71,54,18,54,32,16,34,20,10,25,9,All
Leon Goodman,,,,,,,,,,,,,,,,,6,71,55,62,47,63,56,74,24,36,31,18,All
James C Crumlish,,,,,,,,,,,,,,,,,,10,58,43,58,52,38,82,22,36,24,11,All
Beth Grossman,,,,,,,,,,,,,,,,,,,5,50,70,78,50,45,65,29,16,11,All
Kay Yu,,,,,,,,,,,,,,,,,,,,9,39,73,47,51,35,18,15,13,All
Nicola Serianni,,,,,,,,,,,,,,,,,,,,,2,55,47,35,52,20,9,8,All
Laurie Dow,,,,,,,,,,,,,,,,,,,,,,4,67,49,30,33,13,14,All
Janine D Momasso,,,,,,,,,,,,,,,,,,,,,,,2,19,25,44,12,13,All
Chris Hall,,,,,,,,,,,,,,,,,,,,,,,,1,20,24,25,13,All
Vicki Markovitz,,,,,,,,,,,,,,,,,,,,,,,,,0,18,16,13,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,8,All
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,All
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,All
Total,"2,348","1,678",714,"1,401",877,869,852,828,713,593,571,481,478,476,458,436,403,378,325,324,312,311,271,269,170,149,109,81,All
,Judge Of The Superior Court - Democrat,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,1
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,Joshua Roberts,Sherman Toppin,Cateria R Mccabe,Jennifer Schultz,Carmella Jacquinto,Terri M Booker,Anthony Kyriakakis,Jon Marshall,Kendra Mccrae,Henry Mcgregor Sias,Craig Levin,Tiffany Palmer,Wendi Barish,Janine D Momasso,Nicola Serianni,Laurie Dow,Chris Hall,Gregory Weyer,Leon Goodman,Beth Grossman,James F Berardinelli,Kay Yu,James C Crumlish,Robert Trimble,Vicki Markovitz,1
Daniel D Mccaffery,5,25,8,29,16,14,10,10,10,10,10,7,8,6,6,4,5,4,3,4,3,4,4,2,0,3,2,2,1
Amanda Green-hawkins,,1,8,24,16,16,12,14,11,10,7,8,8,4,5,5,5,6,5,2,4,2,2,1,3,2,3,2,1
Beth Tarasi,,,1,7,5,4,8,3,5,2,3,3,1,4,1,1,2,2,1,2,2,2,1,3,2,1,1,2,1
Joshua Roberts,,,,0,13,12,4,11,3,10,5,2,9,3,4,0,1,3,1,1,2,2,2,0,0,2,2,1,1
Sherman Toppin,,,,,0,15,5,12,5,11,4,3,9,3,2,6,4,1,3,1,0,3,1,3,1,1,1,0,1
