col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,District Council 3rd District - Democrat,,City Commissioners - Democrat,,,,,,,,,,,,,All
,Jamie Gauthier,Jannie L Blackwell,Kahlil Williams,Omar Sabir,Jen Devor,Lisa Deeley,Marwan Kreidie,Luigi Borda,Annette Thompson,Dennis Lee,Moira Bohannon,Carla Cain,Robin Trent,Lewis Harris Jr,Warren Bloom,All
Jamie Gauthier,474,0,"1,528",610,981,537,502,358,197,133,186,166,92,53,24,All
Jannie L Blackwell,,320,328,630,110,391,205,126,105,155,44,38,28,30,23,All
Kahlil Williams,,,14,209,734,170,176,105,57,33,73,26,23,23,5,All
Omar Sabir,,,,10,11,336,109,28,52,124,15,24,18,11,12,All
Jen Devor,,,,,3,35,73,169,10,6,17,33,7,2,0,All
Lisa Deeley,,,,,,10,70,20,73,43,27,26,4,10,3,All
Marwan Kreidie,,,,,,,6,69,11,9,26,15,24,6,5,All
Luigi Borda,,,,,,,,6,10,8,10,18,2,0,1,All
Annette Thompson,,,,,,,,,1,4,17,29,15,7,2,All
Dennis Lee,,,,,,,,,,2,5,11,6,6,5,All
Moira Bohannon,,,,,,,,,,,0,12,10,3,1,All
Carla Cain,,,,,,,,,,,,1,5,2,1,All
Robin Trent,,,,,,,,,,,,,0,3,0,All
Lewis Harris Jr,,,,,,,,,,,,,,1,5,All
Warren Bloom,,,,,,,,,,,,,,,0,All
Total,"3,477","1,662","1,923","1,288","1,146",980,734,518,306,297,238,208,123,86,47,All
,District Council 3rd District - Democrat,,City Commissioners - Democrat,,,,,,,,,,,,,1
,Jamie Gauthier,Jannie L Blackwell,Kahlil Williams,Jen Devor,Luigi Borda,Lisa Deeley,Marwan Kreidie,Omar Sabir,Moira Bohannon,Annette Thompson,Carla Cain,Robin Trent,Lewis Harris Jr,Dennis Lee,Warren Bloom,1
Jamie Gauthier,26,0,146,96,41,37,40,27,17,13,14,10,3,2,1,1
Jannie L Blackwell,,5,13,6,6,11,4,11,2,4,1,4,1,0,1,1
Kahlil Williams,,,2,70,17,11,19,10,4,2,0,3,1,1,1,1
Jen Devor,,,,1,17,7,2,1,1,2,2,3,0,0,0,1
Luigi Borda,,,,,0,3,5,1,1,0,0,0,0,0,0,1
Lisa Deeley,,,,,,0,3,12,2,5,2,1,0,0,0,1
Marwan Kreidie,,,,,,,0,3,6,0,2,2,0,1,0,1
Omar Sabir,,,,,,,,0,0,4,2,1,0,0,0,1
Moira Bohannon,,,,,,,,,0,0,3,1,0,0,0,1
Annette Thompson,,,,,,,,,,0,2,0,1,0,0,1
Carla Cain,,,,,,,,,,,0,2,0,0,0,1
Robin Trent,,,,,,,,,,,,0,1,0,0,1
Lewis Harris Jr,,,,,,,,,,,,,0,0,1,1
Dennis Lee,,,,,,,,,,,,,,0,0,1
Warren Bloom,,,,,,,,,,,,,,,0,1
Total,274,39,172,111,49,48,46,38,20,17,15,14,4,2,2,1
,District Council 3rd District - Democrat,,City Commissioners - Democrat,,,,,,,,,,,,,2
,Jamie Gauthier,Jannie L Blackwell,Kahlil Williams,Jen Devor,Lisa Deeley,Omar Sabir,Marwan Kreidie,Luigi Borda,Moira Bohannon,Annette Thompson,Dennis Lee,Carla Cain,Lewis Harris Jr,Robin Trent,Warren Bloom,2
Jamie Gauthier,24,0,84,62,28,21,29,26,22,13,5,8,7,3,0,2
Jannie L Blackwell,,8,11,6,16,22,6,5,2,6,13,3,2,2,2,2
Kahlil Williams,,,1,38,8,4,12,5,11,0,2,0,3,1,1,2
Jen Devor,,,,0,2,2,4,12,2,0,0,1,1,1,0,2
Lisa Deeley,,,,,1,12,3,0,3,5,6,3,0,0,0,2
Omar Sabir,,,,,,1,3,2,0,3,3,5,1,0,1,2
Marwan Kreidie,,,,,,,1,3,2,0,2,0,1,1,0,2
Luigi Borda,,,,,,,,0,2,1,1,0,0,0,0,2
Moira Bohannon,,,,,,,,,0,3,0,0,1,0,0,2
Annette Thompson,,,,,,,,,,0,1,2,1,2,0,2
Dennis Lee,,,,,,,,,,,1,0,0,0,0,2
Carla Cain,,,,,,,,,,,,0,0,0,0,2
Lewis Harris Jr,,,,,,,,,,,,,0,0,0,2
Robin Trent,,,,,,,,,,,,,,0,0,2
Warren Bloom,,,,,,,,,,,,,,,0,2
Total,192,62,96,69,46,44,36,31,24,19,19,11,9,5,2,2
,District Council 3rd District - Democrat,,City Commissioners - Democrat,,,,,,,,,,,,,3
,Jamie Gauthier,Jannie L Blackwell,Kahlil Williams,Omar Sabir,Jen Devor,Lisa Deeley,Luigi Borda,Marwan Kreidie,Annette Thompson,Moira Bohannon,Lewis Harris Jr,Dennis Lee,Robin Trent,Carla Cain,Warren Bloom,3
Jamie Gauthier,28,0,71,37,32,20,16,23,9,10,7,7,7,7,0,3
Jannie L Blackwell,,14,34,22,6,12,16,5,7,1,4,3,2,1,0,3
Kahlil Williams,,,1,16,24,4,19,13,6,8,3,1,2,2,0,3
Omar Sabir,,,,0,0,11,0,4,2,1,2,3,2,1,0,3
Jen Devor,,,,,0,1,7,2,0,1,0,0,0,2,0,3
Lisa Deeley,,,,,,0,2,4,3,1,0,1,1,2,0,3
Luigi Borda,,,,,,,0,1,0,0,0,0,0,0,0,3
Marwan Kreidie,,,,,,,,0,0,0,1,0,0,0,0,3
Annette Thompson,,,,,,,,,0,0,2,0,2,0,0,3
Moira Bohannon,,,,,,,,,,0,0,0,1,0,0,3
Lewis Harris Jr,,,,,,,,,,,0,1,0,0,0,3
Dennis Lee,,,,,,,,,,,,0,1,0,0,3
Robin Trent,,,,,,,,,,,,,0,0,0,3
Carla Cain,,,,,,,,,,,,,,0,0,3
Warren Bloom,,,,,,,,,,,,,,,0,3
Total,167,82,112,61,40,35,32,28,16,14,11,10,9,8,0,3
,District Council 3rd District - Democrat,,City Commissioners - Democrat,,,,,,,,,,,,,4
,Jamie Gauthier,Jannie L Blackwell,Omar Sabir,Kahlil Williams,Lisa Deeley,Annette Thompson,Dennis Lee,Jen Devor,Marwan Kreidie,Carla Cain,Luigi Borda,Moira Bohannon,Lewis Harris Jr,Robin Trent,Warren Bloom,4
Jamie Gauthier,10,0,30,20,16,8,7,10,3,6,5,6,1,1,0,4
Jannie L Blackwell,,19,22,9,7,4,4,1,6,1,2,0,2,2,0,4
Omar Sabir,,,0,11,16,2,6,1,2,1,1,1,0,0,0,4
Kahlil Williams,,,,1,2,0,2,7,0,0,0,0,0,2,0,4
Lisa Deeley,,,,,0,1,0,0,0,1,0,1,0,0,0,4
Annette Thompson,,,,,,0,1,0,1,3,0,2,0,1,0,4
Dennis Lee,,,,,,,0,0,0,0,0,0,1,0,0,4
Jen Devor,,,,,,,,0,1,0,3,0,0,0,0,4
Marwan Kreidie,,,,,,,,,1,1,1,0,0,0,0,4
Carla Cain,,,,,,,,,,0,1,0,0,0,0,4
Luigi Borda,,,,,,,,,,,0,0,0,0,0,4
Moira Bohannon,,,,,,,,,,,,0,1,0,0,4
Lewis Harris Jr,,,,,,,,,,,,,0,0,0,4
Robin Trent,,,,,,,,,,,,,,0,0,4
Warren Bloom,,,,,,,,,,,,,,,0,4
Total,77,57,57,31,27,12,12,12,10,7,7,6,3,3,0,4
,District Council 3rd District - Democrat,,City Commissioners - Democrat,,,,,,,,,,,,,5
,Jannie L Blackwell,Jamie Gauthier,Omar Sabir,Lisa Deeley,Kahlil Williams,Dennis Lee,Marwan Kreidie,Annette Thompson,Luigi Borda,Warren Bloom,Jen Devor,Carla Cain,Lewis Harris Jr,Robin Trent,Moira Bohannon,5
Jannie L Blackwell,20,0,52,29,12,7,11,2,0,5,0,2,3,1,0,5
Jamie Gauthier,,10,32,19,17,6,2,4,5,0,3,1,0,2,0,5
Omar Sabir,,,2,27,12,9,5,4,0,3,0,2,1,1,0,5
Lisa Deeley,,,,0,5,1,3,1,0,0,0,0,1,0,0,5
Kahlil Williams,,,,,0,2,0,1,0,0,1,0,1,1,0,5
Dennis Lee,,,,,,0,0,0,0,0,0,1,0,1,0,5
Marwan Kreidie,,,,,,,1,0,0,0,0,0,0,0,0,5
Annette Thompson,,,,,,,,0,0,0,0,0,0,0,0,5
Luigi Borda,,,,,,,,,0,0,3,0,0,0,0,5
Warren Bloom,,,,,,,,,,0,0,0,0,0,0,5
Jen Devor,,,,,,,,,,,0,0,0,0,0,5
Carla Cain,,,,,,,,,,,,0,0,0,0,5
Lewis Harris Jr,,,,,,,,,,,,,0,0,0,5
Robin Trent,,,,,,,,,,,,,,0,0,5
Moira Bohannon,,,,,,,,,,,,,,,0,5
