col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,City Commissioners - Democrat,,,,,,,,,,,,,All
,Carmella Jacquinto,Anthony Kyriakakis,Jennifer Schultz,Joshua Roberts,Craig Levin,Jon Marshall,Tiffany Palmer,James C Crumlish,Nicola Serianni,Wendi Barish,Henry Mcgregor Sias,Kay Yu,Beth Grossman,Terri M Booker,Cateria R Mccabe,Vicki Markovitz,Laurie Dow,Kendra Mccrae,Leon Goodman,Janine D Momasso,Chris Hall,Sherman Toppin,Robert Trimble,James F Berardinelli,Gregory Weyer,Omar Sabir,Lisa Deeley,Marwan Kreidie,Kahlil Williams,Annette Thompson,Luigi Borda,Carla Cain,Dennis Lee,Jen Devor,Robin Trent,Moira Bohannon,Lewis Harris Jr,Warren Bloom,All
Carmella Jacquinto,26,267,36,20,9,9,19,14,16,20,14,15,14,13,18,14,18,15,14,12,7,11,7,6,2,35,34,24,18,14,14,14,10,6,8,6,1,3,All
Anthony Kyriakakis,,38,21,25,12,9,22,32,10,11,12,14,10,9,13,11,4,3,5,1,13,7,2,4,2,39,31,19,16,12,12,6,4,10,4,2,4,4,All
Jennifer Schultz,,,23,89,62,59,55,40,70,40,33,21,24,12,22,26,21,21,10,18,9,9,9,6,4,100,110,83,19,25,16,13,8,13,6,6,3,5,All
Joshua Roberts,,,,12,55,57,31,56,40,16,32,8,8,13,7,9,9,9,11,2,6,9,9,4,4,107,83,54,12,14,7,6,5,1,2,3,1,2,All
Craig Levin,,,,,8,50,10,13,15,10,3,5,11,8,1,9,6,5,12,6,6,6,4,3,3,60,31,49,4,8,3,10,6,1,1,2,1,3,All
Jon Marshall,,,,,,5,9,9,13,15,2,4,12,8,3,4,10,4,11,2,5,3,8,0,3,56,27,48,8,13,5,2,6,1,2,1,1,0,All
Tiffany Palmer,,,,,,,0,36,47,22,37,21,15,17,23,14,13,14,12,11,12,7,6,4,2,41,34,14,24,12,8,10,4,14,5,6,2,2,All
James C Crumlish,,,,,,,,1,34,11,27,9,2,10,7,7,4,4,9,2,13,5,6,3,2,54,47,15,6,4,5,7,8,7,1,2,2,3,All
