col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,,,,All
,Timika Lane,Joe Fernandes,Anne Marie Coyle,Daniel D Mccaffery,Giovanni Campbell,Sierra Thomas Street,Dawn M Tancredi,Vince Giusini,Tracy B Roman,Kenneth J Powell Jr,Leon A King Ii,James C Crumlish,Stephanie M Sawyer,John J O Connor Jr,Derrick W Coker,Deborah D Cianfrani,Daine A Grey Jr,Rania Major,Frank Bennett,Conor Corcoran,Sean P Stevens,Jon Marshall,Katie Scrivner,Fran Shields,Martin Coleman,Henry Lewandowski,Fran Shields,Tracy B Roman,Shoshana Bricklin,Robert M Kline,Daine A Grey Jr,Joe Fernandes,Frank Bennett,Conor Corcoran,Derrick W Coker,All
Timika Lane,772,"18,776","12,881","12,906","11,702","11,877","10,930","8,906","9,897","6,507","8,828","5,006","4,913","1,339","2,353","1,303","1,764","1,727",742,496,709,556,79,15,"21,844","18,134","13,156","11,635","4,502","2,455","3,157","2,416","1,768",625,18,All
Joe Fernandes,,261,"11,427","12,325","8,833","7,798","9,361","8,612","8,143","5,207","5,524","6,050","2,467","1,734","1,379",842,809,866,640,549,476,396,54,13,"19,212","16,919","11,701","8,355","2,450","1,968","1,461","2,843","1,255",520,15,All
Anne Marie Coyle,,,443,"8,037","5,345","9,337","5,389","10,127","9,668","4,589","2,008","4,403","3,988","3,320","1,793","2,131","1,544","1,129","1,139","1,064",735,525,60,13,"13,600","13,153","7,232","10,965","3,155","3,129","2,586","2,462","2,016","1,158",14,All
Daniel D Mccaffery,,,,271,"11,848","3,649","12,344","4,464","2,775","7,153","6,761","6,951","4,120","4,518","1,112","1,585","1,105",939,"1,287","1,487",808,610,82,23,"14,662","14,820","14,934","3,857","4,073","2,935","1,604","2,183","1,979","1,123",13,All
Giovanni Campbell,,,,,364,"4,162","8,350","4,714","2,270","5,071","7,962","3,818","5,519","2,227","2,186","1,009","1,513","1,025",748,981,638,405,66,7,"11,783","9,204","11,063","3,651","5,710","2,692","2,732","2,297","1,600",668,13,All
Sierra Thomas Street,,,,,,637,"2,879","7,403","8,849","2,701","3,039",723,"3,087","1,438","1,281","1,004","1,021","1,347",643,420,513,443,54,6,"10,413","8,687","3,604","9,838","3,213","1,600","1,863","1,372","1,509",501,16,All
Dawn M Tancredi,,,,,,,93,"2,535","2,609","4,403","5,286","4,241","2,778","2,553",721,"1,945",851,"1,124",619,637,464,379,76,11,"10,605","11,962","11,090","3,321","3,390","1,808","1,202","1,313","1,376",657,8,All
Vince Giusini,,,,,,,,338,"7,554","2,550","1,846","2,321","2,889","1,470","1,239",942,698,599,513,855,340,213,40,9,"10,161","9,089","3,691","8,132","2,426","1,841","1,596","1,441","1,087",539,13,All
Tracy B Roman,,,,,,,,,144,"2,197","1,468","1,000","2,149","1,351",717,"1,242",821,"1,072",666,469,493,385,42,6,"8,977","7,662","2,252","11,128","2,599","1,742","1,437","1,169","1,375",551,8,All
Kenneth J Powell Jr,,,,,,,,,,159,"2,386","4,407","3,580","2,183","1,195",839,"1,116",973,900,595,685,521,47,10,"7,808","5,288","6,330","2,966","2,926","2,402","1,834","1,728","1,866",657,8,All
Leon A King Ii,,,,,,,,,,,116,974,"2,956",594,"1,246",451,736,942,578,775,473,396,27,5,"7,530","6,738","7,162","2,598","2,636","1,022","1,564","1,231",919,401,9,All
James C Crumlish,,,,,,,,,,,,101,"2,572","1,273","1,228",787,883,375,589,574,619,474,14,12,"7,022","5,602","7,043","1,421","1,498","1,537","1,428","1,462",657,803,5,All
Stephanie M Sawyer,,,,,,,,,,,,,159,"1,326","1,708","1,540","2,029","1,374",613,953,675,653,23,6,"4,365","2,869","4,914","3,500","4,428","1,988","3,081","1,819","1,005",854,4,All
John J O Connor Jr,,,,,,,,,,,,,,123,398,872,465,405,768,900,567,317,49,4,"2,305","3,628","2,829","1,688","1,724","1,653",662,894,"1,381",827,4,All
Derrick W Coker,,,,,,,,,,,,,,,72,422,721,581,403,274,286,236,17,6,"1,967",965,"1,523","1,533","1,219","1,038","1,638","1,194",543,290,10,All
Deborah D Cianfrani,,,,,,,,,,,,,,,,38,640,640,570,639,396,278,20,5,"1,055","1,563","1,665","1,679","1,254","1,003",886,875,757,588,6,All
Daine A Grey Jr,,,,,,,,,,,,,,,,,19,542,355,323,421,327,10,4,"1,354",711,"1,586","1,213","1,022",958,"2,047",897,492,441,5,All
Rania Major,,,,,,,,,,,,,,,,,,109,397,345,265,250,22,3,"1,265",951,"1,337","1,593","1,290",611,877,760,558,300,6,All
Frank Bennett,,,,,,,,,,,,,,,,,,,43,473,352,311,23,18,948,924,"1,027",964,575,683,482,662,"1,127",364,12,All
Conor Corcoran,,,,,,,,,,,,,,,,,,,,31,432,298,10,0,685,"1,336","1,273",601,828,659,361,587,546,949,4,All
Sean P Stevens,,,,,,,,,,,,,,,,,,,,,77,453,5,3,790,759,761,664,499,590,588,473,491,548,2,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,6,13,4,640,531,622,538,325,435,498,412,433,407,3,All
Katie Scrivner,,,,,,,,,,,,,,,,,,,,,,,0,3,82,71,39,66,54,50,15,23,42,10,2,All
Fran Shields,,,,,,,,,,,,,,,,,,,,,,,,3,15,19,15,12,7,5,5,4,5,2,3,All
Martin Coleman,,,,,,,,,,,,,,,,,,,,,,,,,191,"18,459","13,631","8,972","2,735","2,120","1,803","1,989","1,400",513,7,All
Henry Lewandowski,,,,,,,,,,,,,,,,,,,,,,,,,,531,"12,797","8,035","2,517","1,481",621,"1,199",978,793,15,All
Fran Shields,,,,,,,,,,,,,,,,,,,,,,,,,,,129,"2,454","3,411","1,792","1,709","1,341","1,068",693,8,All
