col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,,,,1
,Timika Lane,Sierra Thomas Street,Anne Marie Coyle,Daniel D Mccaffery,Giovanni Campbell,Joe Fernandes,Tracy B Roman,Leon A King Ii,Vince Giusini,Dawn M Tancredi,Stephanie M Sawyer,Frank Bennett,Kenneth J Powell Jr,Jon Marshall,Deborah D Cianfrani,James C Crumlish,John J O Connor Jr,Rania Major,Conor Corcoran,Daine A Grey Jr,Derrick W Coker,Sean P Stevens,Fran Shields,Katie Scrivner,Martin Coleman,Henry Lewandowski,Tracy B Roman,Fran Shields,Frank Bennett,Shoshana Bricklin,Daine A Grey Jr,Joe Fernandes,Conor Corcoran,Derrick W Coker,Robert M Kline,1
Timika Lane,4,16,19,11,11,11,10,7,7,5,2,2,1,1,1,1,1,0,0,0,1,0,0,0,18,17,14,10,4,3,2,0,0,0,0,1
Sierra Thomas Street,,1,15,8,5,7,9,3,7,3,4,2,3,2,2,0,1,2,0,0,1,1,0,0,17,13,10,7,4,4,1,1,0,0,0,1
Anne Marie Coyle,,,0,8,8,7,8,2,7,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,14,12,11,6,2,2,0,0,0,0,0,1
Daniel D Mccaffery,,,,0,11,2,4,6,2,5,4,2,1,1,0,1,2,1,1,0,0,0,0,0,11,12,2,10,2,4,0,0,0,0,0,1
Giovanni Campbell,,,,,0,2,2,7,2,4,2,1,0,0,0,0,2,0,1,0,0,0,0,0,7,9,3,10,2,3,0,0,0,0,0,1
Joe Fernandes,,,,,,0,7,3,6,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,10,7,2,1,1,1,0,0,0,0,1
Tracy B Roman,,,,,,,1,2,6,1,3,0,3,2,0,0,1,0,0,0,1,0,0,0,9,7,10,2,1,3,1,1,0,0,0,1
Leon A King Ii,,,,,,,,0,1,2,3,1,2,1,0,1,0,0,1,0,0,0,0,0,6,6,2,9,2,2,1,0,0,0,0,1
Vince Giusini,,,,,,,,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,8,6,2,0,1,0,0,0,0,0,1
Dawn M Tancredi,,,,,,,,,,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,4,5,1,4,0,3,0,0,0,0,0,1
Stephanie M Sawyer,,,,,,,,,,,0,0,2,1,1,0,1,0,1,0,0,0,0,0,3,4,2,4,0,5,0,0,0,0,0,1
Frank Bennett,,,,,,,,,,,,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,1,3,3,0,1,0,0,0,0,1
Kenneth J Powell Jr,,,,,,,,,,,,,0,3,1,0,0,0,0,0,1,1,0,0,2,1,3,2,2,1,1,0,0,0,0,1
Jon Marshall,,,,,,,,,,,,,,0,1,0,0,0,0,0,1,1,0,0,1,1,2,2,2,0,1,0,0,0,0,1
Deborah D Cianfrani,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,1,0,0,0,0,0,1
James C Crumlish,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1
John J O Connor Jr,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,1,1,0,2,0,0,0,0,0,1
Rania Major,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
Conor Corcoran,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
Daine A Grey Jr,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Derrick W Coker,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
Sean P Stevens,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
Fran Shields,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Katie Scrivner,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1
Martin Coleman,,,,,,,,,,,,,,,,,,,,,,,,,0,17,8,6,1,3,0,1,0,0,0,1
Henry Lewandowski,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,8,0,3,0,0,0,0,0,1
Tracy B Roman,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,3,3,1,0,0,0,0,1
Fran Shields,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,3,1,0,0,0,0,1
Frank Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,0,0,0,1
Shoshana Bricklin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1
