col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,,,,1
,Vince Giusini,Giovanni Campbell,Anne Marie Coyle,John J O Connor Jr,Daniel D Mccaffery,Dawn M Tancredi,Joe Fernandes,Deborah D Cianfrani,Sean P Stevens,Tracy B Roman,Conor Corcoran,James C Crumlish,Kenneth J Powell Jr,Timika Lane,Daine A Grey Jr,Derrick W Coker,Jon Marshall,Leon A King Ii,Sierra Thomas Street,Stephanie M Sawyer,Fran Shields,Frank Bennett,Katie Scrivner,Rania Major,Henry Lewandowski,Tracy B Roman,Fran Shields,Frank Bennett,Martin Coleman,Daine A Grey Jr,Robert M Kline,Conor Corcoran,Joe Fernandes,Derrick W Coker,Shoshana Bricklin,1
Vince Giusini,0,9,6,7,3,5,3,3,1,3,0,1,2,1,1,1,1,1,1,0,0,0,0,0,8,8,4,4,2,1,2,1,1,0,0,1
Giovanni Campbell,,1,4,5,2,3,2,3,1,1,0,1,2,0,0,1,1,1,0,0,0,0,0,0,6,6,2,3,2,0,2,1,1,0,0,1
Anne Marie Coyle,,,1,5,2,2,3,1,0,2,0,2,1,2,1,0,0,0,1,1,0,0,0,0,4,5,3,3,2,2,1,1,0,0,0,1
John J O Connor Jr,,,,0,1,2,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,6,5,1,3,1,0,1,1,0,0,0,1
Daniel D Mccaffery,,,,,0,3,2,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,4,0,2,1,2,1,1,0,1,0,0,1
Dawn M Tancredi,,,,,,1,1,1,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,2,2,3,1,0,1,0,1,0,0,1
Joe Fernandes,,,,,,,0,0,0,2,0,1,1,2,0,0,0,0,1,1,0,0,0,0,1,2,3,1,2,2,0,0,1,0,0,1
Deborah D Cianfrani,,,,,,,,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,1,0,0,0,1,0,0,0,1
Sean P Stevens,,,,,,,,,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
Tracy B Roman,,,,,,,,,,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,3,1,1,1,0,0,1,0,0,1
Conor Corcoran,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
James C Crumlish,,,,,,,,,,,,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1
Kenneth J Powell Jr,,,,,,,,,,,,,0,0,0,1,1,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,1
Timika Lane,,,,,,,,,,,,,,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,1,2,0,0,0,0,0,1
Daine A Grey Jr,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
Derrick W Coker,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
Jon Marshall,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
Leon A King Ii,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
Sierra Thomas Street,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
Stephanie M Sawyer,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
Fran Shields,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Frank Bennett,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Katie Scrivner,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rania Major,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1
Henry Lewandowski,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,3,1,0,1,1,0,0,0,1
Tracy B Roman,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,1,1,1,1,0,0,0,1
Fran Shields,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,2,1,0,1,0,0,1
Frank Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,1
Martin Coleman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,0,0,1
Daine A Grey Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1
Robert M Kline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1
Conor Corcoran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
Joe Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
Derrick W Coker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
Shoshana Bricklin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,13,10,8,7,6,6,4,3,3,3,2,2,2,2,1,1,1,1,1,1,0,0,0,0,10,8,5,4,3,2,2,1,1,0,0,1
,Judge Of The Municipal Court - Democrat,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,2
,Henry Lewandowski,Martin Coleman,Fran Shields,Joe Fernandes,Conor Corcoran,Daine A Grey Jr,Frank Bennett,Robert M Kline,Shoshana Bricklin,Tracy B Roman,Derrick W Coker,Joe Fernandes,Kenneth J Powell Jr,Anne Marie Coyle,John J O Connor Jr,Vince Giusini,Dawn M Tancredi,Daniel D Mccaffery,James C Crumlish,Timika Lane,Conor Corcoran,Daine A Grey Jr,Deborah D Cianfrani,Rania Major,Stephanie M Sawyer,Derrick W Coker,Fran Shields,Frank Bennett,Giovanni Campbell,Jon Marshall,Katie Scrivner,Leon A King Ii,Sean P Stevens,Sierra Thomas Street,Tracy B Roman,2
Henry Lewandowski,0,47,17,10,1,1,1,1,0,0,0,46,43,30,26,26,21,18,10,6,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2
Martin Coleman,,1,17,9,0,1,0,0,0,0,0,47,45,29,27,25,18,17,11,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Fran Shields,,,0,2,0,0,0,0,1,1,0,19,16,15,13,11,8,9,4,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2
Joe Fernandes,,,,0,0,0,1,0,0,0,0,10,10,4,9,10,7,8,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Conor Corcoran,,,,,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Daine A Grey Jr,,,,,,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Frank Bennett,,,,,,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Robert M Kline,,,,,,,,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Shoshana Bricklin,,,,,,,,,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2
