col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,division
,Judge Of The Municipal Court - Democrat,,,,,,,,,,,Judge Of The Traffic Court - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Martin Coleman,Fran Shields,Tracy B Roman,Henry Lewandowski,Shoshana Bricklin,Daine A Grey Jr,Joe Fernandes,Robert M Kline,Frank Bennett,Conor Corcoran,Derrick W Coker,Inja Coates,Omar Sabir,Donna Derose,Marnie Aument Loughrey,Lewis Harris Jr,Warren Bloom,Wayne E Dorsey,Donna Marie Laws,Robert Tuerk,Tia M Seibert,Suzanne Harmon Carn,Ashley Michelle Cook,Sharif Ali,Bobbie T Curry,Tyrone T Martin,Holly A Harris Seidle,Brigitte A Garvin Johnson,David Mamikonyan,Jose A Figueroa,Bruce H Bailey,James Johnson,Keith Jackson,Verna Ragan Tennant,Kyle J Sampson,Ryan Mulvey,All
Martin Coleman,9,235,183,254,58,89,71,74,22,5,0,128,229,152,149,115,95,74,38,69,88,52,27,22,33,19,24,12,21,16,11,9,9,8,3,6,All
Fran Shields,,2,52,171,115,87,44,50,21,6,0,168,148,167,133,14,17,55,65,63,15,32,32,19,6,1,25,25,7,13,4,9,8,9,6,4,All
Tracy B Roman,,,12,131,73,44,33,37,28,14,0,39,147,29,54,120,109,41,48,10,93,46,34,25,34,32,15,27,27,12,10,14,17,15,6,4,All
Henry Lewandowski,,,,3,75,11,17,18,10,7,0,65,174,143,124,92,81,35,42,27,71,33,7,10,22,8,13,11,25,8,9,4,6,9,3,2,All
Shoshana Bricklin,,,,,12,47,29,20,21,10,0,203,50,66,17,15,18,29,69,39,29,34,26,26,9,16,16,20,10,7,12,4,6,9,2,2,All
Daine A Grey Jr,,,,,,6,56,42,15,8,0,71,30,31,18,8,11,41,26,27,18,15,24,24,4,13,12,13,4,8,5,10,14,3,5,2,All
Joe Fernandes,,,,,,,4,32,13,10,1,50,35,23,11,11,8,37,21,23,8,14,11,13,6,9,7,5,5,13,2,10,7,2,6,7,All
Robert M Kline,,,,,,,,1,15,8,0,44,36,20,15,15,19,28,26,18,7,11,20,17,11,9,11,7,5,8,13,7,6,3,5,6,All
Frank Bennett,,,,,,,,,0,5,0,16,17,5,4,10,10,14,14,4,8,10,16,10,4,9,4,11,3,10,9,8,7,3,5,2,All
Conor Corcoran,,,,,,,,,,3,0,12,7,4,2,6,3,8,4,8,3,2,4,9,3,3,6,4,3,4,3,2,3,1,1,0,All
Derrick W Coker,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,All
Inja Coates,,,,,,,,,,,,40,23,78,16,7,11,34,39,109,11,12,19,13,7,13,9,11,4,10,4,0,4,4,2,6,All
Omar Sabir,,,,,,,,,,,,,12,99,138,30,27,47,35,6,20,20,12,29,15,18,14,7,12,4,2,5,4,6,1,0,All
Donna Derose,,,,,,,,,,,,,,1,119,2,4,22,36,35,6,6,6,5,1,1,7,4,1,2,1,4,3,2,2,1,All
Marnie Aument Loughrey,,,,,,,,,,,,,,,1,6,5,17,9,1,4,6,4,7,0,5,6,5,2,0,2,1,1,5,1,1,All
Lewis Harris Jr,,,,,,,,,,,,,,,,3,78,10,7,1,62,24,4,2,17,6,3,1,7,1,5,1,3,1,4,4,All
Warren Bloom,,,,,,,,,,,,,,,,,6,6,10,4,60,13,4,4,10,8,0,2,6,1,6,2,2,5,2,1,All
Wayne E Dorsey,,,,,,,,,,,,,,,,,,8,13,16,3,7,9,13,4,8,10,3,2,3,4,7,6,1,5,1,All
Donna Marie Laws,,,,,,,,,,,,,,,,,,,3,9,7,14,22,7,2,4,7,8,2,6,5,1,1,5,3,2,All
Robert Tuerk,,,,,,,,,,,,,,,,,,,,0,0,2,2,3,1,2,1,1,1,5,1,2,0,0,0,0,All
Tia M Seibert,,,,,,,,,,,,,,,,,,,,,0,23,8,6,6,3,2,8,7,4,2,0,5,4,2,1,All
Suzanne Harmon Carn,,,,,,,,,,,,,,,,,,,,,,1,14,6,11,2,3,6,6,3,2,0,3,3,0,0,All
Ashley Michelle Cook,,,,,,,,,,,,,,,,,,,,,,,0,7,6,5,8,5,3,3,3,6,3,1,0,2,All
Sharif Ali,,,,,,,,,,,,,,,,,,,,,,,,0,2,4,2,5,3,3,0,9,2,0,1,0,All
Bobbie T Curry,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,10,2,0,0,1,1,1,1,All
Tyrone T Martin,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,0,1,2,2,0,3,1,1,3,All
Holly A Harris Seidle,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,1,2,2,1,2,1,1,0,All
Brigitte A Garvin Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,3,0,4,4,4,0,0,All
David Mamikonyan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,1,0,0,3,2,All
Jose A Figueroa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,3,0,2,1,All
Bruce H Bailey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,4,1,0,All
James Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,1,0,All
Keith Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,3,1,All
Verna Ragan Tennant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,All
Kyle J Sampson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,All
Ryan Mulvey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
