col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,division
,Judge Of The Municipal Court - Democrat,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,1
,Henry Lewandowski,Fran Shields,Martin Coleman,Conor Corcoran,Frank Bennett,Shoshana Bricklin,Tracy B Roman,Daine A Grey Jr,Joe Fernandes,Robert M Kline,Derrick W Coker,Anne Marie Coyle,Daniel D Mccaffery,John J O Connor Jr,James C Crumlish,Dawn M Tancredi,Joe Fernandes,Kenneth J Powell Jr,Conor Corcoran,Vince Giusini,Deborah D Cianfrani,Giovanni Campbell,Tracy B Roman,Frank Bennett,Timika Lane,Stephanie M Sawyer,Daine A Grey Jr,Jon Marshall,Rania Major,Sean P Stevens,Sierra Thomas Street,Derrick W Coker,Fran Shields,Katie Scrivner,Leon A King Ii,1
Henry Lewandowski,0,17,7,5,6,4,1,2,4,1,0,34,40,23,15,18,12,9,8,9,7,5,5,3,5,4,3,2,0,2,2,1,1,0,0,1
Fran Shields,,0,7,2,3,3,3,2,0,0,0,19,22,13,10,12,4,5,7,3,5,3,5,2,3,1,4,0,1,1,0,0,1,0,0,1
Martin Coleman,,,0,1,0,0,1,0,0,0,0,9,11,5,6,6,5,3,3,1,0,2,1,1,2,0,0,0,0,0,1,0,1,0,0,1
Conor Corcoran,,,,0,2,1,0,1,1,1,0,5,7,5,2,2,2,2,5,2,2,1,0,2,0,1,0,1,0,1,0,1,0,0,0,1
Frank Bennett,,,,,0,0,0,0,0,2,0,5,4,4,0,2,2,0,1,3,3,1,0,3,0,0,1,0,0,1,0,0,0,0,0,1
Shoshana Bricklin,,,,,,0,2,1,1,0,0,3,3,3,1,2,0,0,2,0,1,3,2,1,1,2,1,0,1,0,0,1,0,0,0,1
Tracy B Roman,,,,,,,0,2,0,0,0,6,2,2,2,2,0,1,1,1,1,1,3,1,2,1,1,0,2,0,1,0,0,0,0,1
Daine A Grey Jr,,,,,,,,0,0,0,0,2,2,0,1,2,0,1,2,1,1,1,1,0,0,1,2,1,1,1,0,0,0,0,0,1
Joe Fernandes,,,,,,,,,0,0,0,2,3,2,1,1,2,1,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
Robert M Kline,,,,,,,,,,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Derrick W Coker,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Anne Marie Coyle,,,,,,,,,,,,2,33,26,17,12,12,9,6,8,6,6,8,4,4,3,1,1,2,0,2,0,1,0,0,1
Daniel D Mccaffery,,,,,,,,,,,,,0,23,16,18,11,11,9,8,7,6,5,2,5,1,3,1,0,2,2,1,1,0,0,1
John J O Connor Jr,,,,,,,,,,,,,,0,10,6,5,3,6,4,4,4,2,5,1,1,1,1,1,0,0,1,1,0,0,1
James C Crumlish,,,,,,,,,,,,,,,0,7,6,6,3,1,1,5,5,1,3,1,0,1,1,0,0,0,0,0,0,1
Dawn M Tancredi,,,,,,,,,,,,,,,,0,4,2,3,5,6,1,4,1,5,2,3,1,0,2,1,0,1,0,0,1
Joe Fernandes,,,,,,,,,,,,,,,,,0,6,1,2,1,3,2,2,2,1,0,0,0,0,1,0,0,0,0,1
Kenneth J Powell Jr,,,,,,,,,,,,,,,,,,0,2,2,0,3,1,1,0,2,0,1,1,1,0,0,0,0,0,1
Conor Corcoran,,,,,,,,,,,,,,,,,,,0,1,3,1,0,1,0,1,3,0,0,1,0,1,0,0,0,1
Vince Giusini,,,,,,,,,,,,,,,,,,,,0,4,2,0,1,1,0,1,0,0,0,1,0,0,0,0,1
Deborah D Cianfrani,,,,,,,,,,,,,,,,,,,,,0,1,2,0,1,1,2,0,0,1,0,0,0,0,0,1
Giovanni Campbell,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1
Tracy B Roman,,,,,,,,,,,,,,,,,,,,,,,0,1,3,1,0,0,2,0,1,0,0,0,0,1
Frank Bennett,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,1,0,0,0,0,0,0,1
Timika Lane,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,2,0,0,0,0,1
Stephanie M Sawyer,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,1,0,0,0,0,0,1
Daine A Grey Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,1
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,1
Rania Major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1
Sean P Stevens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1
Sierra Thomas Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1
Derrick W Coker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
Fran Shields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
Katie Scrivner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,54,28,11,9,8,6,6,4,4,2,0,53,52,33,21,19,15,14,11,10,8,8,8,6,6,5,4,2,2,2,2,1,1,0,0,1
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,,,,2
,Anne Marie Coyle,Daniel D Mccaffery,John J O Connor Jr,Joe Fernandes,Kenneth J Powell Jr,Dawn M Tancredi,Timika Lane,Vince Giusini,James C Crumlish,Tracy B Roman,Giovanni Campbell,Sierra Thomas Street,Stephanie M Sawyer,Deborah D Cianfrani,Conor Corcoran,Frank Bennett,Derrick W Coker,Rania Major,Daine A Grey Jr,Jon Marshall,Katie Scrivner,Sean P Stevens,Fran Shields,Leon A King Ii,Henry Lewandowski,Fran Shields,Martin Coleman,Frank Bennett,Tracy B Roman,Robert M Kline,Conor Corcoran,Joe Fernandes,Shoshana Bricklin,Daine A Grey Jr,Derrick W Coker,2
Anne Marie Coyle,3,21,12,8,12,11,5,8,5,5,5,3,4,3,3,1,2,2,1,1,0,1,0,0,20,12,9,5,7,5,3,2,3,3,0,2
Daniel D Mccaffery,,0,12,11,11,6,5,3,7,1,4,3,3,3,1,3,2,1,0,0,1,1,0,0,25,17,7,6,3,0,1,3,2,2,0,2
John J O Connor Jr,,,0,2,4,4,3,2,2,4,3,2,2,2,2,1,0,1,0,1,0,0,0,0,10,11,3,4,4,3,2,0,3,0,0,2
Joe Fernandes,,,,0,6,3,7,3,4,3,3,2,1,0,0,3,1,0,0,0,1,0,0,0,11,7,7,5,4,1,0,3,1,0,0,2
Kenneth J Powell Jr,,,,,0,4,2,4,3,1,2,0,2,2,1,1,1,0,0,0,0,1,0,0,8,7,4,4,3,1,2,2,1,2,0,2
Dawn M Tancredi,,,,,,0,3,2,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,7,4,3,2,2,3,1,2,3,0,0,2
Timika Lane,,,,,,,0,3,2,5,0,2,0,0,0,2,0,0,0,0,1,0,0,0,6,3,6,3,5,1,1,0,0,0,0,2
Vince Giusini,,,,,,,,0,0,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,2,0,4,2,4,2,0,0,1,0,0,2
James C Crumlish,,,,,,,,,0,0,1,1,1,1,1,2,2,0,0,0,0,0,0,0,6,6,2,2,0,0,1,1,1,2,0,2
Tracy B Roman,,,,,,,,,,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,3,1,5,0,6,2,1,0,0,0,0,2
Giovanni Campbell,,,,,,,,,,,0,1,1,1,1,0,1,0,0,0,0,0,0,0,5,3,2,2,0,1,0,0,3,0,0,2
Sierra Thomas Street,,,,,,,,,,,,0,2,0,0,0,0,0,1,0,1,0,0,0,3,3,2,0,2,0,0,0,2,1,0,2
Stephanie M Sawyer,,,,,,,,,,,,,0,0,2,1,0,0,1,1,0,0,0,0,2,4,2,1,1,0,1,0,1,2,0,2
Deborah D Cianfrani,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,1,0,0,3,1,2,1,0,0,1,0,1,1,0,2
Conor Corcoran,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,1,2,2,1,0,0,1,0,1,1,0,2
Frank Bennett,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3,2,1,2,1,0,0,0,0,0,0,2
Derrick W Coker,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,1,0,2
Rania Major,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,2
Daine A Grey Jr,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
Jon Marshall,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2
Katie Scrivner,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2
Sean P Stevens,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2
Fran Shields,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2
Henry Lewandowski,,,,,,,,,,,,,,,,,,,,,,,,,1,13,8,6,4,2,1,3,3,1,0,2
Fran Shields,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,5,1,0,3,3,2,2,0,2
Martin Coleman,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,5,1,0,0,1,1,0,2
Frank Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0,1,0,0,2
Tracy B Roman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,0,0,0,0,2
Robert M Kline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0,0,2
Conor Corcoran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,2
Joe Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2
Shoshana Bricklin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2
Daine A Grey Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2
Derrick W Coker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2
Total,38,35,19,14,14,12,9,8,7,7,6,5,5,4,3,3,2,2,1,1,1,1,0,0,32,22,12,8,8,5,4,4,4,3,0,2
,Judge Of The Municipal Court - Democrat,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,3
,Tracy B Roman,Henry Lewandowski,Martin Coleman,Conor Corcoran,Daine A Grey Jr,Frank Bennett,Robert M Kline,Derrick W Coker,Fran Shields,Joe Fernandes,Shoshana Bricklin,Anne Marie Coyle,Joe Fernandes,Tracy B Roman,Daniel D Mccaffery,Timika Lane,Vince Giusini,Conor Corcoran,Daine A Grey Jr,Dawn M Tancredi,Frank Bennett,Giovanni Campbell,James C Crumlish,John J O Connor Jr,Jon Marshall,Sean P Stevens,Sierra Thomas Street,Stephanie M Sawyer,Deborah D Cianfrani,Derrick W Coker,Fran Shields,Katie Scrivner,Kenneth J Powell Jr,Leon A King Ii,Rania Major,3
Tracy B Roman,0,2,1,0,0,1,1,0,0,0,0,2,2,3,2,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,3
Henry Lewandowski,,0,2,0,0,0,1,0,0,0,0,2,2,1,1,2,2,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,3
Martin Coleman,,,0,0,0,0,0,0,0,0,0,2,2,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
Conor Corcoran,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,3
Daine A Grey Jr,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,3
Frank Bennett,,,,,,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Robert M Kline,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
Derrick W Coker,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Fran Shields,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Joe Fernandes,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Shoshana Bricklin,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Anne Marie Coyle,,,,,,,,,,,,0,2,2,1,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
Joe Fernandes,,,,,,,,,,,,,0,2,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
Tracy B Roman,,,,,,,,,,,,,,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
Daniel D Mccaffery,,,,,,,,,,,,,,,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
Timika Lane,,,,,,,,,,,,,,,,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
Vince Giusini,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
Conor Corcoran,,,,,,,,,,,,,,,,,,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
Daine A Grey Jr,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,3
Dawn M Tancredi,,,,,,,,,,,,,,,,,,,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
Frank Bennett,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Giovanni Campbell,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
James C Crumlish,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0,1,0,0,0,0,0,0,0,3
