col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,division
,District Attorney - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,All
,R Seth Williams,Timika Lane,Giovanni Campbell,Vince Giusini,Daniel D Mccaffery,Joe Fernandes,James C Crumlish,Anne Marie Coyle,Tracy B Roman,Sierra Thomas Street,Stephanie M Sawyer,Kenneth J Powell Jr,Dawn M Tancredi,Leon A King Ii,Daine A Grey Jr,Rania Major,John J O Connor Jr,Derrick W Coker,Deborah D Cianfrani,Conor Corcoran,Frank Bennett,Sean P Stevens,Jon Marshall,Katie Scrivner,Fran Shields,All
Dawn M Tancredi,,,,,,,,,,,0,1,2,3,2,0,2,2,0,0,1,1,1,0,0,2
Kenneth J Powell Jr,,,,,,,,,,,,0,0,0,0,2,0,1,2,0,1,0,0,0,0,2
Daine A Grey Jr,,,,,,,,,,,,,0,3,1,0,1,0,0,1,0,0,1,0,0,2
Rania Major,,,,,,,,,,,,,,0,1,0,1,0,0,1,0,0,1,0,0,2
Conor Corcoran,,,,,,,,,,,,,,,0,0,0,1,0,1,0,0,0,0,0,2
Stephanie M Sawyer,,,,,,,,,,,,,,,,0,0,0,2,0,0,0,0,0,0,2
Deborah D Cianfrani,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,2
John J O Connor Jr,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,2
Leon A King Ii,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2
Derrick W Coker,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,2
Frank Bennett,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2
Sean P Stevens,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2
Fran Shields,,,,,,,,,,,,,,,,,,,,,,,,0,0,2
Katie Scrivner,,,,,,,,,,,,,,,,,,,,,,,,,0,2
Total,59,35,31,29,23,22,19,19,19,11,8,5,4,4,3,3,2,2,2,1,1,1,1,0,0,2
,District Attorney - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,3
,R Seth Williams,Timika Lane,Daniel D Mccaffery,Giovanni Campbell,Vince Giusini,Joe Fernandes,James C Crumlish,Anne Marie Coyle,Tracy B Roman,Stephanie M Sawyer,Kenneth J Powell Jr,Dawn M Tancredi,John J O Connor Jr,Sierra Thomas Street,Daine A Grey Jr,Deborah D Cianfrani,Conor Corcoran,Leon A King Ii,Frank Bennett,Rania Major,Derrick W Coker,Jon Marshall,Fran Shields,Katie Scrivner,Sean P Stevens,3
R Seth Williams,1,33,31,31,27,25,21,15,13,12,9,9,6,6,5,4,3,3,2,2,1,1,0,0,0,3
Timika Lane,,0,21,19,22,21,14,9,8,6,3,4,3,5,5,2,1,1,1,2,0,0,0,0,0,3
Daniel D Mccaffery,,,0,25,18,16,16,4,2,6,7,3,4,1,2,0,0,2,0,0,0,0,0,0,0,3
Giovanni Campbell,,,,0,19,18,18,2,2,7,7,5,4,2,1,1,1,2,1,0,1,0,0,0,0,3
Vince Giusini,,,,,0,20,15,6,6,3,3,2,4,4,0,0,1,2,0,1,1,0,0,0,0,3
Joe Fernandes,,,,,,0,15,5,4,1,2,1,2,5,1,1,0,0,1,1,0,0,0,0,0,3
James C Crumlish,,,,,,,0,1,1,0,2,3,1,0,1,0,1,1,0,1,0,0,0,0,0,3
Anne Marie Coyle,,,,,,,,0,8,6,3,4,0,4,3,3,1,0,1,2,1,1,0,0,0,3
Tracy B Roman,,,,,,,,,0,3,0,4,1,3,0,3,1,1,1,0,0,1,0,0,0,3
Stephanie M Sawyer,,,,,,,,,,0,6,4,1,2,3,2,2,1,0,0,1,1,0,0,0,3
Kenneth J Powell Jr,,,,,,,,,,,1,0,0,1,2,0,0,1,0,0,1,0,0,0,0,3
Dawn M Tancredi,,,,,,,,,,,,0,2,1,1,2,1,2,1,1,0,0,0,0,0,3
John J O Connor Jr,,,,,,,,,,,,,0,1,0,0,1,1,0,0,0,0,0,0,0,3
Sierra Thomas Street,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,3
Daine A Grey Jr,,,,,,,,,,,,,,,0,1,1,0,1,1,0,0,0,0,0,3
Deborah D Cianfrani,,,,,,,,,,,,,,,,0,1,0,2,0,0,1,0,0,0,3
Conor Corcoran,,,,,,,,,,,,,,,,,0,1,0,0,0,1,0,0,0,3
Leon A King Ii,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3
Frank Bennett,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,3
Rania Major,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,3
Derrick W Coker,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,3
Fran Shields,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3
Katie Scrivner,,,,,,,,,,,,,,,,,,,,,,,,0,0,3
Sean P Stevens,,,,,,,,,,,,,,,,,,,,,,,,,0,3
Total,54,34,32,31,28,25,21,15,14,12,10,9,6,6,5,4,3,3,2,2,1,1,0,0,0,3
,District Attorney - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,4
,R Seth Williams,Timika Lane,Giovanni Campbell,Daniel D Mccaffery,Vince Giusini,Joe Fernandes,Tracy B Roman,Anne Marie Coyle,James C Crumlish,Sierra Thomas Street,Kenneth J Powell Jr,Leon A King Ii,Stephanie M Sawyer,Daine A Grey Jr,Derrick W Coker,Dawn M Tancredi,Rania Major,Deborah D Cianfrani,John J O Connor Jr,Conor Corcoran,Katie Scrivner,Fran Shields,Frank Bennett,Jon Marshall,Sean P Stevens,4
R Seth Williams,6,19,16,14,15,14,11,10,9,7,4,5,5,4,3,2,3,2,2,1,1,0,0,0,0,4
Timika Lane,,0,12,9,13,12,7,6,9,3,0,2,1,1,2,1,0,1,1,0,0,0,0,0,0,4
