col_1,col_2,col_3,division
,Judge Of The Traffic Court - Republican,,All
,Christopher M Vogler,Ella P Butcher,All
Christopher M Vogler,33,79,All
Ella P Butcher,,12,All
Total,112,91,All
,Judge Of The Traffic Court - Republican,,1
,Christopher M Vogler,Ella P Butcher,1
Christopher M Vogler,2,3,1
Ella P Butcher,,0,1
Total,5,3,1
,Judge Of The Traffic Court - Republican,,2
,Christopher M Vogler,Ella P Butcher,2
Christopher M Vogler,2,4,2
Ella P Butcher,,0,2
Total,6,4,2
,Judge Of The Traffic Court - Republican,,3
,Christopher M Vogler,Ella P Butcher,3
Christopher M Vogler,2,7,3
Ella P Butcher,,1,3
Total,9,8,3
,Judge Of The Traffic Court - Republican,,4
,Christopher M Vogler,Ella P Butcher,4
Christopher M Vogler,1,4,4
Ella P Butcher,,0,4
Total,5,4,4
,Judge Of The Traffic Court - Republican,,5
,Christopher M Vogler,Ella P Butcher,5
Christopher M Vogler,5,6,5
Ella P Butcher,,0,5
Total,11,6,5
,Judge Of The Traffic Court - Republican,,6
,Christopher M Vogler,Ella P Butcher,6
Christopher M Vogler,3,5,6
Ella P Butcher,,2,6
Total,8,7,6
,Judge Of The Traffic Court - Republican,,7
,Christopher M Vogler,Ella P Butcher,7
Christopher M Vogler,3,15,7
Ella P Butcher,,3,7
Total,18,18,7
,Judge Of The Traffic Court - Republican,,8
,Christopher M Vogler,Ella P Butcher,8
Christopher M Vogler,2,3,8
Ella P Butcher,,1,8
Total,5,4,8
,Judge Of The Traffic Court - Republican,,9
,Christopher M Vogler,Ella P Butcher,9
Christopher M Vogler,0,1,9
Ella P Butcher,,0,9
Total,1,1,9
,Judge Of The Traffic Court - Republican,,10
,Christopher M Vogler,Ella P Butcher,10
Christopher M Vogler,0,8,10
Ella P Butcher,,0,10
Total,8,8,10
,Judge Of The Traffic Court - Republican,,11
,Ella P Butcher,Christopher M Vogler,11
Ella P Butcher,2,1,11
Christopher M Vogler,,1,11
Total,3,2,11
,Judge Of The Traffic Court - Republican,,12
,Christopher M Vogler,Ella P Butcher,12
Christopher M Vogler,1,3,12
Ella P Butcher,,0,12
Total,4,3,12
,Judge Of The Traffic Court - Republican,,15
,Ella P Butcher,Christopher M Vogler,15
Ella P Butcher,1,2,15
Christopher M Vogler,,0,15
Total,3,2,15
,Judge Of The Traffic Court - Republican,,16
,Christopher M Vogler,Ella P Butcher,16
Christopher M Vogler,0,1,16
Ella P Butcher,,0,16
Total,1,1,16
,Judge Of The Traffic Court - Republican,,17
,Christopher M Vogler,Ella P Butcher,17
Christopher M Vogler,1,0,17
Ella P Butcher,,0,17
Total,1,0,17
,Judge Of The Traffic Court - Republican,,19
,Christopher M Vogler,Ella P Butcher,19
Christopher M Vogler,1,0,19
Ella P Butcher,,0,19
Total,1,0,19
,Judge Of The Traffic Court - Republican,,20
,Ella P Butcher,Christopher M Vogler,20
Ella P Butcher,1,0,20
Christopher M Vogler,,0,20
Total,1,0,20
,Judge Of The Traffic Court - Republican,,21
,Christopher M Vogler,Ella P Butcher,21
Christopher M Vogler,1,0,21
Ella P Butcher,,0,21
Total,1,0,21
,Judge Of The Traffic Court - Republican,,22
,Christopher M Vogler,Ella P Butcher,22
Christopher M Vogler,4,3,22
Ella P Butcher,,1,22
Total,7,4,22
,Judge Of The Traffic Court - Republican,,23
,Christopher M Vogler,Ella P Butcher,23
Christopher M Vogler,3,4,23
Ella P Butcher,,0,23
Total,7,4,23
,Judge Of The Traffic Court - Republican,,24
,Christopher M Vogler,Ella P Butcher,24
Christopher M Vogler,1,9,24
Ella P Butcher,,0,24
Total,10,9,24
