col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,division
,Judge Of The Municipal Court - Democrat,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,All
,Martin Coleman,Henry Lewandowski,Fran Shields,Tracy B Roman,Shoshana Bricklin,Robert M Kline,Joe Fernandes,Daine A Grey Jr,Conor Corcoran,Frank Bennett,Derrick W Coker,Giovanni Campbell,Joe Fernandes,Timika Lane,Daniel D Mccaffery,Anne Marie Coyle,Dawn M Tancredi,Vince Giusini,Leon A King Ii,Stephanie M Sawyer,Tracy B Roman,James C Crumlish,Kenneth J Powell Jr,Sierra Thomas Street,John J O Connor Jr,Daine A Grey Jr,Derrick W Coker,Conor Corcoran,Deborah D Cianfrani,Frank Bennett,Sean P Stevens,Rania Major,Jon Marshall,Katie Scrivner,Fran Shields,All
Martin Coleman,4,336,277,119,48,75,64,54,15,16,0,334,389,403,303,231,238,197,201,100,113,93,86,111,53,42,53,24,17,13,14,11,8,1,0,All
Henry Lewandowski,,2,215,114,57,39,18,4,15,18,0,254,327,324,265,162,246,134,200,41,127,34,43,107,76,6,4,29,29,15,18,6,8,0,0,All
Fran Shields,,,1,22,50,69,31,54,15,8,0,269,238,270,271,128,215,78,176,114,29,74,68,25,51,45,28,34,30,12,9,15,4,0,0,All
Tracy B Roman,,,,4,42,36,19,12,9,27,0,33,117,128,33,161,64,113,22,48,155,20,25,120,28,16,9,13,33,12,10,13,6,0,0,All
Shoshana Bricklin,,,,,6,37,22,14,11,17,0,125,48,63,77,65,97,43,49,62,41,24,43,30,35,15,9,19,28,8,9,19,9,1,0,All
Robert M Kline,,,,,,1,48,37,19,30,0,100,73,68,89,109,54,70,17,94,42,70,69,24,42,46,33,26,25,20,11,11,7,2,0,All
Joe Fernandes,,,,,,,0,49,16,7,0,78,91,50,48,77,37,59,14,52,17,69,40,19,23,29,51,13,17,11,11,8,7,0,0,All
Daine A Grey Jr,,,,,,,,0,9,9,0,86,52,55,42,84,24,61,2,71,10,62,38,13,14,51,48,12,11,5,6,6,3,0,0,All
