col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,division
,Judge Of The Superior Court - Democrat,,Judge Of The Municipal Court - Democrat,,,,,,,,,,,All
,Joseph C Waters Jr,Jack Mcvay Jr,Martin Coleman,Henry Lewandowski,Fran Shields,Tracy B Roman,Shoshana Bricklin,Robert M Kline,Daine A Grey Jr,Joe Fernandes,Frank Bennett,Conor Corcoran,Derrick W Coker,All
Joseph C Waters Jr,"4,533",0,"26,762","24,036","18,157","16,208","8,349","4,690","4,507","4,150","3,602","1,857",28,All
Jack Mcvay Jr,,724,"2,763","2,073","1,993","1,670",945,"1,411","1,210","1,155",642,549,6,All
Martin Coleman,,,728,"18,459","13,631","8,972","2,735","2,120","1,803","1,989","1,400",513,7,All
Henry Lewandowski,,,,"1,497","12,797","8,035","2,517","1,481",621,"1,199",978,793,15,All
Fran Shields,,,,,662,"2,454","3,411","1,792","1,709","1,341","1,068",693,8,All
Tracy B Roman,,,,,,706,"3,157","1,671","2,047","1,365","1,378",514,8,All
Shoshana Bricklin,,,,,,,683,"1,292","1,552",917,980,347,5,All
Robert M Kline,,,,,,,,167,"1,039","1,087","1,026",523,3,All
Daine A Grey Jr,,,,,,,,,170,"1,238",631,395,2,All
Joe Fernandes,,,,,,,,,,222,682,419,9,All
Frank Bennett,,,,,,,,,,,182,408,7,All
Conor Corcoran,,,,,,,,,,,,120,3,All
Derrick W Coker,,,,,,,,,,,,,4,All
Total,"51,888","6,818","32,460","29,840","22,868","19,712","10,843","6,844","6,337","6,099","4,897","2,785",46,All
