col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,division
,Judge Of The Municipal Court - Democrat,,,,,,,,,,,Judge Of The Traffic Court - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Henry Lewandowski,Fran Shields,Martin Coleman,Tracy B Roman,Robert M Kline,Frank Bennett,Shoshana Bricklin,Joe Fernandes,Daine A Grey Jr,Conor Corcoran,Derrick W Coker,Donna Derose,Marnie Aument Loughrey,Omar Sabir,Warren Bloom,Donna Marie Laws,Lewis Harris Jr,Tia M Seibert,Suzanne Harmon Carn,Ryan Mulvey,Jose A Figueroa,Bobbie T Curry,Ashley Michelle Cook,Bruce H Bailey,David Mamikonyan,Brigitte A Garvin Johnson,Inja Coates,Holly A Harris Seidle,Wayne E Dorsey,Robert Tuerk,Verna Ragan Tennant,Kyle J Sampson,Tyrone T Martin,Sharif Ali,James Johnson,Keith Jackson,All
Henry Lewandowski,87,219,185,123,41,40,36,28,17,24,0,168,132,133,88,52,63,60,45,35,34,40,24,29,32,12,14,12,9,10,8,11,7,5,8,7,All
Fran Shields,,18,118,44,31,27,25,20,30,24,0,164,137,93,20,42,9,10,10,27,25,12,22,15,7,22,14,13,7,11,9,10,3,4,7,2,All
Martin Coleman,,,4,85,20,13,6,9,11,4,0,102,87,67,67,15,53,49,32,16,17,25,14,13,16,8,10,7,5,1,3,5,5,3,4,3,All
Tracy B Roman,,,,4,16,15,20,6,14,8,0,27,19,25,87,28,63,52,49,14,8,27,21,10,15,19,12,13,6,7,3,3,5,4,3,3,All
Robert M Kline,,,,,4,11,13,6,8,6,0,10,9,8,17,18,6,3,11,15,6,7,15,18,9,7,10,6,8,5,4,3,4,1,1,4,All
Frank Bennett,,,,,,5,9,10,4,8,0,25,11,8,7,16,4,4,9,10,15,5,11,8,7,9,8,4,6,1,4,3,2,3,3,1,All
Shoshana Bricklin,,,,,,,1,9,10,2,0,17,9,16,9,26,5,7,7,4,4,1,9,14,2,9,16,3,6,2,3,3,7,1,0,1,All
Joe Fernandes,,,,,,,,4,13,3,0,14,5,9,7,12,3,6,1,7,12,3,3,4,6,5,1,1,2,4,4,3,3,5,3,2,All
Daine A Grey Jr,,,,,,,,,1,8,0,19,13,5,4,9,2,4,6,6,11,4,7,4,4,8,5,4,4,3,6,5,4,5,2,1,All
Conor Corcoran,,,,,,,,,,2,0,18,14,1,5,5,1,1,2,16,6,3,0,5,5,3,6,5,2,2,0,2,0,3,2,3,All
Derrick W Coker,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Donna Derose,,,,,,,,,,,,3,118,70,9,24,3,3,6,16,18,3,4,4,2,5,8,6,2,3,1,6,0,3,3,1,All
Marnie Aument Loughrey,,,,,,,,,,,,,1,60,5,10,1,4,3,11,8,1,5,5,2,8,8,3,2,1,3,0,1,2,1,2,All
Omar Sabir,,,,,,,,,,,,,,1,13,13,9,3,3,4,6,11,3,5,5,1,3,0,0,2,1,0,3,2,1,0,All
Warren Bloom,,,,,,,,,,,,,,,1,9,42,40,20,5,5,12,8,7,7,2,4,5,6,4,2,1,2,1,2,1,All
Donna Marie Laws,,,,,,,,,,,,,,,,1,6,3,15,12,5,6,16,8,2,11,10,4,3,3,1,1,1,1,0,1,All
Lewis Harris Jr,,,,,,,,,,,,,,,,,0,36,12,4,1,9,2,3,8,3,1,3,1,0,3,1,1,0,1,0,All
Tia M Seibert,,,,,,,,,,,,,,,,,,1,11,3,3,5,5,2,4,1,3,4,0,1,0,1,2,3,1,1,All
Suzanne Harmon Carn,,,,,,,,,,,,,,,,,,,0,1,1,9,14,5,12,3,0,3,1,1,1,2,0,0,0,0,All
Ryan Mulvey,,,,,,,,,,,,,,,,,,,,1,4,8,5,7,7,6,0,2,4,2,0,3,0,1,3,2,All
Jose A Figueroa,,,,,,,,,,,,,,,,,,,,,3,3,1,0,1,2,1,1,3,0,4,2,1,2,3,4,All
Bobbie T Curry,,,,,,,,,,,,,,,,,,,,,,0,1,6,6,3,2,0,1,3,3,1,0,0,0,0,All
Ashley Michelle Cook,,,,,,,,,,,,,,,,,,,,,,,1,6,3,7,3,2,4,3,0,2,1,1,0,1,All
Bruce H Bailey,,,,,,,,,,,,,,,,,,,,,,,,0,5,1,4,2,6,3,4,0,1,0,1,0,All
David Mamikonyan,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,1,1,2,3,2,1,0,0,All
Brigitte A Garvin Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,2,1,3,1,1,0,1,1,All
Inja Coates,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,1,2,4,1,0,0,All
Holly A Harris Seidle,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,1,0,0,1,1,2,All
Wayne E Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,1,0,All
Robert Tuerk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,All
Verna Ragan Tennant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,0,0,0,All
Kyle J Sampson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,1,0,All
Tyrone T Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,All
Sharif Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,All
James Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,All
Keith Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,560,334,260,219,86,85,70,66,64,55,0,224,168,151,136,90,83,76,75,69,59,57,51,51,42,38,37,27,22,19,18,17,16,15,12,10,All
,Judge Of The Municipal Court - Democrat,,,,,,,,,,,Judge Of The Traffic Court - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,1
,Henry Lewandowski,Fran Shields,Martin Coleman,Conor Corcoran,Frank Bennett,Shoshana Bricklin,Tracy B Roman,Daine A Grey Jr,Joe Fernandes,Robert M Kline,Derrick W Coker,Donna Derose,Marnie Aument Loughrey,Omar Sabir,Ryan Mulvey,Warren Bloom,Bruce H Bailey,David Mamikonyan,Brigitte A Garvin Johnson,Holly A Harris Seidle,Wayne E Dorsey,Bobbie T Curry,Inja Coates,Suzanne Harmon Carn,Ashley Michelle Cook,Donna Marie Laws,Lewis Harris Jr,Tia M Seibert,Jose A Figueroa,Robert Tuerk,Verna Ragan Tennant,James Johnson,Keith Jackson,Kyle J Sampson,Sharif Ali,Tyrone T Martin,1
Henry Lewandowski,12,17,7,5,6,4,1,2,4,1,0,18,11,12,6,7,5,5,0,2,3,2,0,2,2,2,1,2,1,1,0,0,0,0,0,0,1
Fran Shields,,5,7,2,3,3,3,2,0,0,0,11,8,6,5,1,2,2,2,3,2,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1
Martin Coleman,,,1,1,0,0,1,0,0,0,0,6,4,4,2,1,1,0,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1
Conor Corcoran,,,,0,2,1,0,1,1,1,0,3,3,1,3,1,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Frank Bennett,,,,,0,0,0,0,0,2,0,0,1,0,3,1,1,3,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1
Shoshana Bricklin,,,,,,0,2,1,1,0,0,1,3,1,0,1,3,0,1,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Tracy B Roman,,,,,,,0,2,0,0,0,0,1,1,1,2,1,0,3,2,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1
Daine A Grey Jr,,,,,,,,0,0,0,0,1,1,0,0,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Joe Fernandes,,,,,,,,,0,0,0,1,0,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Robert M Kline,,,,,,,,,,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Derrick W Coker,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Donna Derose,,,,,,,,,,,,1,9,7,2,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
Marnie Aument Loughrey,,,,,,,,,,,,,0,4,2,1,2,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Omar Sabir,,,,,,,,,,,,,,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1
Ryan Mulvey,,,,,,,,,,,,,,,0,1,2,2,2,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Warren Bloom,,,,,,,,,,,,,,,,0,1,2,0,1,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1
Bruce H Bailey,,,,,,,,,,,,,,,,,0,2,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
David Mamikonyan,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
Brigitte A Garvin Johnson,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Holly A Harris Seidle,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Wayne E Dorsey,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Bobbie T Curry,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Inja Coates,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Suzanne Harmon Carn,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1
