col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,division
,Judge Of The Municipal Court - Democrat,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,1
,Henry Lewandowski,Martin Coleman,Fran Shields,Tracy B Roman,Robert M Kline,Joe Fernandes,Shoshana Bricklin,Conor Corcoran,Daine A Grey Jr,Frank Bennett,Derrick W Coker,Daniel D Mccaffery,Joe Fernandes,Anne Marie Coyle,James C Crumlish,Dawn M Tancredi,Timika Lane,Giovanni Campbell,Tracy B Roman,Vince Giusini,Kenneth J Powell Jr,Sierra Thomas Street,Conor Corcoran,Deborah D Cianfrani,Derrick W Coker,John J O Connor Jr,Leon A King Ii,Rania Major,Stephanie M Sawyer,Daine A Grey Jr,Fran Shields,Frank Bennett,Jon Marshall,Sean P Stevens,Katie Scrivner,1
Henry Lewandowski,4,15,11,4,5,4,2,1,0,1,0,17,13,10,12,13,7,9,6,7,6,4,3,3,4,5,3,1,1,0,0,1,1,0,0,1
Martin Coleman,,1,14,3,2,3,0,1,0,0,0,15,16,8,13,10,8,6,3,5,5,2,0,1,2,2,3,0,0,0,0,0,0,1,0,1
Fran Shields,,,3,0,0,1,1,2,1,1,0,14,14,6,12,7,6,4,3,3,4,0,2,1,0,1,1,0,2,1,0,1,0,0,0,1
Tracy B Roman,,,,1,3,0,0,0,0,0,0,1,3,4,1,3,2,2,3,2,2,4,0,1,3,1,1,0,0,0,0,0,0,1,0,1
Robert M Kline,,,,,0,3,1,0,0,0,0,1,2,2,2,6,2,4,4,1,2,3,2,2,4,0,4,2,0,0,1,0,1,1,0,1
Joe Fernandes,,,,,,0,2,0,0,0,0,3,4,3,4,5,2,1,1,1,0,1,1,1,1,1,2,2,0,0,1,0,0,0,0,1
Shoshana Bricklin,,,,,,,0,0,1,0,0,3,2,0,1,3,1,0,2,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1
Conor Corcoran,,,,,,,,0,0,0,0,1,1,2,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Daine A Grey Jr,,,,,,,,,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
